signal,domain,buffer_size,n_total,n_kept,decimation,cr_absolute,cr_gap8,cr_rice,cr_entropy,bps_absolute,bps_rice,gap_entropy_bits,rice_k
ecg_100,ecg,512,2000,512,3.90625,2.314814814814815,2.6041666666666665,3.1917015759026532,3.28625404586523,6.912,5.013,3.018614850740951,2
ecg_100,ecg,256,2000,256,7.8125,4.62962962962963,5.208333333333333,6.056018168054504,6.31449832297947,3.456,2.642,3.7957135478372015,3
ecg_100,ecg,128,2000,128,15.625,9.25925925925926,10.416666666666666,11.494252873563218,12.847620913075167,1.728,1.392,3.458855588241417,4
ecg_100,ecg,64,2000,64,31.25,18.51851851851852,20.2020202020202,21.962937542896363,25.501645542141464,0.864,0.7285,3.606577903914088,5
ecg_100,ecg,32,2000,32,62.5,37.03703703703704,37.735849056603776,41.99475065616798,50.691387433202806,0.432,0.381,3.7272170014624826,6
ecg_105,ecg,512,2000,512,3.90625,2.314814814814815,2.6041666666666665,3.195845400978728,3.286929686725599,6.912,5.0065,3.0147055023442757,2
ecg_105,ecg,256,2000,256,7.8125,4.62962962962963,5.208333333333333,6.081337894336754,6.25985180597019,3.456,2.631,3.9685238364243896,3
ecg_105,ecg,128,2000,128,15.625,9.25925925925926,10.416666666666666,11.55651859877212,12.262700568048617,1.728,1.3845,4.387026382377277,4
ecg_105,ecg,64,2000,64,31.25,18.51851851851852,20.833333333333332,22.008253094910593,24.268589790259618,0.864,0.727,4.602762843709971,5
ecg_105,ecg,32,2000,32,62.5,37.03703703703704,40.816326530612244,42.21635883905013,49.042880297880636,0.432,0.379,4.390319531114783,6
ecg_108,ecg,512,2000,512,3.90625,2.314814814814815,2.6041666666666665,3.2003200320032,3.2991480782332405,6.912,4.9995,2.944284560112862,2
ecg_108,ecg,256,2000,256,7.8125,4.62962962962963,5.208333333333333,6.077872744539412,6.308480299825747,3.456,2.6325,3.814597820564291,3
ecg_108,ecg,128,2000,128,15.625,9.25925925925926,10.416666666666666,11.573236889692586,12.27512243424429,1.728,1.3825,4.366395637942254,4
ecg_108,ecg,64,2000,64,31.25,18.51851851851852,20.833333333333332,22.130013831258644,24.058633541699837,0.864,0.723,4.782560203736037,5
ecg_108,ecg,32,2000,32,62.5,37.03703703703704,40.0,42.27212681638045,48.39355239862691,0.432,0.3785,4.663909765557392,6
ecg_201,ecg,512,2000,512,3.90625,2.314814814814815,2.6041666666666665,3.1961646024770274,3.27592833910915,6.912,5.006,3.078561412303708,2
ecg_201,ecg,256,2000,256,7.8125,4.62962962962963,5.208333333333333,6.0640515444381276,6.273610955320956,3.456,2.6385,3.9247292970854977,3
ecg_201,ecg,128,2000,128,15.625,9.25925925925926,10.362694300518134,11.531531531531531,12.358861298249229,1.728,1.3875,4.228400818400261,4
ecg_201,ecg,64,2000,64,31.25,18.51851851851852,20.408163265306122,21.993127147766323,24.599513377565174,0.864,0.7275,4.325605320957341,5
ecg_201,ecg,32,2000,32,62.5,37.03703703703704,40.0,41.99475065616798,50.07977943680966,0.432,0.381,3.9681390622295662,6
ecg_228,ecg,512,2000,512,3.90625,2.314814814814815,2.6041666666666665,3.193612774451098,3.290784302814029,6.912,5.01,2.9924328818983197,2
ecg_228,ecg,256,2000,256,7.8125,4.62962962962963,5.208333333333333,6.084806997528047,6.295799411269163,3.456,2.6295,3.8545080353507304,3
ecg_228,ecg,128,2000,128,15.625,9.25925925925926,10.416666666666666,11.55651859877212,12.134946975704084,1.728,1.3845,4.6016557386312495,4
ecg_228,ecg,64,2000,64,31.25,18.51851851851852,20.2020202020202,22.008253094910593,24.540288751238307,0.864,0.727,4.374658385988628,5
ecg_228,ecg,32,2000,32,62.5,37.03703703703704,38.46153846153846,42.21635883905013,49.136645152337024,0.432,0.379,4.351409765557392,6
vib_normal_0hp,vibration,512,2000,512,3.90625,2.314814814814815,2.6041666666666665,3.1913832651840033,3.325100451116908,6.912,5.0135,2.796424625008282,2
vib_normal_0hp,vibration,256,2000,256,7.8125,4.62962962962963,5.208333333333333,6.0882800608828,6.474678886691987,3.456,2.628,3.305976742248048,3
vib_normal_0hp,vibration,128,2000,128,15.625,9.25925925925926,10.362694300518134,11.577424023154848,13.062759445605572,1.728,1.382,3.138375857032429,4
vib_normal_0hp,vibration,64,2000,64,31.25,18.51851851851852,20.408163265306122,21.993127147766323,25.68440514097989,0.864,0.7275,3.467065608704396,5
vib_normal_0hp,vibration,32,2000,32,62.5,37.03703703703704,40.0,41.99475065616798,51.79158129828357,0.432,0.381,3.3081573285181993,6
vib_inner_race_007,vibration,512,2000,512,3.90625,2.314814814814815,2.6041666666666665,3.195526263231476,3.3858693288310717,6.912,5.007,2.4590703095967736,2
vib_inner_race_007,vibration,256,2000,256,7.8125,4.62962962962963,5.208333333333333,6.044578768417076,6.678400906370146,3.456,2.647,2.7170554377425344,3
vib_inner_race_007,vibration,128,2000,128,15.625,9.25925925925926,10.416666666666666,11.498383039885017,13.450768075077235,1.728,1.3915,2.5862992064536416,4
vib_inner_race_007,vibration,64,2000,64,31.25,18.51851851851852,20.61855670103093,21.947873799725652,26.536046341580047,0.864,0.729,2.8422944987300736,5
vib_inner_race_007,vibration,32,2000,32,62.5,37.03703703703704,40.0,41.93971166448231,53.713062826606965,0.432,0.3815,2.617445131143149,6
vib_ball_fault_007,vibration,512,2000,512,3.90625,2.314814814814815,2.6041666666666665,3.198720511795282,3.5107831899957147,6.912,5.002,1.802295561314993,2
vib_ball_fault_007,vibration,256,2000,256,7.8125,4.62962962962963,5.208333333333333,6.043437204910293,6.879871536835795,3.456,2.6475,2.16894390116625,3
vib_ball_fault_007,vibration,128,2000,128,15.625,9.25925925925926,10.416666666666666,11.490125673249551,13.547022535744588,1.728,1.3925,2.454239619101599,4
vib_ball_fault_007,vibration,64,2000,64,31.25,18.51851851851852,20.2020202020202,21.93283070596299,27.06881032988281,0.864,0.7295,2.4714434770715163,5
vib_ball_fault_007,vibration,32,2000,32,62.5,37.03703703703704,39.21568627450981,41.8848167539267,55.753810916279555,0.432,0.382,1.9359936758692482,6
