signal,domain,buffer_size,overload,retained,decimation,bits_per_index,bits_per_survivor,CR,bits_per_sample,snr_db,PRD_pct,CR_v3_float32
ecg_100,ecg,64,2,1063,1.881467544684854,3.261168384879725,19.261168384879724,1.5629104171369637,10.237310996563574,43.78121,0.6470524709207306,0.6271558482282847
ecg_100,ecg,64,3,730,2.73972602739726,3.261168384879725,19.261168384879724,2.2758544841323185,7.030326460481099,37.78465,1.2905282030393068,0.91324200913242
ecg_100,ecg,64,4,563,3.552397868561279,3.261168384879725,19.261168384879724,2.950930325784356,5.422018900343643,34.546664,1.8735565239406993,1.1841326228537596
ecg_100,ecg,64,5,463,4.319654427645788,3.423209731176752,19.42320973117675,3.5583444651475387,4.496473052767418,32.942614,2.2535609057318893,1.4398848092152627
ecg_100,ecg,64,6,397,5.037783375314861,3.6527698666530437,19.652769866653045,4.1014337699953485,3.90107481853063,31.656476,2.613221363748476,1.6792611251049538
ecg_100,ecg,64,10,263,7.604562737642586,4.438058143935553,20.438058143935553,5.953256564072579,2.687604645927525,29.370975,3.3997834074543474,2.534854245880862
ecg_100,ecg,64,20,163,12.269938650306749,5.204771457820872,21.204771457820872,9.25824731454488,1.728188873812401,26.43616,4.766416617658057,4.08997955010225
ecg_100,ecg,64,30,130,15.384615384615385,5.593155876895067,21.593155876895068,11.399623452782725,1.4035551319981794,23.401827,6.759407822776844,5.128205128205129
ecg_100,ecg,64,50,103,19.41747572815534,5.942266245376491,21.94226624537649,14.158957337232634,1.1300267116368894,21.179143,8.730575050307388,6.472491909385114
ecg_100,ecg,128,2,1127,1.774622892635315,3.261168384879725,19.261168384879724,1.474155965764501,10.853668384879724,44.466593,0.5979575447736539,0.5915409642117717
ecg_100,ecg,128,3,794,2.5188916876574305,3.261168384879725,19.261168384879724,2.092410293975557,7.646683848797251,38.571053,1.1788196049774118,0.8396305625524769
ecg_100,ecg,128,4,627,3.189792663476874,3.261168384879725,19.261168384879724,2.6497189368685685,6.038376288659793,35.255817,1.7266692309559253,1.063264221158958
ecg_100,ecg,128,5,527,3.795066413662239,3.261168384879725,19.261168384879724,3.152511904016304,5.075317869415808,33.681893,2.0696902320098034,1.2650221378874131
ecg_100,ecg,128,6,461,4.3383947939262475,3.4317906302274106,19.43179063022741,3.5722038191807957,4.479027740267418,32.481782,2.3763527033011584,1.4461315979754157
ecg_100,ecg,128,10,327,6.116207951070336,3.9866361749789636,19.986636174978962,4.896237984240407,3.2678150146090603,30.705964,2.915424506109127,2.038735983690112
ecg_100,ecg,128,20,227,8.810572687224669,4.716132881209264,20.716132881209262,6.80480106031092,2.3512810820172514,27.844159,4.053144152875138,2.9368575624082234
ecg_100,ecg,128,30,194,10.309278350515465,4.899383674139066,20.899383674139067,7.89250325177555,2.0272402163914895,27.463104,4.234915995359677,3.4364261168384878
ecg_100,ecg,128,50,167,11.976047904191617,5.163190105537737,21.163190105537737,9.054247753363319,1.767126373812401,24.828226,5.735730007307323,3.992015968063872
ecg_100,ecg,256,2,1255,1.593625498007968,3.261168384879725,19.261168384879724,1.323803803519197,12.086383161512027,46.10275,0.49529335340313424,0.5312084993359893
