signal,domain,mode,buffer_size,overload,trial,snr_db,mse,max_wait_ms,deriv_ratio,drops,rpeak_f1,rpeak_precision,rpeak_recall,rpeak_timing_ms,spectral_correlation
ecg_100,ecg,DROP,64,2,0,33.1955,6.208750e-05,0.0461,0.9237,685,0.9333,1.0000,0.8750,0.3968,-1.0000
ecg_100,ecg,RANDOM_DROP,64,2,0,27.6683,2.216787e-04,0.0077,0.9023,692,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_100,ecg,DROP_MIDDLE,64,2,0,32.7817,6.829375e-05,0.0019,0.9240,693,0.9333,1.0000,0.8750,0.3968,-1.0000
ecg_100,ecg,DROP_LOW_VARIANCE,64,2,0,38.8963,1.670779e-05,0.0030,0.9178,682,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,ADAPTIVE,64,2,0,35.1086,3.996562e-05,0.1583,0.9310,484,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_100,ecg,LEGACY_IMPORTANCE,64,2,0,38.0635,2.023934e-05,0.0261,0.9613,690,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_FIRST_ORDER,64,2,0,38.1607,1.979135e-05,0.0089,0.9621,690,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_WINDOWED_ENERGY,64,2,0,37.1237,2.512920e-05,0.0211,0.9203,688,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_COMPOSITE,64,2,0,37.7572,2.171832e-05,0.0038,0.9364,682,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_ADAPTIVE,64,2,0,37.3025,2.411555e-05,0.0655,0.9361,679,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_INTERP_ERROR,64,2,0,47.9759,2.065174e-06,0.0043,0.9965,688,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_INTERP_COMPOSITE,64,2,0,48.2278,1.948819e-06,0.0040,0.9957,675,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,RDP_OFFLINE,64,2,0,49.2803,1.529410e-06,0.0000,0.9997,688,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,LTTB_OFFLINE,64,2,0,35.1594,3.950104e-05,0.0000,0.9691,688,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_100,ecg,DROP,64,2,1,32.5185,7.256111e-05,0.0018,0.9203,698,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_100,ecg,RANDOM_DROP,64,2,1,25.4823,3.667062e-04,0.0071,0.8800,691,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_100,ecg,DROP_MIDDLE,64,2,1,33.1871,6.220764e-05,0.0039,0.9221,695,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,DROP_LOW_VARIANCE,64,2,1,38.8804,1.676895e-05,0.0022,0.9157,694,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,ADAPTIVE,64,2,1,33.8886,5.292812e-05,0.1544,0.9399,483,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,LEGACY_IMPORTANCE,64,2,1,37.9162,2.093795e-05,0.0023,0.9605,701,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_FIRST_ORDER,64,2,1,38.0883,2.012440e-05,0.0015,0.9608,679,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_WINDOWED_ENERGY,64,2,1,37.4222,2.346027e-05,0.0016,0.9229,692,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_COMPOSITE,64,2,1,37.4696,2.320552e-05,0.0125,0.9350,694,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_ADAPTIVE,64,2,1,37.6431,2.229645e-05,0.0083,0.9350,671,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_INTERP_ERROR,64,2,1,47.9582,2.073611e-06,0.0082,0.9954,687,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_INTERP_COMPOSITE,64,2,1,47.9003,2.101458e-06,0.0114,0.9952,681,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,RDP_OFFLINE,64,2,1,49.2763,1.530799e-06,0.0000,0.9997,687,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,LTTB_OFFLINE,64,2,1,34.9244,4.169792e-05,0.0000,0.9721,687,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,DROP,64,2,2,32.9785,6.526875e-05,0.0010,0.9162,692,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_100,ecg,RANDOM_DROP,64,2,2,27.7260,2.187517e-04,0.0078,0.9036,695,0.9333,1.0000,0.8750,1.5873,-1.0000
