signal,domain,mode,buffer_size,overload,trial,snr_db,mse,max_wait_ms,deriv_ratio,drops,degenerate,snr_saturated,rpeak_f1,rpeak_precision,rpeak_recall,rpeak_timing_ms,spectral_correlation
ecg_100,ecg,DROP,64,2,0,33.0737,6.385312e-05,0.0131,0.9122,685,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,RANDOM_DROP,64,2,0,29.7813,1.362760e-04,0.0087,0.8988,681,0,0,0.9333,1.0000,0.8750,1.1905,-1.0000
ecg_100,ecg,DROP_MIDDLE,64,2,0,33.0939,6.355625e-05,0.0026,0.9237,695,0,0,0.9333,1.0000,0.8750,1.1905,-1.0000
ecg_100,ecg,DROP_LOW_VARIANCE,64,2,0,38.7141,1.742367e-05,0.0014,0.9146,700,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,ADAPTIVE,64,2,0,33.6877,5.543437e-05,0.1086,0.9369,502,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,LEGACY_IMPORTANCE,64,2,0,38.0259,2.041531e-05,0.0027,0.9619,685,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_FIRST_ORDER,64,2,0,38.0557,2.027607e-05,0.0034,0.9605,688,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_WINDOWED_ENERGY,64,2,0,37.3220,2.400792e-05,0.0047,0.9154,696,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_COMPOSITE,64,2,0,37.6550,2.223556e-05,0.0083,0.9342,686,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_ADAPTIVE,64,2,0,37.6720,2.214865e-05,0.0095,0.9372,693,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_INTERP_ERROR,64,2,0,47.8475,2.127153e-06,0.0030,0.9962,690,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_INTERP_COMPOSITE,64,2,0,47.9526,2.076319e-06,0.0039,0.9968,683,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_VW_AREA,64,2,0,47.6928,2.204306e-06,0.0048,0.9960,688,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,RDP_OFFLINE,64,2,0,49.2098,1.554410e-06,0.0000,0.9997,690,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,LTTB_OFFLINE,64,2,0,35.6505,3.527778e-05,0.0000,0.9702,690,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,DROP,64,2,1,32.9615,6.552465e-05,0.0005,0.9246,697,0,0,0.9333,1.0000,0.8750,1.1905,-1.0000
ecg_100,ecg,RANDOM_DROP,64,2,1,24.5170,4.579881e-04,0.0171,0.9052,689,0,0,0.9333,1.0000,0.8750,1.1905,-1.0000
ecg_100,ecg,DROP_MIDDLE,64,2,1,33.1676,6.248750e-05,0.0120,0.9227,685,0,0,0.9333,1.0000,0.8750,1.1905,-1.0000
ecg_100,ecg,DROP_LOW_VARIANCE,64,2,1,38.8030,1.707050e-05,0.0016,0.9146,697,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,ADAPTIVE,64,2,1,33.9198,5.255000e-05,0.1508,0.9334,488,0,0,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_100,ecg,LEGACY_IMPORTANCE,64,2,1,38.0193,2.044673e-05,0.0173,0.9616,687,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_FIRST_ORDER,64,2,1,38.1177,1.998868e-05,0.0084,0.9608,682,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_WINDOWED_ENERGY,64,2,1,37.1031,2.524866e-05,0.0082,0.9203,691,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_COMPOSITE,64,2,1,37.5247,2.291296e-05,0.0107,0.9350,689,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_ADAPTIVE,64,2,1,37.9317,2.086300e-05,0.0131,0.9369,672,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_INTERP_ERROR,64,2,1,47.8713,2.115521e-06,0.0043,0.9962,691,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_INTERP_COMPOSITE,64,2,1,48.0407,2.034583e-06,0.0080,0.9957,686,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_VW_AREA,64,2,1,47.8043,2.148437e-06,0.0077,0.9960,677,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,RDP_OFFLINE,64,2,1,49.2137,1.553021e-06,0.0000,0.9997,691,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,LTTB_OFFLINE,64,2,1,34.9047,4.188750e-05,0.0000,0.9699,691,0,0,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_100,ecg,DROP,64,2,2,32.8116,6.782500e-05,0.0318,0.9213,691,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,RANDOM_DROP,64,2,2,24.9546,4.140822e-04,0.0079,0.8980,688,0,0,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_100,ecg,DROP_MIDDLE,64,2,2,32.8619,6.704375e-05,0.0080,0.9184,692,0,0,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_100,ecg,DROP_LOW_VARIANCE,64,2,2,38.9432,1.652845e-05,0.0091,0.9170,690,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,ADAPTIVE,64,2,2,34.4761,4.623125e-05,0.1760,0.9487,485,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,LEGACY_IMPORTANCE,64,2,2,37.9845,2.061104e-05,0.0034,0.9595,699,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_FIRST_ORDER,64,2,2,37.9186,2.092635e-05,0.0080,0.9605,690,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_WINDOWED_ENERGY,64,2,2,37.3673,2.375852e-05,0.0081,0.9195,692,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_COMPOSITE,64,2,2,37.5156,2.296119e-05,0.0030,0.9374,697,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_ADAPTIVE,64,2,2,37.2196,2.458056e-05,0.0119,0.9283,697,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_INTERP_ERROR,64,2,2,48.3086,1.912882e-06,0.0040,0.9957,674,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_INTERP_COMPOSITE,64,2,2,47.9309,2.086701e-06,0.0250,0.9962,682,0,0,0.9333,1.0000,0.8750,0.7937,-1.0000
