signal,domain,mode,buffer_size,overload,trial,snr_db,mse,max_wait_ms,deriv_ratio,drops,rpeak_f1,rpeak_precision,rpeak_recall,rpeak_timing_ms,spectral_correlation
ecg_100,ecg,DROP,128,3,0,29.6522,1.403868e-04,0.0019,0.8623,966,0.9333,1.0000,0.8750,2.3810,-1.0000
ecg_100,ecg,RANDOM_DROP,128,3,0,18.7940,1.710625e-03,0.0024,0.7863,972,0.9333,1.0000,0.8750,2.3810,-1.0000
ecg_100,ecg,DROP_MIDDLE,128,3,0,30.8869,1.056483e-04,0.0076,0.8776,965,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_100,ecg,DROP_LOW_VARIANCE,128,3,0,34.9214,4.172608e-05,0.0030,0.8601,969,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,ADAPTIVE,128,3,0,32.2321,7.750625e-05,0.4027,0.9082,782,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,LEGACY_IMPORTANCE,128,3,0,34.9763,4.120253e-05,0.0086,0.9168,963,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_FIRST_ORDER,128,3,0,34.9910,4.106268e-05,0.0086,0.9162,965,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_WINDOWED_ENERGY,128,3,0,34.7339,4.356684e-05,0.0274,0.8682,956,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_COMPOSITE,128,3,0,35.3480,3.782232e-05,0.0485,0.8829,956,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_ADAPTIVE,128,3,0,35.1270,3.979740e-05,0.0111,0.8695,958,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,DROP,128,3,1,29.0126,1.626635e-04,0.0081,0.8886,964,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_100,ecg,RANDOM_DROP,128,3,1,21.4640,9.250159e-04,0.0197,0.8236,969,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_100,ecg,DROP_MIDDLE,128,3,1,29.6568,1.402406e-04,0.0080,0.8789,966,0.9333,1.0000,0.8750,2.3810,-1.0000
ecg_100,ecg,DROP_LOW_VARIANCE,128,3,1,35.0871,4.016438e-05,0.0025,0.8628,959,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,ADAPTIVE,128,3,1,32.3999,7.456875e-05,0.2312,0.9052,781,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_100,ecg,LEGACY_IMPORTANCE,128,3,1,35.0583,4.043131e-05,0.0088,0.9181,950,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_FIRST_ORDER,128,3,1,35.0239,4.075334e-05,0.0016,0.9168,958,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_WINDOWED_ENERGY,128,3,1,34.5948,4.498486e-05,0.0219,0.8660,940,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_COMPOSITE,128,3,1,35.1994,3.913901e-05,0.0107,0.8875,957,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_ADAPTIVE,128,3,1,35.5337,3.623920e-05,0.0236,0.8805,952,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,DROP,128,6,0,21.1213,1.000972e-03,0.0023,0.7320,1368,0.9333,1.0000,0.8750,3.1746,-1.0000
ecg_100,ecg,RANDOM_DROP,128,6,0,13.8321,5.362200e-03,0.0027,0.6442,1373,0.8571,1.0000,0.7500,3.7037,-1.0000
ecg_100,ecg,DROP_MIDDLE,128,6,0,20.6701,1.110564e-03,0.0013,0.7326,1375,0.9333,1.0000,0.8750,3.1746,-1.0000
ecg_100,ecg,DROP_LOW_VARIANCE,128,6,0,30.1817,1.242727e-04,0.0044,0.7608,1364,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,ADAPTIVE,128,6,0,25.1970,3.916106e-04,0.2006,0.8365,1218,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_100,ecg,LEGACY_IMPORTANCE,128,6,0,30.4982,1.155402e-04,0.0021,0.8209,1373,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_FIRST_ORDER,128,6,0,30.6680,1.111091e-04,0.0024,0.8241,1367,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_WINDOWED_ENERGY,128,6,0,29.8115,1.353306e-04,0.0230,0.7686,1367,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_COMPOSITE,128,6,0,31.5776,9.011363e-05,0.0171,0.7863,1364,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_ADAPTIVE,128,6,0,31.5563,9.055621e-05,0.0206,0.7782,1366,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,DROP,128,6,1,21.4539,9.271824e-04,0.0024,0.7337,1369,0.9333,1.0000,0.8750,3.1746,-1.0000
ecg_100,ecg,RANDOM_DROP,128,6,1,11.5435,9.082393e-03,0.0024,0.6268,1374,0.8571,1.0000,0.7500,2.7778,-1.0000
ecg_100,ecg,DROP_MIDDLE,128,6,1,21.8039,8.553866e-04,0.0071,0.7409,1371,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_100,ecg,DROP_LOW_VARIANCE,128,6,1,30.2117,1.234179e-04,0.0027,0.7586,1371,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,ADAPTIVE,128,6,1,25.5430,3.616201e-04,0.1845,0.8298,1219,0.9333,1.0000,0.8750,2.3810,-1.0000
ecg_100,ecg,LEGACY_IMPORTANCE,128,6,1,30.7035,1.102056e-04,0.0178,0.8220,1375,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_FIRST_ORDER,128,6,1,30.4799,1.160276e-04,0.0235,0.8228,1373,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_WINDOWED_ENERGY,128,6,1,30.0572,1.278895e-04,0.0138,0.7742,1365,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_COMPOSITE,128,6,1,31.4929,9.188785e-05,0.0256,0.7874,1365,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_ADAPTIVE,128,6,1,31.5710,9.025055e-05,0.0580,0.7833,1367,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,DROP,256,3,0,29.7379,1.376458e-04,0.0017,0.8966,842,0.9333,1.0000,0.8750,0.3968,-1.0000
ecg_100,ecg,RANDOM_DROP,256,3,0,22.9495,6.570582e-04,0.0035,0.8518,832,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_100,ecg,DROP_MIDDLE,256,3,0,29.3058,1.520451e-04,0.0025,0.8915,830,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_100,ecg,DROP_LOW_VARIANCE,256,3,0,35.8767,3.348707e-05,0.0354,0.8848,833,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,ADAPTIVE,256,3,0,33.0616,6.403125e-05,0.2094,0.9224,687,0.9333,1.0000,0.8750,1.1905,-1.0000
ecg_100,ecg,LEGACY_IMPORTANCE,256,3,0,35.8884,3.339742e-05,0.0097,0.9369,827,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_FIRST_ORDER,256,3,0,35.8627,3.359533e-05,0.0245,0.9366,830,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_WINDOWED_ENERGY,256,3,0,36.0095,3.247879e-05,0.0298,0.8926,812,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_COMPOSITE,256,3,0,36.0889,3.189015e-05,0.0267,0.9017,827,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_ADAPTIVE,256,3,0,36.1869,3.117914e-05,0.0169,0.8977,817,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,DROP,256,3,1,31.0810,1.010302e-04,0.0246,0.8837,831,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,RANDOM_DROP,256,3,1,21.4140,9.357401e-04,0.0012,0.8480,843,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_100,ecg,DROP_MIDDLE,256,3,1,29.2136,1.553073e-04,0.0080,0.8907,838,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_100,ecg,DROP_LOW_VARIANCE,256,3,1,35.8670,3.356229e-05,0.0183,0.8856,832,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,ADAPTIVE,256,3,1,33.1042,6.340625e-05,0.2147,0.9232,686,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,LEGACY_IMPORTANCE,256,3,1,35.8190,3.393481e-05,0.0020,0.9345,841,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_FIRST_ORDER,256,3,1,35.7495,3.448238e-05,0.0046,0.9342,840,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_WINDOWED_ENERGY,256,3,1,35.5221,3.633620e-05,0.0386,0.8888,832,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_COMPOSITE,256,3,1,35.8689,3.354746e-05,0.0546,0.8988,829,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_ADAPTIVE,256,3,1,36.2217,3.093036e-05,0.0524,0.9036,828,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,DROP,256,6,0,23.3201,6.033089e-04,0.0242,0.7664,1240,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_100,ecg,RANDOM_DROP,256,6,0,19.3736,1.496881e-03,0.0019,0.7635,1242,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_100,ecg,DROP_MIDDLE,256,6,0,21.6594,8.843309e-04,0.0082,0.7804,1242,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_100,ecg,DROP_LOW_VARIANCE,256,6,0,31.4359,9.310170e-05,0.0097,0.7959,1240,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,ADAPTIVE,256,6,0,26.8737,2.661835e-04,0.2019,0.8590,1106,0.9333,1.0000,0.8750,1.1905,-1.0000
ecg_100,ecg,LEGACY_IMPORTANCE,256,6,0,32.2384,7.739537e-05,0.0017,0.8564,1244,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_FIRST_ORDER,256,6,0,32.2004,7.807438e-05,0.0033,0.8558,1244,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_WINDOWED_ENERGY,256,6,0,31.3720,9.448253e-05,0.0498,0.7994,1238,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_COMPOSITE,256,6,0,32.3083,7.615949e-05,0.0246,0.8241,1234,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_ADAPTIVE,256,6,0,32.4810,7.319004e-05,0.0254,0.8010,1231,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,DROP,256,6,1,22.3879,7.477541e-04,0.0032,0.7788,1246,0.9333,1.0000,0.8750,2.3810,-1.0000
ecg_100,ecg,RANDOM_DROP,256,6,1,13.1442,6.282503e-03,0.0088,0.6880,1247,0.8571,1.0000,0.7500,1.8519,-1.0000
ecg_100,ecg,DROP_MIDDLE,256,6,1,21.2080,9.811729e-04,0.0012,0.7618,1246,0.9333,1.0000,0.8750,2.3810,-1.0000
ecg_100,ecg,DROP_LOW_VARIANCE,256,6,1,31.3761,9.439326e-05,0.0022,0.7943,1245,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,ADAPTIVE,256,6,1,26.3063,3.033340e-04,0.2006,0.8585,1106,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_100,ecg,LEGACY_IMPORTANCE,256,6,1,32.1465,7.905051e-05,0.0022,0.8539,1243,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_FIRST_ORDER,256,6,1,32.1655,7.870384e-05,0.0040,0.8547,1243,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_WINDOWED_ENERGY,256,6,1,31.3504,9.495355e-05,0.0482,0.7997,1237,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_COMPOSITE,256,6,1,32.3124,7.608716e-05,0.0264,0.8182,1233,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_ADAPTIVE,256,6,1,32.4382,7.391430e-05,0.0143,0.7973,1232,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_105,ecg,DROP,128,3,0,33.2051,7.099861e-05,0.0013,0.9033,968,0.9333,1.0000,0.8750,2.3810,-1.0000
ecg_105,ecg,RANDOM_DROP,128,3,0,29.3187,1.737348e-04,0.0020,0.8783,969,0.9333,1.0000,0.8750,2.7778,-1.0000
ecg_105,ecg,DROP_MIDDLE,128,3,0,33.8664,6.097083e-05,0.0011,0.9089,970,0.9333,1.0000,0.8750,2.3810,-1.0000
ecg_105,ecg,DROP_LOW_VARIANCE,128,3,0,33.1674,7.161724e-05,0.0022,0.8473,967,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,ADAPTIVE,128,3,0,36.1075,3.639236e-05,0.2070,0.9300,799,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,LEGACY_IMPORTANCE,128,3,0,33.6983,6.337710e-05,0.0010,0.9098,971,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_105,ecg,IMP_FIRST_ORDER,128,3,0,33.7189,6.307750e-05,0.0083,0.9098,968,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_105,ecg,IMP_WINDOWED_ENERGY,128,3,0,32.6380,8.090279e-05,0.0050,0.8552,966,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,IMP_COMPOSITE,128,3,0,34.4620,5.315700e-05,0.0233,0.8858,965,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,IMP_ADAPTIVE,128,3,0,34.6538,5.086028e-05,0.0213,0.8862,962,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,DROP,128,3,1,33.5088,6.620347e-05,0.0013,0.9033,962,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_105,ecg,RANDOM_DROP,128,3,1,25.3804,4.302518e-04,0.0023,0.8689,964,0.9333,1.0000,0.8750,3.5714,-1.0000
ecg_105,ecg,DROP_MIDDLE,128,3,1,33.4533,6.705451e-05,0.0010,0.9091,954,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_105,ecg,DROP_LOW_VARIANCE,128,3,1,33.1819,7.137912e-05,0.0198,0.8458,972,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,ADAPTIVE,128,3,1,35.7820,3.922500e-05,0.2310,0.9218,798,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_105,ecg,LEGACY_IMPORTANCE,128,3,1,33.6756,6.370853e-05,0.0021,0.9115,970,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_105,ecg,IMP_FIRST_ORDER,128,3,1,33.6886,6.351802e-05,0.0018,0.9120,968,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_105,ecg,IMP_WINDOWED_ENERGY,128,3,1,32.9160,7.588671e-05,0.0035,0.8576,963,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,IMP_COMPOSITE,128,3,1,34.4395,5.343384e-05,0.0517,0.8843,961,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,IMP_ADAPTIVE,128,3,1,35.0348,4.658872e-05,0.0227,0.8896,957,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,DROP,128,6,0,27.0659,2.918577e-04,0.0021,0.8184,1374,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_105,ecg,RANDOM_DROP,128,6,0,16.3188,3.466411e-03,0.0021,0.7715,1370,0.9333,1.0000,0.8750,5.9524,-1.0000
ecg_105,ecg,DROP_MIDDLE,128,6,0,26.4083,3.395737e-04,0.0207,0.8081,1369,0.9333,1.0000,0.8750,2.7778,-1.0000
ecg_105,ecg,DROP_LOW_VARIANCE,128,6,0,23.8661,6.097551e-04,0.0026,0.7335,1371,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,ADAPTIVE,128,6,0,30.5499,1.308503e-04,0.3851,0.8759,1217,0.9333,1.0000,0.8750,3.9683,-1.0000
ecg_105,ecg,LEGACY_IMPORTANCE,128,6,0,28.4935,2.100936e-04,0.0023,0.8134,1369,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_105,ecg,IMP_FIRST_ORDER,128,6,0,28.5085,2.093700e-04,0.0091,0.8098,1368,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_105,ecg,IMP_WINDOWED_ENERGY,128,6,0,27.0661,2.918434e-04,0.0240,0.7631,1369,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,IMP_COMPOSITE,128,6,0,29.6414,1.612968e-04,0.0269,0.7980,1367,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,IMP_ADAPTIVE,128,6,0,29.9733,1.494286e-04,0.0285,0.7872,1369,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,DROP,128,6,1,26.6686,3.198157e-04,0.0025,0.8083,1371,0.9333,1.0000,0.8750,4.3651,-1.0000
ecg_105,ecg,RANDOM_DROP,128,6,1,18.9319,1.899191e-03,0.0084,0.7917,1372,0.9333,1.0000,0.8750,4.7619,-1.0000
ecg_105,ecg,DROP_MIDDLE,128,6,1,27.2134,2.821115e-04,0.0014,0.8223,1372,0.9333,1.0000,0.8750,2.7778,-1.0000
ecg_105,ecg,DROP_LOW_VARIANCE,128,6,1,23.8949,6.057138e-04,0.0034,0.7340,1368,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,ADAPTIVE,128,6,1,30.7147,1.259780e-04,0.2037,0.8865,1219,0.9333,1.0000,0.8750,3.1746,-1.0000
ecg_105,ecg,LEGACY_IMPORTANCE,128,6,1,28.5617,2.068215e-04,0.0250,0.8146,1370,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_105,ecg,IMP_FIRST_ORDER,128,6,1,28.5523,2.072665e-04,0.0172,0.8127,1363,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_105,ecg,IMP_WINDOWED_ENERGY,128,6,1,25.5721,4.116737e-04,0.0368,0.7672,1369,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,IMP_COMPOSITE,128,6,1,29.5294,1.655102e-04,0.0220,0.8038,1368,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,IMP_ADAPTIVE,128,6,1,30.3208,1.379369e-04,0.0318,0.7917,1369,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,DROP,256,3,0,33.7631,6.243854e-05,0.0017,0.9093,841,0.9333,1.0000,0.8750,3.1746,-1.0000
ecg_105,ecg,RANDOM_DROP,256,3,0,26.8921,3.037738e-04,0.0035,0.8954,840,0.9333,1.0000,0.8750,2.7778,-1.0000
ecg_105,ecg,DROP_MIDDLE,256,3,0,34.5298,5.233403e-05,0.0015,0.9252,839,0.9333,1.0000,0.8750,1.1905,-1.0000
ecg_105,ecg,DROP_LOW_VARIANCE,256,3,0,34.7881,4.931183e-05,0.0035,0.8716,841,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,ADAPTIVE,256,3,0,36.5440,3.291250e-05,0.2158,0.9339,692,0.9333,1.0000,0.8750,2.3810,-1.0000
ecg_105,ecg,LEGACY_IMPORTANCE,256,3,0,34.3220,5.489881e-05,0.0025,0.9298,842,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_105,ecg,IMP_FIRST_ORDER,256,3,0,34.3616,5.440082e-05,0.0492,0.9307,834,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_105,ecg,IMP_WINDOWED_ENERGY,256,3,0,34.3721,5.426864e-05,0.0344,0.8846,823,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,IMP_COMPOSITE,256,3,0,35.3865,4.296514e-05,0.0404,0.9110,820,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,IMP_ADAPTIVE,256,3,0,35.9614,3.763746e-05,0.0565,0.9127,829,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,DROP,256,3,1,33.6440,6.417431e-05,0.0025,0.9173,841,0.9333,1.0000,0.8750,2.7778,-1.0000
ecg_105,ecg,RANDOM_DROP,256,3,1,22.0355,9.294217e-04,0.0178,0.8778,843,0.9333,1.0000,0.8750,2.7778,-1.0000
ecg_105,ecg,DROP_MIDDLE,256,3,1,34.2617,5.566562e-05,0.0080,0.9250,842,0.9333,1.0000,0.8750,1.9841,-1.0000
