signal,domain,mode,buffer_size,overload,retained,expected,drops,snr_db,mse,max_error,deriv_ratio,snr_saturated,spectral_correlation
ecg_100,ecg,DROP,64,2,1063,1063,937,31.283607,9.642500e-05,0.095000,0.885891,0,-1.000000
ecg_100,ecg,DROP_MIDDLE,64,2,1063,1063,937,31.699223,8.762500e-05,0.095000,0.889918,0,-1.000000
ecg_100,ecg,DROP_LOW_VARIANCE,64,2,1063,1063,937,35.595001,3.573142e-05,0.032143,0.868439,0,-1.000000
ecg_100,ecg,LEGACY_IMPORTANCE,64,2,1063,1063,937,35.414558,3.724728e-05,0.035000,0.924554,0,-1.000000
ecg_100,ecg,IMP_FIRST_ORDER,64,2,1063,1063,937,35.406913,3.731291e-05,0.035000,0.925091,0,-1.000000
ecg_100,ecg,IMP_SECOND_ORDER,64,2,1063,1063,937,31.451340,9.277188e-05,0.110000,0.892066,0,-1.000000
ecg_100,ecg,IMP_WINDOWED_ENERGY,64,2,1063,1063,937,34.673392,4.417853e-05,0.030455,0.868707,0,-1.000000
ecg_100,ecg,IMP_COMPOSITE,64,2,1063,1063,937,35.427581,3.713576e-05,0.032500,0.904417,0,-1.000000
ecg_100,ecg,IMP_ADAPTIVE,64,2,1063,1063,937,35.582073,3.583794e-05,0.035000,0.898241,0,-1.000000
ecg_100,ecg,IMP_INTERP_ERROR,64,2,1063,1063,937,43.781210,5.425370e-06,0.010000,0.989797,0,-1.000000
ecg_100,ecg,IMP_INTERP_COMPOSITE,64,2,1063,1063,937,43.750550,5.463808e-06,0.010000,0.989260,0,-1.000000
ecg_100,ecg,IMP_VW_AREA,64,2,1063,1063,937,43.309446,6.047917e-06,0.012500,0.984159,0,-1.000000
ecg_100,ecg,IE_ORACLE_OFFLINE,64,2,1063,1063,937,44.675992,4.415208e-06,0.006250,0.991408,0,-1.000000
ecg_100,ecg,VW_ORACLE_OFFLINE,64,2,1063,1063,937,44.181128,4.948090e-06,0.007500,0.988723,0,-1.000000
ecg_100,ecg,LTTB_OFFLINE,64,2,1063,1063,937,32.905754,6.637049e-05,0.095000,0.966975,0,-1.000000
ecg_100,ecg,DROP,64,3,730,730,1270,25.174643,3.936281e-04,0.208333,0.828433,0,-1.000000
ecg_100,ecg,DROP_MIDDLE,64,3,730,730,1270,25.424901,3.715868e-04,0.185000,0.834877,0,-1.000000
ecg_100,ecg,DROP_LOW_VARIANCE,64,3,730,730,1270,32.139354,7.917991e-05,0.038333,0.790039,0,-1.000000
ecg_100,ecg,LEGACY_IMPORTANCE,64,3,730,730,1270,32.233073,7.748954e-05,0.037097,0.855014,0,-1.000000
ecg_100,ecg,IMP_FIRST_ORDER,64,3,730,730,1270,32.342607,7.555961e-05,0.037097,0.855551,0,-1.000000
ecg_100,ecg,IMP_SECOND_ORDER,64,3,730,730,1270,25.189732,3.922628e-04,0.193333,0.769902,0,-1.000000
ecg_100,ecg,IMP_WINDOWED_ENERGY,64,3,730,730,1270,31.799141,8.563203e-05,0.040000,0.800779,0,-1.000000
ecg_100,ecg,IMP_COMPOSITE,64,3,730,730,1270,32.194525,7.818039e-05,0.035000,0.830044,0,-1.000000
ecg_100,ecg,IMP_ADAPTIVE,64,3,730,730,1270,32.312454,7.608604e-05,0.037500,0.815009,0,-1.000000
ecg_100,ecg,IMP_INTERP_ERROR,64,3,730,730,1270,37.784650,2.158169e-05,0.019000,0.954893,0,-1.000000
ecg_100,ecg,IMP_INTERP_COMPOSITE,64,3,730,730,1270,37.743120,2.178905e-05,0.017500,0.953551,0,-1.000000
ecg_100,ecg,IMP_VW_AREA,64,3,730,730,1270,36.820098,2.694887e-05,0.033333,0.941469,0,-1.000000
ecg_100,ecg,IE_ORACLE_OFFLINE,64,3,730,730,1270,38.570805,1.800818e-05,0.012857,0.965901,0,-1.000000
ecg_100,ecg,VW_ORACLE_OFFLINE,64,3,730,730,1270,38.326019,1.905235e-05,0.022500,0.965633,0,-1.000000
ecg_100,ecg,LTTB_OFFLINE,64,3,730,730,1270,29.201724,1.557320e-04,0.160000,0.935562,0,-1.000000
ecg_100,ecg,DROP,64,4,563,563,1437,21.756543,8.647609e-04,0.292500,0.729360,0,-1.000000
ecg_100,ecg,DROP_MIDDLE,64,4,563,563,1437,21.764099,8.632578e-04,0.292500,0.731776,0,-1.000000
