method,overload,trial,window_idx,true_label,pred_label,correct,snr_db,spec_corr,class_name
PROPOSED,10,0,0,0,0,1,30.32,0.9997,normal
PROPOSED,10,0,1,0,0,1,30.42,0.9998,normal
PROPOSED,10,0,2,0,0,1,30.49,0.9997,normal
PROPOSED,10,0,3,0,0,1,29.83,0.9997,normal
PROPOSED,10,0,4,0,0,1,30.55,0.9998,normal
PROPOSED,10,0,5,0,0,1,31.24,0.9998,normal
PROPOSED,10,0,6,0,0,1,30.96,0.9998,normal
PROPOSED,10,0,7,0,0,1,30.03,0.9997,normal
PROPOSED,10,0,8,0,0,1,30.66,0.9998,normal
PROPOSED,10,0,9,0,0,1,31.72,0.9998,normal
PROPOSED,10,0,10,0,0,1,29.09,0.9997,normal
PROPOSED,10,0,11,0,0,1,30.73,0.9998,normal
PROPOSED,10,0,12,0,0,1,32.25,0.9998,normal
PROPOSED,10,0,13,0,0,1,30.13,0.9997,normal
PROPOSED,10,0,14,0,0,1,29.56,0.9997,normal
PROPOSED,10,0,15,0,0,1,30.90,0.9998,normal
PROPOSED,10,0,16,0,0,1,30.97,0.9998,normal
PROPOSED,10,0,17,0,0,1,31.23,0.9998,normal
PROPOSED,10,0,18,0,0,1,30.55,0.9997,normal
PROPOSED,10,0,19,1,1,1,18.81,0.9945,inner_race
PROPOSED,10,0,20,1,1,1,18.84,0.9943,inner_race
PROPOSED,10,0,21,1,1,1,19.98,0.9958,inner_race
PROPOSED,10,0,22,1,1,1,19.38,0.9957,inner_race
PROPOSED,10,0,23,1,1,1,20.79,0.9967,inner_race
PROPOSED,10,0,24,1,1,1,19.61,0.9951,inner_race
PROPOSED,10,0,25,1,1,1,18.13,0.9935,inner_race
PROPOSED,10,0,26,1,1,1,18.91,0.9950,inner_race
PROPOSED,10,0,27,1,1,1,18.52,0.9943,inner_race
PROPOSED,10,0,28,1,1,1,19.21,0.9946,inner_race
PROPOSED,10,0,29,1,1,1,19.82,0.9959,inner_race
PROPOSED,10,0,30,1,1,1,17.96,0.9940,inner_race
PROPOSED,10,0,31,1,1,1,18.54,0.9946,inner_race
PROPOSED,10,0,32,1,1,1,20.62,0.9962,inner_race
PROPOSED,10,0,33,1,1,1,19.89,0.9952,inner_race
PROPOSED,10,0,34,1,1,1,18.83,0.9953,inner_race
PROPOSED,10,0,35,1,1,1,18.34,0.9927,inner_race
PROPOSED,10,0,36,1,1,1,20.20,0.9959,inner_race
PROPOSED,10,0,37,1,1,1,19.76,0.9955,inner_race
PROPOSED,10,0,38,2,2,1,16.37,0.9927,ball_fault
PROPOSED,10,0,39,2,2,1,15.88,0.9936,ball_fault
PROPOSED,10,0,40,2,2,1,15.14,0.9896,ball_fault
PROPOSED,10,0,41,2,2,1,15.65,0.9913,ball_fault
PROPOSED,10,0,42,2,2,1,15.01,0.9890,ball_fault
PROPOSED,10,0,43,2,2,1,16.29,0.9927,ball_fault
PROPOSED,10,0,44,2,2,1,15.78,0.9920,ball_fault
PROPOSED,10,0,45,2,2,1,15.74,0.9908,ball_fault
PROPOSED,10,0,46,2,2,1,15.98,0.9914,ball_fault
PROPOSED,10,0,47,2,2,1,13.63,0.9878,ball_fault
PROPOSED,10,0,48,2,2,1,13.70,0.9868,ball_fault
PROPOSED,10,0,49,2,2,1,14.16,0.9887,ball_fault
