method,overload,trial,accuracy,n_correct,n_total,avg_snr,avg_spec_corr,acc_normal,acc_inner_race,acc_ball_fault
UNCOMPRESSED,1,0,1,57,57,inf,1.0000,1.0000,1.0000,1.0000
PROPOSED,10,0,1.0000,57,57,21.83,0.9954,1.0000,1.0000,1.0000
PROPOSED,10,1,1.0000,57,57,21.79,0.9953,1.0000,1.0000,1.0000
PROPOSED,10,2,1.0000,57,57,21.75,0.9952,1.0000,1.0000,1.0000
PROPOSED,10,3,1.0000,57,57,21.93,0.9954,1.0000,1.0000,1.0000
PROPOSED,10,4,1.0000,57,57,21.92,0.9954,1.0000,1.0000,1.0000
PROPOSED,20,0,1.0000,57,57,18.38,0.9898,1.0000,1.0000,1.0000
PROPOSED,20,1,1.0000,57,57,18.35,0.9898,1.0000,1.0000,1.0000
PROPOSED,20,2,1.0000,57,57,18.36,0.9898,1.0000,1.0000,1.0000
PROPOSED,20,3,1.0000,57,57,18.32,0.9897,1.0000,1.0000,1.0000
PROPOSED,20,4,1.0000,57,57,18.34,0.9898,1.0000,1.0000,1.0000
PROPOSED,30,0,1.0000,57,57,17.24,0.9868,1.0000,1.0000,1.0000
PROPOSED,30,1,1.0000,57,57,17.26,0.9867,1.0000,1.0000,1.0000
PROPOSED,30,2,1.0000,57,57,17.24,0.9867,1.0000,1.0000,1.0000
PROPOSED,30,3,1.0000,57,57,17.26,0.9869,1.0000,1.0000,1.0000
PROPOSED,30,4,1.0000,57,57,17.24,0.9867,1.0000,1.0000,1.0000
PROPOSED,50,0,1.0000,57,57,16.38,0.9837,1.0000,1.0000,1.0000
PROPOSED,50,1,1.0000,57,57,16.37,0.9836,1.0000,1.0000,1.0000
PROPOSED,50,2,1.0000,57,57,16.41,0.9838,1.0000,1.0000,1.0000
PROPOSED,50,3,1.0000,57,57,16.42,0.9840,1.0000,1.0000,1.0000
PROPOSED,50,4,1.0000,57,57,16.41,0.9837,1.0000,1.0000,1.0000
PROPOSED,80,0,1.0000,57,57,15.91,0.9818,1.0000,1.0000,1.0000
PROPOSED,80,1,1.0000,57,57,15.91,0.9817,1.0000,1.0000,1.0000
PROPOSED,80,2,1.0000,57,57,15.90,0.9818,1.0000,1.0000,1.0000
PROPOSED,80,3,1.0000,57,57,15.93,0.9818,1.0000,1.0000,1.0000
PROPOSED,80,4,1.0000,57,57,15.90,0.9814,1.0000,1.0000,1.0000
PROPOSED,100,0,1.0000,57,57,15.75,0.9813,1.0000,1.0000,1.0000
PROPOSED,100,1,1.0000,57,57,15.72,0.9809,1.0000,1.0000,1.0000
