signal,condition,load,diameter,mode,buffer_size,overload,retained,CR,f_nominal,f_orig,f_recon,freq_error_hz,amp_error_pct,pnr_db,pnr_orig_db,diagnosable
IR007_0,inner_race,0,0.007,IE,128,5,2527,4.749,162.185,162.0,162.0,0.0,12.704,32.58,33.973,1
IR007_0,inner_race,0,0.007,VW,128,5,2527,4.749,162.185,162.0,162.0,0.0,16.297,29.307,33.973,1
IR007_0,inner_race,0,0.007,DROP,128,5,2527,4.749,162.185,162.0,162.0,0.0,94.411,20.841,33.973,1
IR007_0,inner_race,0,0.007,IE_ORACLE,128,5,2527,4.749,162.185,162.0,162.0,0.0,15.644,32.885,33.973,1
IR007_0,inner_race,0,0.007,LTTB,128,5,2527,4.749,162.185,162.0,162.0,0.0,69.112,25.43,33.973,1
IR007_0,inner_race,0,0.007,SDT,128,5,2529,4.745,162.185,162.0,162.0,0.0,8.301,32.794,33.973,1
IR007_0,inner_race,0,0.007,SDT_BOUNDED,128,5,2525,4.752,162.185,162.0,162.0,0.0,8.307,32.818,33.973,1
IR007_0,inner_race,0,0.007,IE,128,10,1327,9.043,162.185,162.0,162.0,0.0,10.561,30.992,33.973,1
IR007_0,inner_race,0,0.007,VW,128,10,1327,9.043,162.185,162.0,162.0,0.0,70.089,20.609,33.973,1
IR007_0,inner_race,0,0.007,DROP,128,10,1327,9.043,162.185,162.0,162.0,0.0,98.63,20.12,33.973,1
IR007_0,inner_race,0,0.007,IE_ORACLE,128,10,1327,9.043,162.185,162.0,162.0,0.0,4.101,31.764,33.973,1
IR007_0,inner_race,0,0.007,LTTB,128,10,1327,9.043,162.185,162.0,162.0,0.0,87.837,21.275,33.973,1
IR007_0,inner_race,0,0.007,SDT,128,10,1327,9.043,162.185,162.0,162.0,0.0,28.984,29.548,33.973,1
IR007_0,inner_race,0,0.007,SDT_BOUNDED,128,10,1323,9.07,162.185,162.0,162.0,0.0,29.127,29.69,33.973,1
IR007_0,inner_race,0,0.007,IE,128,20,727,16.506,162.185,162.0,162.0,0.0,38.448,29.243,33.973,1
IR007_0,inner_race,0,0.007,VW,128,20,727,16.506,162.185,162.0,162.0,0.0,90.187,19.845,33.973,1
IR007_0,inner_race,0,0.007,DROP,128,20,727,16.506,162.185,162.0,162.0,0.0,99.519,19.559,33.973,1
IR007_0,inner_race,0,0.007,IE_ORACLE,128,20,727,16.506,162.185,162.0,162.0,0.0,31.531,28.713,33.973,1
IR007_0,inner_race,0,0.007,LTTB,128,20,727,16.506,162.185,162.0,162.0,0.0,92.302,18.364,33.973,1
IR007_0,inner_race,0,0.007,SDT,128,20,727,16.506,162.185,162.0,162.0,0.0,58.083,26.526,33.973,1
IR007_0,inner_race,0,0.007,SDT_BOUNDED,128,20,725,16.552,162.185,162.0,162.0,0.0,58.089,26.531,33.973,1
IR007_0,inner_race,0,0.007,IE,128,50,367,32.698,162.185,162.0,162.0,0.0,67.893,22.372,33.973,1
IR007_0,inner_race,0,0.007,VW,128,50,367,32.698,162.185,162.0,162.0,0.0,98.342,14.423,33.973,1
IR007_0,inner_race,0,0.007,DROP,128,50,367,32.698,162.185,162.0,162.0,0.0,99.955,9.847,33.973,1
IR007_0,inner_race,0,0.007,IE_ORACLE,128,50,367,32.698,162.185,162.0,162.0,0.0,57.269,24.162,33.973,1
IR007_0,inner_race,0,0.007,LTTB,128,50,367,32.698,162.185,162.0,162.0,0.0,95.345,16.468,33.973,1
IR007_0,inner_race,0,0.007,SDT,128,50,368,32.609,162.185,162.0,162.0,0.0,81.137,22.468,33.973,1
IR007_0,inner_race,0,0.007,SDT_BOUNDED,128,50,368,32.609,162.185,162.0,162.0,0.0,81.137,22.468,33.973,1
IR007_0,inner_race,0,0.007,IE,256,5,2655,4.52,162.185,162.0,162.0,0.0,12.888,32.632,33.973,1
IR007_0,inner_race,0,0.007,VW,256,5,2655,4.52,162.185,162.0,162.0,0.0,16.882,29.267,33.973,1
IR007_0,inner_race,0,0.007,DROP,256,5,2655,4.52,162.185,162.0,162.0,0.0,94.353,22.156,33.973,1
IR007_0,inner_race,0,0.007,IE_ORACLE,256,5,2655,4.52,162.185,162.0,162.0,0.0,15.831,33.265,33.973,1
IR007_0,inner_race,0,0.007,LTTB,256,5,2655,4.52,162.185,162.0,162.0,0.0,65.512,26.587,33.973,1
IR007_0,inner_race,0,0.007,SDT,256,5,2658,4.515,162.185,162.0,162.0,0.0,10.299,33.318,33.973,1
IR007_0,inner_race,0,0.007,SDT_BOUNDED,256,5,2653,4.523,162.185,162.0,162.0,0.0,10.211,33.383,33.973,1
IR007_0,inner_race,0,0.007,IE,256,10,1455,8.247,162.185,162.0,162.0,0.0,8.85,30.73,33.973,1
IR007_0,inner_race,0,0.007,VW,256,10,1455,8.247,162.185,162.0,162.0,0.0,68.42,21.136,33.973,1
IR007_0,inner_race,0,0.007,DROP,256,10,1455,8.247,162.185,162.0,162.0,0.0,98.567,19.333,33.973,1
IR007_0,inner_race,0,0.007,IE_ORACLE,256,10,1455,8.247,162.185,162.0,162.0,0.0,0.549,32.318,33.973,1
IR007_0,inner_race,0,0.007,LTTB,256,10,1455,8.247,162.185,162.0,162.0,0.0,84.19,22.173,33.973,1
IR007_0,inner_race,0,0.007,SDT,256,10,1455,8.247,162.185,162.0,162.0,0.0,25.215,29.979,33.973,1
IR007_0,inner_race,0,0.007,SDT_BOUNDED,256,10,1453,8.259,162.185,162.0,162.0,0.0,25.511,29.784,33.973,1
IR007_0,inner_race,0,0.007,IE,256,20,855,14.035,162.185,162.0,162.0,0.0,34.042,28.975,33.973,1
IR007_0,inner_race,0,0.007,VW,256,20,855,14.035,162.185,162.0,162.0,0.0,88.923,18.173,33.973,1
IR007_0,inner_race,0,0.007,DROP,256,20,855,14.035,162.185,162.0,162.0,0.0,99.556,17.307,33.973,1
