signal,condition,load,mode,buffer_size,overload,retained,CR,snr_db,snr_saturated,pnr_orig_db,pnr_db,pnr_loss,amp_error_pct,diagnosable
Normal_3,,,IE,128,5,2527,4.7487,2.3684,0,,,,,
Normal_3,,,VW,128,5,2527,4.7487,1.9649,0,,,,,
Normal_3,,,DROP,128,5,2527,4.7487,0.6007,0,,,,,
Normal_3,,,IE_ORACLE,128,5,2527,4.7487,2.7037,0,,,,,
Normal_3,,,LTTB,128,5,2527,4.7487,1.1573,0,,,,,
Normal_3,,,SDT,128,5,2527,4.7487,2.3735,0,,,,,
Normal_3,,,SDT_BOUNDED,128,5,2514,4.7733,2.3167,0,,,,,
Normal_3,,,IE,128,10,1327,9.043,-0.5158,0,,,,,
Normal_3,,,VW,128,10,1327,9.043,0.2091,0,,,,,
Normal_3,,,DROP,128,10,1327,9.043,-0.2121,0,,,,,
Normal_3,,,IE_ORACLE,128,10,1327,9.043,-0.1511,0,,,,,
Normal_3,,,LTTB,128,10,1327,9.043,-0.6718,0,,,,,
Normal_3,,,SDT,128,10,1326,9.0498,0.553,0,,,,,
Normal_3,,,SDT_BOUNDED,128,10,1319,9.0978,0.4883,0,,,,,
Normal_3,,,IE,128,20,727,16.5062,-2.6458,0,,,,,
Normal_3,,,VW,128,20,727,16.5062,-1.2836,0,,,,,
Normal_3,,,DROP,128,20,727,16.5062,-1.397,0,,,,,
Normal_3,,,IE_ORACLE,128,20,727,16.5062,-2.0483,0,,,,,
Normal_3,,,LTTB,128,20,727,16.5062,-1.5261,0,,,,,
Normal_3,,,SDT,128,20,728,16.4835,-0.3658,0,,,,,
Normal_3,,,SDT_BOUNDED,128,20,728,16.4835,-0.3658,0,,,,,
Normal_3,,,IE,128,50,367,32.6975,-3.7457,0,,,,,
Normal_3,,,VW,128,50,367,32.6975,-2.4243,0,,,,,
Normal_3,,,DROP,128,50,367,32.6975,-1.8898,0,,,,,
Normal_3,,,IE_ORACLE,128,50,367,32.6975,-3.6947,0,,,,,
Normal_3,,,LTTB,128,50,367,32.6975,-3.1937,0,,,,,
Normal_3,,,SDT,128,50,370,32.4324,-1.1271,0,,,,,
