mode,buffer_size,repeat,evictions,avg_us,trial_max_us,wall_clock_ms
IMP_INTERP_ERROR,2048,0,47952,5.8127,111.7120,283.7385
IMP_INTERP_ERROR,2048,1,47952,5.7970,67.5230,282.8808
IMP_INTERP_ERROR,2048,2,47952,5.7821,63.4100,282.1719
IMP_INTERP_ERROR,2048,3,47952,5.7740,36.8500,281.6937
IMP_INTERP_ERROR,2048,4,47952,5.7663,30.2370,281.4072
IMP_INTERP_ERROR,2048,5,47952,5.7660,35.9580,281.3867
IMP_INTERP_ERROR,2048,6,47952,5.7903,49.0140,282.5247
IMP_INTERP_ERROR,2048,7,47952,5.7779,53.5620,281.9747
IMP_INTERP_ERROR,2048,8,47952,5.7741,66.0460,281.7847
IMP_INTERP_ERROR,2048,9,47952,5.7542,45.7070,280.7572
IMP_INTERP_ERROR,2048,10,47952,5.7964,53.7370,282.8723
IMP_INTERP_ERROR,2048,11,47952,5.7724,51.1270,281.7403
IMP_INTERP_ERROR,2048,12,47952,5.7999,43.7630,283.0010
IMP_INTERP_ERROR,2048,13,47952,5.7709,47.9310,281.6639
IMP_INTERP_ERROR,2048,14,47952,5.7671,33.8350,281.4416
IMP_INTERP_ERROR,2048,15,47952,5.7660,40.7680,281.3532
IMP_INTERP_ERROR,2048,16,47952,5.7634,50.0650,281.1938
IMP_INTERP_ERROR,2048,17,47952,5.7909,98.7180,282.6057
IMP_INTERP_ERROR,2048,18,47952,5.7694,37.4110,281.5288
IMP_INTERP_ERROR,2048,19,47952,5.7688,34.4560,281.5191
IMP_INTERP_ERROR,2048,20,47952,5.7621,55.1550,281.2178
IMP_INTERP_ERROR,2048,21,47952,6.2564,295.5710,305.1921
IMP_INTERP_ERROR,2048,22,47952,5.9205,1473.9820,288.9285
IMP_INTERP_ERROR,2048,23,47952,5.7896,44.8760,282.5641
IMP_INTERP_ERROR,2048,24,47952,5.8018,63.8310,283.1281
IMP_INTERP_ERROR,2048,25,47952,5.8166,50.6060,283.8125
IMP_INTERP_ERROR,2048,26,47952,5.7870,51.3280,282.3615
IMP_INTERP_ERROR,2048,27,47952,5.7782,42.5610,281.9970
IMP_INTERP_ERROR,2048,28,47952,5.7788,105.7460,282.0188
IMP_INTERP_ERROR,2048,29,47952,5.8347,43.4430,284.6781
IMP_INTERP_ERROR,2048,30,47952,5.9051,58.2100,288.0947
IMP_INTERP_ERROR,2048,31,47952,5.7973,90.2570,282.8993
IMP_INTERP_ERROR,2048,32,47952,5.8498,54.1420,285.3916
IMP_INTERP_ERROR,2048,33,47952,5.8404,74.4420,285.0112
IMP_INTERP_ERROR,2048,34,47952,5.8403,55.4250,284.9408
IMP_INTERP_ERROR,2048,35,47952,6.5134,52.3600,317.8484
IMP_INTERP_ERROR,2048,36,47952,5.9356,76.0750,289.5586
IMP_INTERP_ERROR,2048,37,47952,5.9363,86.9550,289.6108
IMP_INTERP_ERROR,2048,38,47952,6.0549,65.7300,295.3486
IMP_INTERP_ERROR,2048,39,47952,5.8821,49.8850,286.9561
IMP_INTERP_ERROR,2048,40,47952,5.8420,42.2000,285.0825
IMP_INTERP_ERROR,2048,41,47952,6.1117,2044.1520,298.2326
IMP_INTERP_ERROR,2048,42,47952,7.5864,3084.2900,370.5476
IMP_INTERP_ERROR,2048,43,47952,5.9188,77.8880,288.9017
IMP_INTERP_ERROR,2048,44,47952,5.8963,74.3120,287.7716
IMP_INTERP_ERROR,2048,45,47952,5.8406,62.2580,284.9290
IMP_INTERP_ERROR,2048,46,47952,5.8513,102.0830,285.4661
IMP_INTERP_ERROR,2048,47,47952,9.1294,16930.5590,445.3922
IMP_INTERP_ERROR,2048,48,47952,7.7275,971.0990,377.4066
IMP_INTERP_ERROR,2048,49,47952,6.2969,191.2980,307.3437
IMP_INTERP_ERROR,2048,50,47952,7.9735,3219.0080,389.9196
IMP_INTERP_ERROR,2048,51,47952,7.0507,1132.6020,344.4741
IMP_INTERP_ERROR,2048,52,47952,7.1833,232.2420,351.0624
IMP_INTERP_ERROR,2048,53,47952,7.0066,558.2310,342.3121
IMP_INTERP_ERROR,2048,54,47952,6.9594,411.5020,340.1207
IMP_INTERP_ERROR,2048,55,47952,6.2395,133.5290,304.5630
IMP_INTERP_ERROR,2048,56,47952,6.1209,121.8220,298.6615
IMP_INTERP_ERROR,2048,57,47952,6.1758,167.9740,301.3648
IMP_INTERP_ERROR,2048,58,47952,5.9207,67.2480,288.8615
IMP_INTERP_ERROR,2048,59,47952,6.2554,314.0120,305.4131
IMP_INTERP_ERROR,2048,60,47952,6.0131,252.2550,293.4120
IMP_INTERP_ERROR,2048,61,47952,5.9279,350.2860,289.3072
IMP_INTERP_ERROR,2048,62,47952,7.0660,13792.8890,344.6531
IMP_INTERP_ERROR,2048,63,47952,5.9426,113.5910,289.9942
IMP_INTERP_ERROR,2048,64,47952,5.8997,61.8670,287.8747
IMP_INTERP_ERROR,2048,65,47952,5.9935,105.8620,292.5405
IMP_INTERP_ERROR,2048,66,47952,5.9327,162.1690,289.5691
IMP_INTERP_ERROR,2048,67,47952,5.9260,59.1520,289.2998
IMP_INTERP_ERROR,2048,68,47952,5.9273,84.2100,289.3044
IMP_INTERP_ERROR,2048,69,47952,5.8763,154.0970,286.8914
IMP_INTERP_ERROR,2048,70,47952,5.8184,141.4230,283.9630
IMP_INTERP_ERROR,2048,71,47952,5.8525,315.5500,285.6526
IMP_INTERP_ERROR,2048,72,47952,5.7959,52.1590,282.7843
IMP_INTERP_ERROR,2048,73,47952,5.7696,33.9140,281.5067
IMP_INTERP_ERROR,2048,74,47952,5.9017,61.8770,288.0590
IMP_INTERP_ERROR,2048,75,47952,5.8024,59.9540,283.2299
IMP_INTERP_ERROR,2048,76,47952,5.7814,49.2740,282.1024
IMP_INTERP_ERROR,2048,77,47952,5.8114,44.4650,283.6228
IMP_INTERP_ERROR,2048,78,47952,5.7852,54.0240,282.2516
IMP_INTERP_ERROR,2048,79,47952,5.8320,56.6380,284.6267
