mode,buffer_size,stream_length,repeat,evictions,avg_us,max_us,avg_scan_us,avg_removal_us,wall_clock_ms
IMP_INTERP_ERROR,128,5000,0,4872,0.3424,9.2380,0.2998,0.0212,2.1754
IMP_INTERP_ERROR,128,5000,1,4872,0.3475,27.2520,0.3047,0.0214,2.1607
IMP_INTERP_ERROR,128,5000,2,4872,0.3450,16.1010,0.3022,0.0214,2.1462
IMP_INTERP_ERROR,512,5000,0,4488,1.2572,50.7770,1.2139,0.0217,6.1103
IMP_INTERP_ERROR,512,5000,1,4488,1.1993,11.6320,1.1564,0.0214,5.8426
IMP_INTERP_ERROR,512,5000,2,4488,1.1892,8.4360,1.1464,0.0214,5.7949
IMP_INTERP_COMPOSITE,128,5000,0,4872,1.0423,11.6820,0.9979,0.0215,5.5458
IMP_INTERP_COMPOSITE,128,5000,1,4872,1.0267,11.9420,0.9820,0.0232,5.4715
IMP_INTERP_COMPOSITE,128,5000,2,4872,1.0133,7.7350,0.9704,0.0216,5.4211
IMP_INTERP_COMPOSITE,512,5000,0,4488,3.9406,22.6330,3.8974,0.0218,18.1481
IMP_INTERP_COMPOSITE,512,5000,1,4488,3.9705,29.9570,3.9271,0.0219,18.2902
IMP_INTERP_COMPOSITE,512,5000,2,4488,3.9400,14.3170,3.8971,0.0214,18.1448
