mode,buffer_size,stream_length,repeat,evictions,avg_us,trial_max_us,avg_scan_us,avg_removal_us,wall_clock_ms
IMP_INTERP_ERROR,128,5000,0,4872,0.3589,11.8030,0.3139,0.0211,2.2393
IMP_INTERP_ERROR,128,5000,1,4872,0.3458,20.5890,0.3033,0.0209,2.1534
IMP_INTERP_ERROR,128,5000,2,4872,0.3403,0.4310,0.2978,0.0209,2.1314
IMP_INTERP_ERROR,128,5000,3,4872,0.3428,6.5120,0.3003,0.0209,2.1359
IMP_INTERP_ERROR,128,5000,4,4872,0.3427,7.1430,0.3001,0.0209,2.1364
IMP_INTERP_ERROR,128,5000,5,4872,0.3443,14.2570,0.3018,0.0209,2.1420
IMP_INTERP_ERROR,128,5000,6,4872,0.3418,6.4320,0.2994,0.0208,2.1270
IMP_INTERP_ERROR,128,5000,7,4872,0.3482,34.6660,0.3059,0.0209,2.1689
IMP_INTERP_ERROR,128,5000,8,4872,0.3422,6.4920,0.2999,0.0209,2.1294
IMP_INTERP_ERROR,128,5000,9,4872,0.3456,14.6580,0.3031,0.0209,2.1454
IMP_INTERP_ERROR,128,5000,10,4872,0.3417,4.2180,0.2985,0.0209,2.1302
IMP_INTERP_ERROR,128,5000,11,4872,0.3467,27.8530,0.3043,0.0209,2.1500
IMP_INTERP_ERROR,128,5000,12,4872,0.3431,6.7830,0.3005,0.0209,2.1381
IMP_INTERP_ERROR,128,5000,13,4872,0.3415,5.3910,0.2991,0.0209,2.1323
IMP_INTERP_ERROR,128,5000,14,4872,0.3425,9.5180,0.3001,0.0209,2.1352
IMP_INTERP_ERROR,512,5000,0,4488,1.2019,12.6040,1.1593,0.0211,5.8547
IMP_INTERP_ERROR,512,5000,1,4488,1.1862,7.0330,1.1437,0.0209,5.7855
IMP_INTERP_ERROR,512,5000,2,4488,1.2142,12.9340,1.1715,0.0210,5.9143
IMP_INTERP_ERROR,512,5000,3,4488,1.1866,10.8010,1.1440,0.0210,5.7881
IMP_INTERP_ERROR,512,5000,4,4488,1.1918,17.3830,1.1493,0.0210,5.8082
IMP_INTERP_ERROR,512,5000,5,4488,1.2152,16.4210,1.1715,0.0222,5.9206
IMP_INTERP_ERROR,512,5000,6,4488,1.1891,10.2200,1.1466,0.0209,5.7946
IMP_INTERP_ERROR,512,5000,7,4488,1.1962,50.5060,1.1539,0.0209,5.8280
IMP_INTERP_ERROR,512,5000,8,4488,1.1883,9.7180,1.1458,0.0210,5.7854
IMP_INTERP_ERROR,512,5000,9,4488,1.1946,22.9840,1.1511,0.0219,5.8233
IMP_INTERP_ERROR,512,5000,10,4488,1.1891,10.7700,1.1467,0.0209,5.7929
IMP_INTERP_ERROR,512,5000,11,4488,1.1855,6.7830,1.1407,0.0221,5.7774
IMP_INTERP_ERROR,512,5000,12,4488,1.1891,7.8850,1.1465,0.0210,5.7957
IMP_INTERP_ERROR,512,5000,13,4488,1.1882,7.8450,1.1460,0.0209,5.7854
IMP_INTERP_ERROR,512,5000,14,4488,1.1868,11.4920,1.1443,0.0209,5.7879
IMP_INTERP_COMPOSITE,128,5000,0,4872,1.0139,7.4750,0.9712,0.0210,5.4128
IMP_INTERP_COMPOSITE,128,5000,1,4872,1.0172,14.2270,0.9747,0.0209,5.4188
IMP_INTERP_COMPOSITE,128,5000,2,4872,1.0116,6.6530,0.9689,0.0212,5.4019
IMP_INTERP_COMPOSITE,128,5000,3,4872,1.0123,6.7330,0.9684,0.0211,5.4030
IMP_INTERP_COMPOSITE,128,5000,4,4872,1.0447,14.9180,1.0017,0.0213,5.5641
IMP_INTERP_COMPOSITE,128,5000,5,4872,1.0149,8.0550,0.9724,0.0209,5.4288
IMP_INTERP_COMPOSITE,128,5000,6,4872,1.0185,24.2770,0.9759,0.0211,5.4279
IMP_INTERP_COMPOSITE,128,5000,7,4872,1.0564,30.4380,1.0132,0.0214,5.6509
IMP_INTERP_COMPOSITE,128,5000,8,4872,1.0129,8.3460,0.9701,0.0213,5.3977
IMP_INTERP_COMPOSITE,128,5000,9,4872,1.0201,31.3600,0.9763,0.0222,5.4332
IMP_INTERP_COMPOSITE,128,5000,10,4872,1.0256,29.7460,0.9819,0.0222,5.4656
IMP_INTERP_COMPOSITE,128,5000,11,4872,1.0196,20.9200,0.9770,0.0210,5.4351
IMP_INTERP_COMPOSITE,128,5000,12,4872,1.0104,6.7430,0.9677,0.0211,5.4004
IMP_INTERP_COMPOSITE,128,5000,13,4872,1.0497,26.0500,1.0068,0.0212,5.6019
IMP_INTERP_COMPOSITE,128,5000,14,4872,1.0150,8.7560,0.9712,0.0223,5.4101
IMP_INTERP_COMPOSITE,512,5000,0,4488,3.9774,29.1950,3.9347,0.0212,18.3199
IMP_INTERP_COMPOSITE,512,5000,1,4488,3.9059,32.8620,3.8632,0.0210,17.9860
IMP_INTERP_COMPOSITE,512,5000,2,4488,3.9025,18.2550,3.8598,0.0211,18.0224
IMP_INTERP_COMPOSITE,512,5000,3,4488,3.9254,17.6630,3.8827,0.0212,18.0801
IMP_INTERP_COMPOSITE,512,5000,4,4488,3.9003,20.4480,3.8577,0.0211,17.9644
IMP_INTERP_COMPOSITE,512,5000,5,4488,3.9295,16.6010,3.8867,0.0211,18.0948
