domain,method,n,mean_snr,std_snr,mean_spec_corr,std_spec_corr,mean_cv_gap
ecg,RDP_OFFLINE,485,40.4154,7.0806,0.0000,0.0000,0.6202
ecg,IMP_INTERP_LOOKAHEAD,500,38.9985,7.1483,0.0000,0.0000,0.6897
ecg,IMP_INTERP_ERROR,500,39.1925,7.2173,0.0000,0.0000,0.7008
ecg,IMP_INTERP_SPECTRAL,500,39.2349,7.2539,0.0000,0.0000,0.7106
ecg,LTTB_OFFLINE,500,33.4517,5.2417,0.0000,0.0000,0.3479
ecg,DROP,500,27.0941,6.6737,0.0000,0.0000,0.4890
vibration,RDP_OFFLINE,300,14.7264,9.8818,0.9216,0.1224,0.8480
vibration,IMP_INTERP_LOOKAHEAD,300,12.9039,9.2457,0.9474,0.0973,0.9413
vibration,IMP_INTERP_ERROR,300,12.9807,9.1372,0.9511,0.0905,0.9694
vibration,IMP_INTERP_SPECTRAL,300,13.1184,9.1517,0.9533,0.0854,0.9513
vibration,LTTB_OFFLINE,300,8.7128,8.0890,0.7538,0.2925,0.3533
vibration,DROP,300,4.6439,6.5892,0.6946,0.3150,0.4892
all,RDP_OFFLINE,785,30.5979,14.9703,0.9216,0.1224,0.7072
all,IMP_INTERP_LOOKAHEAD,800,29.2130,14.9528,0.9474,0.0973,0.7841
all,IMP_INTERP_ERROR,800,29.3631,14.9965,0.9511,0.0905,0.8015
all,IMP_INTERP_SPECTRAL,800,29.4412,14.9718,0.9533,0.0854,0.8009
all,LTTB_OFFLINE,800,24.1746,13.6070,0.7538,0.2925,0.3499
all,DROP,800,18.6753,12.7376,0.6946,0.3150,0.4891
