features,method,buffer_size,accuracy
full_spectral,uncompressed,512,1.0
full_spectral,proposed,256,1.0
full_spectral,fifo,256,1.0
full_spectral,proposed,128,1.0
full_spectral,fifo,128,1.0
full_spectral,proposed,64,1.0
full_spectral,fifo,64,1.0
full_spectral,proposed,32,0.9818181818181818
full_spectral,fifo,32,0.9833333333333332
full_spectral,proposed,16,1.0
full_spectral,fifo,16,0.9136363636363637
minimal_time,uncompressed,512,1.0
minimal_time,proposed,256,1.0
minimal_time,fifo,256,1.0
minimal_time,proposed,128,1.0
minimal_time,fifo,128,0.9818181818181818
minimal_time,proposed,64,1.0
minimal_time,fifo,64,1.0
minimal_time,proposed,32,1.0
minimal_time,fifo,32,0.9651515151515152
minimal_time,proposed,16,1.0
minimal_time,fifo,16,0.95
