signal,domain,buffer_size,overload,method,policy,epsilon,emitted,delivered,max_occupancy,occupancy_ratio,overflow_events,dropped,stalled,max_dev,eps_violation_ratio,snr_db
ecg_100,ecg,64,2,PROPOSED,none,0.000000e+00,2063,2063,64,1.0000,0,0,0,0.000000e+00,0.0000,43.537652
ecg_100,ecg,64,2,SDT,unbounded,4.285714e-03,2061,2061,73,1.1406,0,0,0,0.000000e+00,0.0000,42.950427
ecg_100,ecg,64,2,SDT,fifo_drop,4.285714e-03,2061,2052,64,1.0000,9,9,0,0.000000e+00,0.0000,42.504476
ecg_100,ecg,64,2,SDT,stall,4.285714e-03,2053,2053,64,1.0000,13,0,13,8.500000e-02,19.8333,40.748729
ecg_100,ecg,64,5,PROPOSED,none,0.000000e+00,863,863,64,1.0000,0,0,0,0.000000e+00,0.0000,32.885304
ecg_100,ecg,64,5,SDT,unbounded,1.250000e-02,858,858,67,1.0469,0,0,0,0.000000e+00,0.0000,32.404423
ecg_100,ecg,64,5,SDT,fifo_drop,1.250000e-02,858,855,64,1.0000,3,3,0,0.000000e+00,0.0000,30.783302
ecg_100,ecg,64,5,SDT,stall,1.250000e-02,855,855,64,1.0000,5,0,5,7.500000e-02,6.0000,31.562507
ecg_100,ecg,64,10,PROPOSED,none,0.000000e+00,463,463,64,1.0000,0,0,0,0.000000e+00,0.0000,29.116680
ecg_100,ecg,64,10,SDT,unbounded,1.812500e-02,463,463,70,1.0938,0,0,0,0.000000e+00,0.0000,29.783376
ecg_100,ecg,64,10,SDT,fifo_drop,1.812500e-02,463,457,64,1.0000,6,6,0,0.000000e+00,0.0000,24.597386
ecg_100,ecg,64,10,SDT,stall,1.812500e-02,457,457,64,1.0000,13,0,13,2.016667e-01,11.1264,28.720607
ecg_100,ecg,64,20,PROPOSED,none,0.000000e+00,263,263,64,1.0000,0,0,0,0.000000e+00,0.0000,24.850594
ecg_100,ecg,64,20,SDT,unbounded,3.300000e-02,263,263,67,1.0469,0,0,0,0.000000e+00,0.0000,24.173580
ecg_100,ecg,64,20,SDT,fifo_drop,3.300000e-02,263,260,64,1.0000,3,3,0,0.000000e+00,0.0000,23.867591
ecg_100,ecg,64,20,SDT,stall,3.300000e-02,261,261,64,1.0000,11,0,11,9.833333e-02,2.9798,23.941960
ecg_100,ecg,128,2,PROPOSED,none,0.000000e+00,2127,2127,128,1.0000,0,0,0,0.000000e+00,0.0000,43.867925
ecg_100,ecg,128,2,SDT,unbounded,4.000000e-03,2139,2139,148,1.1562,0,0,0,0.000000e+00,0.0000,43.835751
ecg_100,ecg,128,2,SDT,fifo_drop,4.000000e-03,2139,2119,128,1.0000,20,20,0,0.000000e+00,0.0000,42.769895
ecg_100,ecg,128,2,SDT,stall,4.000000e-03,2119,2119,128,1.0000,35,0,35,8.500000e-02,21.2500,40.291005
