domain,proposed,baseline,metric,n_pairs,n_pos,n_neg,W,z,p_value,cohens_d,mean_diff
ALL,IMP_INTERP_SPECTRAL,SDT_MATCHED,snr_db,945,404,541,177795.5000,-5.4448,5.1988e-08,-0.0147,-0.2143
ALL,IMP_INTERP_SPECTRAL,PLA_MATCHED,snr_db,945,348,597,151953.5000,-8.5239,0.0000e+00,-0.0192,-0.2794
ALL,IMP_INTERP_SPECTRAL,LTC_MATCHED,snr_db,945,404,541,177795.5000,-5.4448,5.1988e-08,-0.0147,-0.2143
ALL,IMP_INTERP_SPECTRAL,RDP_OFFLINE,snr_db,945,10,935,156.0000,-26.6108,0.0000e+00,-0.1094,-1.6339
ALL,IMP_INTERP_SPECTRAL,LTTB_OFFLINE,snr_db,960,939,21,1470.0000,-26.6687,0.0000e+00,0.3448,4.9614
ALL,IMP_INTERP_SPECTRAL,IMP_INTERP_ERROR,snr_db,960,590,370,154108.0000,-8.9060,0.0000e+00,0.0052,0.0779
ALL,IMP_INTERP_ERROR,SDT_MATCHED,snr_db,945,381,564,163660.0000,-7.1291,1.0176e-12,-0.0197,-0.2883
ALL,IMP_INTERP_ERROR,PLA_MATCHED,snr_db,945,322,623,140499.5000,-9.8887,0.0000e+00,-0.0242,-0.3534
ALL,IMP_INTERP_ERROR,LTC_MATCHED,snr_db,945,381,564,163660.0000,-7.1291,1.0176e-12,-0.0197,-0.2883
ALL,IMP_INTERP_ERROR,RDP_OFFLINE,snr_db,945,1,944,1.0000,-26.6292,0.0000e+00,-0.1142,-1.7079
ALL,IMP_INTERP_ERROR,DROP,snr_db,960,958,2,6.0000,-26.8390,0.0000e+00,0.7736,10.7819
ALL,IMP_INTERP_SPECTRAL,SDT_MATCHED,spectral_corr,355,352,3,378.5000,-16.1332,0.0000e+00,0.275343,0.037286
ALL,IMP_INTERP_SPECTRAL,PLA_MATCHED,spectral_corr,355,347,8,818.0000,-15.9061,0.0000e+00,0.265705,0.036055
ALL,IMP_INTERP_SPECTRAL,LTC_MATCHED,spectral_corr,355,352,3,378.5000,-16.1332,0.0000e+00,0.275343,0.037286
ALL,IMP_INTERP_SPECTRAL,RDP_OFFLINE,spectral_corr,355,342,13,1169.0000,-15.7249,0.0000e+00,0.263251,0.037697
ALL,IMP_INTERP_SPECTRAL,IMP_INTERP_ERROR,spectral_corr,264,144,120,14698.0000,-2.2487,2.4529e-02,0.005331,0.000655
ALL,IMP_INTERP_ERROR,SDT_MATCHED,spectral_corr,355,347,8,1245.0000,-15.6854,0.0000e+00,0.270102,0.036631
ALL,IMP_INTERP_ERROR,PLA_MATCHED,spectral_corr,355,347,8,1269.5000,-15.6728,0.0000e+00,0.260490,0.035400
ALL,IMP_INTERP_ERROR,RDP_OFFLINE,spectral_corr,355,344,11,1058.5000,-15.7819,0.0000e+00,0.258331,0.037042
ecg,IMP_INTERP_SPECTRAL,SDT_MATCHED,snr_db,585,339,246,66038.0000,-4.8081,1.5258e-06,0.0256,0.1784
ecg,IMP_INTERP_SPECTRAL,PLA_MATCHED,snr_db,585,311,274,73943.0000,-2.8752,4.0376e-03,0.0231,0.1587
ecg,IMP_INTERP_SPECTRAL,LTC_MATCHED,snr_db,585,339,246,66038.0000,-4.8081,1.5258e-06,0.0256,0.1784
ecg,IMP_INTERP_SPECTRAL,RDP_OFFLINE,snr_db,585,0,585,0.0000,-20.9552,0.0000e+00,-0.2347,-1.6810
ecg,IMP_INTERP_SPECTRAL,LTTB_OFFLINE,snr_db,600,600,0,0.0000,-21.2219,0.0000e+00,0.8314,5.5757
ecg,IMP_INTERP_SPECTRAL,IMP_INTERP_ERROR,snr_db,600,333,267,75903.0000,-3.3537,7.9738e-04,0.0041,0.0307
ecg,IMP_INTERP_ERROR,SDT_MATCHED,snr_db,585,334,251,67803.5000,-4.3764,1.2075e-05,0.0223,0.1552
ecg,IMP_INTERP_ERROR,PLA_MATCHED,snr_db,585,307,278,75637.0000,-2.4610,1.3854e-02,0.0197,0.1355
ecg,IMP_INTERP_ERROR,LTC_MATCHED,snr_db,585,334,251,67803.5000,-4.3764,1.2075e-05,0.0223,0.1552
ecg,IMP_INTERP_ERROR,RDP_OFFLINE,snr_db,585,0,585,0.0000,-20.9552,0.0000e+00,-0.2383,-1.7042
ecg,IMP_INTERP_ERROR,DROP,snr_db,600,600,0,0.0000,-21.2219,0.0000e+00,1.6644,12.5981
vibration,IMP_INTERP_SPECTRAL,SDT_MATCHED,snr_db,360,65,295,5248.5000,-13.7866,0.0000e+00,-0.0899,-0.8524
vibration,IMP_INTERP_SPECTRAL,PLA_MATCHED,snr_db,360,37,323,1892.0000,-15.4853,0.0000e+00,-0.1043,-0.9912
vibration,IMP_INTERP_SPECTRAL,LTC_MATCHED,snr_db,360,65,295,5248.5000,-13.7866,0.0000e+00,-0.0899,-0.8524
vibration,IMP_INTERP_SPECTRAL,RDP_OFFLINE,snr_db,360,10,350,156.0000,-16.3639,0.0000e+00,-0.1619,-1.5574
vibration,IMP_INTERP_SPECTRAL,LTTB_OFFLINE,snr_db,360,339,21,994.0000,-15.9398,0.0000e+00,0.4529,3.9375
vibration,IMP_INTERP_SPECTRAL,IMP_INTERP_ERROR,snr_db,360,257,103,13096.5000,-9.8147,0.0000e+00,0.0169,0.1566
vibration,IMP_INTERP_ERROR,SDT_MATCHED,snr_db,360,47,313,3193.5000,-14.8266,0.0000e+00,-0.1064,-1.0090
vibration,IMP_INTERP_ERROR,PLA_MATCHED,snr_db,360,15,345,674.0000,-16.1017,0.0000e+00,-0.1207,-1.1477
vibration,IMP_INTERP_ERROR,LTC_MATCHED,snr_db,360,47,313,3193.5000,-14.8266,0.0000e+00,-0.1064,-1.0090
vibration,IMP_INTERP_ERROR,RDP_OFFLINE,snr_db,360,1,359,1.0000,-16.4423,0.0000e+00,-0.1781,-1.7139
vibration,IMP_INTERP_ERROR,DROP,snr_db,360,358,2,6.0000,-16.4398,0.0000e+00,0.9755,7.7550
vibration,IMP_INTERP_SPECTRAL,SDT_MATCHED,spectral_corr,355,352,3,378.5000,-16.1332,0.0000e+00,0.275343,0.037286
vibration,IMP_INTERP_SPECTRAL,PLA_MATCHED,spectral_corr,355,347,8,818.0000,-15.9061,0.0000e+00,0.265705,0.036055
vibration,IMP_INTERP_SPECTRAL,LTC_MATCHED,spectral_corr,355,352,3,378.5000,-16.1332,0.0000e+00,0.275343,0.037286
vibration,IMP_INTERP_SPECTRAL,RDP_OFFLINE,spectral_corr,355,342,13,1169.0000,-15.7249,0.0000e+00,0.263251,0.037697
vibration,IMP_INTERP_SPECTRAL,IMP_INTERP_ERROR,spectral_corr,264,144,120,14698.0000,-2.2487,2.4529e-02,0.005331,0.000655
vibration,IMP_INTERP_ERROR,SDT_MATCHED,spectral_corr,355,347,8,1245.0000,-15.6854,0.0000e+00,0.270102,0.036631
vibration,IMP_INTERP_ERROR,PLA_MATCHED,spectral_corr,355,347,8,1269.5000,-15.6728,0.0000e+00,0.260490,0.035400
vibration,IMP_INTERP_ERROR,RDP_OFFLINE,spectral_corr,355,344,11,1058.5000,-15.7819,0.0000e+00,0.258331,0.037042
