record,method,buffer_size,overload,retained,CR,snr_db,f1,f1_baseline
100,IE,32,5,2031,4.924,32.6243,0.9565,0.9565
100,SDT,32,5,2061,4.852,32.4882,0.9565,0.9565
100,FIFO,32,5,2031,4.924,18.4163,0.9565,0.9565
100,IE,32,10,1031,9.699,29.1973,0.9565,0.9565
100,SDT,32,10,1055,9.479,29.3591,0.9565,0.9565
100,FIFO,32,10,1031,9.699,10.4168,0.9412,0.9565
100,IE,32,20,531,18.832,23.8794,0.9714,0.9565
100,SDT,32,20,530,18.868,21.9685,0.9714,0.9565
100,FIFO,32,20,531,18.832,6.9818,0.6786,0.9565
100,IE,32,50,231,43.29,14.7861,0.9565,0.9565
100,SDT,32,50,234,42.735,15.5158,0.9565,0.9565
100,FIFO,32,50,231,43.29,5.1667,0.4348,0.9565
100,IE,64,5,2063,4.847,33.026,0.9565,0.9565
100,SDT,64,5,2071,4.829,32.5157,0.9565,0.9565
100,FIFO,64,5,2063,4.847,18.6097,0.9565,0.9565
100,IE,64,10,1063,9.407,29.3608,0.9565,0.9565
100,SDT,64,10,1064,9.398,29.439,0.9565,0.9565
100,FIFO,64,10,1063,9.407,10.445,0.9254,0.9565
100,IE,64,20,563,17.762,24.1898,0.9714,0.9565
100,SDT,64,20,564,17.73,22.7679,0.9714,0.9565
100,FIFO,64,20,563,17.762,6.8017,0.56,0.9565
100,IE,64,50,263,38.023,15.9869,0.9565,0.9565
100,SDT,64,50,263,38.023,16.3005,0.9565,0.9565
100,FIFO,64,50,263,38.023,5.891,0.5517,0.9565
100,IE,128,5,2127,4.701,33.1176,0.9714,0.9565
100,SDT,128,5,2129,4.697,32.6395,0.9565,0.9565
100,FIFO,128,5,2127,4.701,18.6298,0.9714,0.9565
100,IE,128,10,1127,8.873,29.4873,0.9565,0.9565
100,SDT,128,10,1129,8.857,29.7178,0.9565,0.9565
100,FIFO,128,10,1127,8.873,10.7406,0.8923,0.9565
100,IE,128,20,627,15.949,24.7108,0.9565,0.9565
100,SDT,128,20,628,15.924,24.1668,0.9565,0.9565
100,FIFO,128,20,627,15.949,6.5919,0.52,0.9565
100,IE,128,50,327,30.581,17.6497,0.9714,0.9565
100,SDT,128,50,327,30.581,17.6585,0.9565,0.9565
100,FIFO,128,50,327,30.581,5.4467,0.52,0.9565
100,IE,256,5,2255,4.435,33.4342,0.9565,0.9565
100,SDT,256,5,2254,4.437,32.8517,0.9565,0.9565
100,FIFO,256,5,2255,4.435,18.2404,0.9565,0.9565
100,IE,256,10,1255,7.968,29.7106,0.9565,0.9565
100,SDT,256,10,1254,7.974,30.2885,0.9565,0.9565
100,FIFO,256,10,1255,7.968,10.7408,0.8387,0.9565
100,IE,256,20,755,13.245,25.7249,0.9565,0.9565
100,SDT,256,20,755,13.245,26.8108,0.9565,0.9565
100,FIFO,256,20,755,13.245,6.6395,0.6909,0.9565
