record,method,buffer_size,overload,retained,CR_decim,f1,precision,recall,f1_baseline
100,IE,32,5,2031,4.924,0.9565,1.0,0.9167,0.9565
100,FIFO,32,5,2031,4.924,0.9565,1.0,0.9167,0.9565
100,IE,32,10,1031,9.699,0.9565,1.0,0.9167,0.9565
100,FIFO,32,10,1031,9.699,0.9412,1.0,0.8889,0.9565
100,IE,32,20,531,18.832,0.9714,1.0,0.9444,0.9565
100,FIFO,32,20,531,18.832,0.6786,0.95,0.5278,0.9565
100,IE,32,50,231,43.29,0.9565,1.0,0.9167,0.9565
100,FIFO,32,50,231,43.29,0.4348,1.0,0.2778,0.9565
100,IE,64,5,2063,4.847,0.9565,1.0,0.9167,0.9565
100,FIFO,64,5,2063,4.847,0.9565,1.0,0.9167,0.9565
100,IE,64,10,1063,9.407,0.9565,1.0,0.9167,0.9565
100,FIFO,64,10,1063,9.407,0.9254,1.0,0.8611,0.9565
100,IE,64,20,563,17.762,0.9714,1.0,0.9444,0.9565
100,FIFO,64,20,563,17.762,0.56,1.0,0.3889,0.9565
100,IE,64,50,263,38.023,0.9565,1.0,0.9167,0.9565
100,FIFO,64,50,263,38.023,0.5517,0.7273,0.4444,0.9565
100,IE,128,5,2127,4.701,0.9714,1.0,0.9444,0.9565
100,FIFO,128,5,2127,4.701,0.9714,1.0,0.9444,0.9565
100,IE,128,10,1127,8.873,0.9565,1.0,0.9167,0.9565
100,FIFO,128,10,1127,8.873,0.8923,1.0,0.8056,0.9565
100,IE,128,20,627,15.949,0.9565,1.0,0.9167,0.9565
100,FIFO,128,20,627,15.949,0.52,0.9286,0.3611,0.9565
100,IE,128,50,327,30.581,0.9714,1.0,0.9444,0.9565
100,FIFO,128,50,327,30.581,0.52,0.9286,0.3611,0.9565
100,IE,256,5,2255,4.435,0.9565,1.0,0.9167,0.9565
100,FIFO,256,5,2255,4.435,0.9565,1.0,0.9167,0.9565
100,IE,256,10,1255,7.968,0.9565,1.0,0.9167,0.9565
100,FIFO,256,10,1255,7.968,0.8387,1.0,0.7222,0.9565
100,IE,256,20,755,13.245,0.9565,1.0,0.9167,0.9565
100,FIFO,256,20,755,13.245,0.6909,1.0,0.5278,0.9565
100,IE,256,50,455,21.978,0.9565,1.0,0.9167,0.9565
100,FIFO,256,50,455,21.978,0.44,0.7857,0.3056,0.9565
100,IE,512,5,2511,3.982,0.9565,1.0,0.9167,0.9565
100,FIFO,512,5,2511,3.982,0.9714,1.0,0.9444,0.9565
100,IE,512,10,1511,6.618,0.9565,1.0,0.9167,0.9565
100,FIFO,512,10,1511,6.618,0.9412,1.0,0.8889,0.9565
100,IE,512,20,1011,9.891,0.9565,1.0,0.9167,0.9565
100,FIFO,512,20,1011,9.891,0.6786,0.95,0.5278,0.9565
100,IE,512,50,711,14.065,0.9565,1.0,0.9167,0.9565
100,FIFO,512,50,711,14.065,0.5846,0.6552,0.5278,0.9565
101,IE,32,5,2031,4.924,0.9846,1.0,0.9697,0.9846
101,FIFO,32,5,2031,4.924,0.9846,1.0,0.9697,0.9846
101,IE,32,10,1031,9.699,0.9846,1.0,0.9697,0.9846
101,FIFO,32,10,1031,9.699,0.9524,1.0,0.9091,0.9846
101,IE,32,20,531,18.832,0.9688,1.0,0.9394,0.9846
101,FIFO,32,20,531,18.832,0.717,0.95,0.5758,0.9846
101,IE,32,50,231,43.29,0.9688,1.0,0.9394,0.9846
101,FIFO,32,50,231,43.29,0.5532,0.9286,0.3939,0.9846
101,IE,64,5,2063,4.847,0.9846,1.0,0.9697,0.9846
101,FIFO,64,5,2063,4.847,0.9846,1.0,0.9697,0.9846
101,IE,64,10,1063,9.407,0.9846,1.0,0.9697,0.9846
101,FIFO,64,10,1063,9.407,0.9688,1.0,0.9394,0.9846
101,IE,64,20,563,17.762,0.9846,1.0,0.9697,0.9846
101,FIFO,64,20,563,17.762,0.68,1.0,0.5152,0.9846
101,IE,64,50,263,38.023,0.9846,1.0,0.9697,0.9846
101,FIFO,64,50,263,38.023,0.4348,0.7692,0.303,0.9846
101,IE,128,5,2127,4.701,0.9846,1.0,0.9697,0.9846
101,FIFO,128,5,2127,4.701,0.9688,1.0,0.9394,0.9846
101,IE,128,10,1127,8.873,0.9846,1.0,0.9697,0.9846
101,FIFO,128,10,1127,8.873,0.9355,1.0,0.8788,0.9846
101,IE,128,20,627,15.949,0.9846,1.0,0.9697,0.9846
101,FIFO,128,20,627,15.949,0.717,0.95,0.5758,0.9846
101,IE,128,50,327,30.581,0.9846,1.0,0.9697,0.9846
101,FIFO,128,50,327,30.581,0.383,0.6429,0.2727,0.9846
101,IE,256,5,2255,4.435,0.9846,1.0,0.9697,0.9846
101,FIFO,256,5,2255,4.435,0.9846,1.0,0.9697,0.9846
101,IE,256,10,1255,7.968,0.9846,1.0,0.9697,0.9846
101,FIFO,256,10,1255,7.968,0.9688,1.0,0.9394,0.9846
101,IE,256,20,755,13.245,0.9846,1.0,0.9697,0.9846
101,FIFO,256,20,755,13.245,0.75,0.913,0.6364,0.9846
101,IE,256,50,455,21.978,0.9846,1.0,0.9697,0.9846
101,FIFO,256,50,455,21.978,0.28,0.4118,0.2121,0.9846
101,IE,512,5,2511,3.982,0.9846,1.0,0.9697,0.9846
101,FIFO,512,5,2511,3.982,0.9846,1.0,0.9697,0.9846
101,IE,512,10,1511,6.618,0.9846,1.0,0.9697,0.9846
101,FIFO,512,10,1511,6.618,0.9688,1.0,0.9394,0.9846
101,IE,512,20,1011,9.891,0.9846,1.0,0.9697,0.9846
101,FIFO,512,20,1011,9.891,0.7407,0.9524,0.6061,0.9846
101,IE,512,50,711,14.065,0.9846,1.0,0.9697,0.9846
101,FIFO,512,50,711,14.065,0.4444,0.5714,0.3636,0.9846
105,IE,32,5,2031,4.924,0.987,1.0,0.9744,0.961
105,FIFO,32,5,2031,4.924,0.961,0.9737,0.9487,0.961
105,IE,32,10,1031,9.699,0.987,1.0,0.9744,0.961
105,FIFO,32,10,1031,9.699,0.961,0.9737,0.9487,0.961
105,IE,32,20,531,18.832,0.987,1.0,0.9744,0.961
105,FIFO,32,20,531,18.832,0.9211,0.9459,0.8974,0.961
105,IE,32,50,231,43.29,0.961,0.9737,0.9487,0.961
105,FIFO,32,50,231,43.29,0.5091,0.875,0.359,0.961
105,IE,64,5,2063,4.847,0.961,0.9737,0.9487,0.961
105,FIFO,64,5,2063,4.847,0.961,0.9737,0.9487,0.961
105,IE,64,10,1063,9.407,0.961,0.9737,0.9487,0.961
105,FIFO,64,10,1063,9.407,0.961,0.9737,0.9487,0.961
105,IE,64,20,563,17.762,0.961,0.9737,0.9487,0.961
105,FIFO,64,20,563,17.762,0.8857,1.0,0.7949,0.961
105,IE,64,50,263,38.023,0.987,1.0,0.9744,0.961
105,FIFO,64,50,263,38.023,0.4407,0.65,0.3333,0.961
105,IE,128,5,2127,4.701,0.961,0.9737,0.9487,0.961
105,FIFO,128,5,2127,4.701,0.961,0.9737,0.9487,0.961
105,IE,128,10,1127,8.873,0.961,0.9737,0.9487,0.961
105,FIFO,128,10,1127,8.873,0.961,0.9737,0.9487,0.961
105,IE,128,20,627,15.949,0.961,0.9737,0.9487,0.961
105,FIFO,128,20,627,15.949,0.9333,0.9722,0.8974,0.961
105,IE,128,50,327,30.581,0.961,0.9737,0.9487,0.961
105,FIFO,128,50,327,30.581,0.4828,0.7368,0.359,0.961
105,IE,256,5,2255,4.435,0.961,0.9737,0.9487,0.961
105,FIFO,256,5,2255,4.435,0.987,1.0,0.9744,0.961
105,IE,256,10,1255,7.968,0.961,0.9737,0.9487,0.961
105,FIFO,256,10,1255,7.968,0.987,1.0,0.9744,0.961
105,IE,256,20,755,13.245,0.961,0.9737,0.9487,0.961
105,FIFO,256,20,755,13.245,0.9737,1.0,0.9487,0.961
105,IE,256,50,455,21.978,0.987,1.0,0.9744,0.961
105,FIFO,256,50,455,21.978,0.6885,0.9545,0.5385,0.961
105,IE,512,5,2511,3.982,0.961,0.9737,0.9487,0.961
