param_name,param_value,signal,domain,snr_composite,composite_saturated,composite_drops,snr_lttb,lttb_saturated,snr_rdp,rdp_saturated
window_half,1,ecg_100,ecg,38.6356,0,1153,30.9665,0,40.8846,0
window_half,1.0000,ecg_105,ecg,38.8537,0,1159,35.7934,0,40.8574,0
window_half,1.0000,ecg_108,ecg,36.4214,0,1155,34.7447,0,38.7234,0
window_half,1.0000,ecg_201,ecg,36.6700,0,1158,32.8340,0,39.1873,0
window_half,1.0000,ecg_228,ecg,35.2569,0,1153,32.5509,0,37.3903,0
window_half,1.0000,vib_normal_0hp,vibration,19.7759,0,1153,18.2397,0,21.8456,0
window_half,1.0000,vib_inner_race_007,vibration,8.5872,0,1149,2.8166,0,10.2649,0
window_half,1.0000,vib_ball_fault_007,vibration,5.2557,0,1152,0.7558,0,6.7258,0
window_half,2.0000,ecg_100,ecg,38.5982,0,1151,30.4988,0,40.9440,0
window_half,2.0000,ecg_105,ecg,38.9168,0,1155,36.3357,0,40.9621,0
window_half,2.0000,ecg_108,ecg,36.6666,0,1157,34.9695,0,38.6816,0
window_half,2.0000,ecg_201,ecg,36.9822,0,1157,32.8578,0,39.1796,0
window_half,2.0000,ecg_228,ecg,35.7172,0,1151,32.1235,0,37.4326,0
window_half,2.0000,vib_normal_0hp,vibration,19.9585,0,1154,18.5346,0,21.8260,0
window_half,2.0000,vib_inner_race_007,vibration,8.4639,0,1153,2.9111,0,10.2226,0
window_half,2.0000,vib_ball_fault_007,vibration,5.6286,0,1147,0.8612,0,6.8027,0
window_half,3.0000,ecg_100,ecg,38.8763,0,1154,31.6025,0,40.8685,0
window_half,3.0000,ecg_105,ecg,39.0285,0,1154,36.3438,0,40.9839,0
window_half,3.0000,ecg_108,ecg,36.6041,0,1154,35.1787,0,38.7385,0
window_half,3.0000,ecg_201,ecg,36.9119,0,1153,32.5707,0,39.2801,0
window_half,3.0000,ecg_228,ecg,35.6504,0,1151,32.1235,0,37.4326,0
window_half,3.0000,vib_normal_0hp,vibration,19.9639,0,1152,18.2149,0,21.8780,0
window_half,3.0000,vib_inner_race_007,vibration,8.3716,0,1156,3.0128,0,10.1456,0
window_half,3.0000,vib_ball_fault_007,vibration,5.2628,0,1151,0.8912,0,6.7433,0
window_half,4.0000,ecg_100,ecg,38.6197,0,1155,31.1010,0,40.8398,0
window_half,4.0000,ecg_105,ecg,39.0006,0,1155,36.3357,0,40.9621,0
window_half,4.0000,ecg_108,ecg,36.5919,0,1149,34.7513,0,38.8304,0
window_half,4.0000,ecg_201,ecg,36.8431,0,1154,33.2691,0,39.2520,0
window_half,4.0000,ecg_228,ecg,35.4758,0,1155,32.5868,0,37.3339,0
window_half,4.0000,vib_normal_0hp,vibration,19.9506,0,1149,18.2221,0,21.9169,0
window_half,4.0000,vib_inner_race_007,vibration,8.2518,0,1155,2.9388,0,10.1782,0
window_half,4.0000,vib_ball_fault_007,vibration,5.7874,0,1147,0.8612,0,6.8027,0
window_half,5.0000,ecg_100,ecg,38.6036,0,1149,31.6997,0,40.9673,0
window_half,5.0000,ecg_105,ecg,39.0397,0,1155,36.3357,0,40.9621,0
window_half,5.0000,ecg_108,ecg,36.5615,0,1154,35.1787,0,38.7385,0
window_half,5.0000,ecg_201,ecg,36.9531,0,1153,32.5707,0,39.2801,0
window_half,5.0000,ecg_228,ecg,35.6307,0,1154,32.5350,0,37.3657,0
window_half,5.0000,vib_normal_0hp,vibration,19.7733,0,1153,18.2397,0,21.8456,0
