signal,domain,mode,beta,buffer_size,overload,retained,expected,CR,snr_db,mse,max_error,snr_saturated,spectral_correlation
ecg_100,ecg,REF_INTERP_ERROR,-1.0000,32,2,1031,1031,1.9399,43.11900907,6.319016e-06,0.01333333,0,-1.00000000
ecg_100,ecg,REF_VW_AREA,-1.0000,32,2,1031,1031,1.9399,42.74764720,6.883125e-06,0.01500000,0,-1.00000000
ecg_100,ecg,SPAN,0.0000,32,2,1031,1031,1.9399,43.11900907,6.319016e-06,0.01333333,0,-1.00000000
ecg_100,ecg,SPAN,0.2500,32,2,1031,1031,1.9399,43.27952186,6.089732e-06,0.01142857,0,-1.00000000
ecg_100,ecg,SPAN,0.5000,32,2,1031,1031,1.9399,43.10186998,6.344003e-06,0.01250000,0,-1.00000000
ecg_100,ecg,SPAN,0.7500,32,2,1031,1031,1.9399,42.99069004,6.508507e-06,0.01500000,0,-1.00000000
ecg_100,ecg,SPAN,1.0000,32,2,1031,1031,1.9399,42.74764720,6.883125e-06,0.01500000,0,-1.00000000
ecg_100,ecg,SPAN,1.2500,32,2,1031,1031,1.9399,42.39690281,7.462083e-06,0.01750000,0,-1.00000000
ecg_100,ecg,SPAN,1.5000,32,2,1031,1031,1.9399,42.44690217,7.376667e-06,0.01500000,0,-1.00000000
ecg_100,ecg,SPAN,2.0000,32,2,1031,1031,1.9399,41.56667285,9.034062e-06,0.02250000,0,-1.00000000
ecg_100,ecg,REF_INTERP_ERROR,-1.0000,32,3,698,698,2.8653,37.09515558,2.529501e-05,0.02115385,0,-1.00000000
ecg_100,ecg,REF_VW_AREA,-1.0000,32,3,698,698,2.8653,35.73574156,3.459204e-05,0.06000000,0,-1.00000000
ecg_100,ecg,SPAN,0.0000,32,3,698,698,2.8653,37.09515558,2.529501e-05,0.02115385,0,-1.00000000
ecg_100,ecg,SPAN,0.2500,32,3,698,698,2.8653,37.14461826,2.500855e-05,0.02500000,0,-1.00000000
ecg_100,ecg,SPAN,0.5000,32,3,698,698,2.8653,36.67905030,2.783847e-05,0.03000000,0,-1.00000000
ecg_100,ecg,SPAN,0.7500,32,3,698,698,2.8653,36.25413980,3.069986e-05,0.04750000,0,-1.00000000
ecg_100,ecg,SPAN,1.0000,32,3,698,698,2.8653,35.73574156,3.459204e-05,0.06000000,0,-1.00000000
ecg_100,ecg,SPAN,1.2500,32,3,698,698,2.8653,35.24535913,3.872705e-05,0.06250000,0,-1.00000000
ecg_100,ecg,SPAN,1.5000,32,3,698,698,2.8653,34.76222554,4.328404e-05,0.06250000,0,-1.00000000
ecg_100,ecg,SPAN,2.0000,32,3,698,698,2.8653,33.64223784,5.601787e-05,0.08250000,0,-1.00000000
ecg_100,ecg,REF_INTERP_ERROR,-1.0000,32,5,431,431,4.6404,32.64605015,7.046044e-05,0.02900000,0,-1.00000000
ecg_100,ecg,REF_VW_AREA,-1.0000,32,5,431,431,4.6404,31.35921264,9.476089e-05,0.07000000,0,-1.00000000
ecg_100,ecg,SPAN,0.0000,32,5,431,431,4.6404,32.64605015,7.046044e-05,0.02900000,0,-1.00000000
ecg_100,ecg,SPAN,0.2500,32,5,431,431,4.6404,32.18141230,7.841681e-05,0.04625000,0,-1.00000000
ecg_100,ecg,SPAN,0.5000,32,5,431,431,4.6404,32.46000712,7.354441e-05,0.04625000,0,-1.00000000
ecg_100,ecg,SPAN,0.7500,32,5,431,431,4.6404,31.81607809,8.529873e-05,0.06166667,0,-1.00000000
ecg_100,ecg,SPAN,1.0000,32,5,431,431,4.6404,31.35921264,9.476089e-05,0.07000000,0,-1.00000000
ecg_100,ecg,SPAN,1.2500,32,5,431,431,4.6404,30.59323478,1.130386e-04,0.08750000,0,-1.00000000
ecg_100,ecg,SPAN,1.5000,32,5,431,431,4.6404,30.47491945,1.161605e-04,0.08750000,0,-1.00000000
ecg_100,ecg,SPAN,2.0000,32,5,431,431,4.6404,29.39418237,1.489814e-04,0.09250000,0,-1.00000000
ecg_100,ecg,REF_INTERP_ERROR,-1.0000,32,10,231,231,8.6580,28.89685219,1.670572e-04,0.06200000,0,-1.00000000
ecg_100,ecg,REF_VW_AREA,-1.0000,32,10,231,231,8.6580,27.25535918,2.437892e-04,0.13833333,0,-1.00000000
ecg_100,ecg,SPAN,0.0000,32,10,231,231,8.6580,28.89685219,1.670572e-04,0.06200000,0,-1.00000000
ecg_100,ecg,SPAN,0.2500,32,10,231,231,8.6580,29.34297699,1.507484e-04,0.06300000,0,-1.00000000
ecg_100,ecg,SPAN,0.5000,32,10,231,231,8.6580,28.72811708,1.736755e-04,0.06750000,0,-1.00000000
ecg_100,ecg,SPAN,0.7500,32,10,231,231,8.6580,28.35453238,1.892767e-04,0.08750000,0,-1.00000000
ecg_100,ecg,SPAN,1.0000,32,10,231,231,8.6580,27.25535918,2.437892e-04,0.13833333,0,-1.00000000
ecg_100,ecg,SPAN,1.2500,32,10,231,231,8.6580,26.49492533,2.904409e-04,0.13833333,0,-1.00000000
ecg_100,ecg,SPAN,1.5000,32,10,231,231,8.6580,24.97643034,4.120096e-04,0.18785714,0,-1.00000000
ecg_100,ecg,SPAN,2.0000,32,10,231,231,8.6580,23.70456380,5.521969e-04,0.21750000,0,-1.00000000
ecg_100,ecg,REF_INTERP_ERROR,-1.0000,32,20,131,131,15.2672,24.68936509,4.401633e-04,0.09114286,0,-1.00000000
ecg_100,ecg,REF_VW_AREA,-1.0000,32,20,131,131,15.2672,22.47749219,7.324891e-04,0.29333333,0,-1.00000000
ecg_100,ecg,SPAN,0.0000,32,20,131,131,15.2672,24.68936509,4.401633e-04,0.09114286,0,-1.00000000
ecg_100,ecg,SPAN,0.2500,32,20,131,131,15.2672,24.56512239,4.529374e-04,0.09250000,0,-1.00000000
ecg_100,ecg,SPAN,0.5000,32,20,131,131,15.2672,23.07540020,6.382787e-04,0.26500000,0,-1.00000000
ecg_100,ecg,SPAN,0.7500,32,20,131,131,15.2672,23.08223164,6.372755e-04,0.26500000,0,-1.00000000
ecg_100,ecg,SPAN,1.0000,32,20,131,131,15.2672,22.47749219,7.324891e-04,0.29333333,0,-1.00000000
ecg_100,ecg,SPAN,1.2500,32,20,131,131,15.2672,21.78424830,8.592619e-04,0.28833333,0,-1.00000000
ecg_100,ecg,SPAN,1.5000,32,20,131,131,15.2672,18.10840423,2.003134e-03,0.57500000,0,-1.00000000
ecg_100,ecg,SPAN,2.0000,32,20,131,131,15.2672,15.41639597,3.723152e-03,0.78727273,0,-1.00000000
ecg_100,ecg,REF_INTERP_ERROR,-1.0000,32,50,71,71,28.1690,17.27073101,2.429278e-03,0.16921053,0,-1.00000000
ecg_100,ecg,REF_VW_AREA,-1.0000,32,50,71,71,28.1690,8.64671244,1.769616e-02,1.10828125,0,-1.00000000
ecg_100,ecg,SPAN,0.0000,32,50,71,71,28.1690,17.27073101,2.429278e-03,0.16921053,0,-1.00000000
ecg_100,ecg,SPAN,0.2500,32,50,71,71,28.1690,18.61414074,1.782938e-03,0.23600000,0,-1.00000000
ecg_100,ecg,SPAN,0.5000,32,50,71,71,28.1690,11.16204657,9.916210e-03,1.19197368,0,-1.00000000
ecg_100,ecg,SPAN,0.7500,32,50,71,71,28.1690,9.25194050,1.539417e-02,1.15136364,0,-1.00000000
ecg_100,ecg,SPAN,1.0000,32,50,71,71,28.1690,8.64671244,1.769616e-02,1.10828125,0,-1.00000000
ecg_100,ecg,SPAN,1.2500,32,50,71,71,28.1690,8.60458449,1.786866e-02,1.10828125,0,-1.00000000
ecg_100,ecg,SPAN,1.5000,32,50,71,71,28.1690,8.51377602,1.824621e-02,1.10828125,0,-1.00000000
ecg_100,ecg,SPAN,2.0000,32,50,71,71,28.1690,8.25470301,1.936779e-02,1.41800000,0,-1.00000000
ecg_100,ecg,REF_INTERP_ERROR,-1.0000,32,100,51,51,39.2157,16.27028342,3.058595e-03,0.29333333,0,-1.00000000
ecg_100,ecg,REF_VW_AREA,-1.0000,32,100,51,51,39.2157,4.88430613,4.208427e-02,1.17919540,0,-1.00000000
ecg_100,ecg,SPAN,0.0000,32,100,51,51,39.2157,16.27028342,3.058595e-03,0.29333333,0,-1.00000000
ecg_100,ecg,SPAN,0.2500,32,100,51,51,39.2157,16.44311141,2.939268e-03,0.28833333,0,-1.00000000
ecg_100,ecg,SPAN,0.5000,32,100,51,51,39.2157,3.31972384,6.033621e-02,1.30202247,0,-1.00000000
ecg_100,ecg,SPAN,0.7500,32,100,51,51,39.2157,4.95286782,4.142510e-02,1.29174699,0,-1.00000000
ecg_100,ecg,SPAN,1.0000,32,100,51,51,39.2157,4.88430613,4.208427e-02,1.17919540,0,-1.00000000
ecg_100,ecg,SPAN,1.2500,32,100,51,51,39.2157,5.55576638,3.605568e-02,1.29802083,0,-1.00000000
ecg_100,ecg,SPAN,1.5000,32,100,51,51,39.2157,4.97388527,4.122511e-02,1.43883721,0,-1.00000000
ecg_100,ecg,SPAN,2.0000,32,100,51,51,39.2157,6.00569319,3.250731e-02,1.42599379,0,-1.00000000
ecg_100,ecg,REF_INTERP_ERROR,-1.0000,64,2,1063,1063,1.8815,43.78120985,5.425370e-06,0.01000000,0,-1.00000000
ecg_100,ecg,REF_VW_AREA,-1.0000,64,2,1063,1063,1.8815,43.30944578,6.047917e-06,0.01250000,0,-1.00000000
ecg_100,ecg,SPAN,0.0000,64,2,1063,1063,1.8815,43.78120985,5.425370e-06,0.01000000,0,-1.00000000
ecg_100,ecg,SPAN,0.2500,64,2,1063,1063,1.8815,43.79888616,5.403333e-06,0.01000000,0,-1.00000000
ecg_100,ecg,SPAN,0.5000,64,2,1063,1063,1.8815,43.68545497,5.546319e-06,0.01000000,0,-1.00000000
ecg_100,ecg,SPAN,0.7500,64,2,1063,1063,1.8815,43.56194296,5.706319e-06,0.01000000,0,-1.00000000
ecg_100,ecg,SPAN,1.0000,64,2,1063,1063,1.8815,43.30944578,6.047917e-06,0.01250000,0,-1.00000000
ecg_100,ecg,SPAN,1.2500,64,2,1063,1063,1.8815,42.89771818,6.649340e-06,0.01250000,0,-1.00000000
ecg_100,ecg,SPAN,1.5000,64,2,1063,1063,1.8815,42.82024080,6.769028e-06,0.01250000,0,-1.00000000
ecg_100,ecg,SPAN,2.0000,64,2,1063,1063,1.8815,42.32642508,7.584167e-06,0.01250000,0,-1.00000000
ecg_100,ecg,REF_INTERP_ERROR,-1.0000,64,3,730,730,2.7397,37.78465018,2.158169e-05,0.01900000,0,-1.00000000
ecg_100,ecg,REF_VW_AREA,-1.0000,64,3,730,730,2.7397,36.82009805,2.694887e-05,0.03333333,0,-1.00000000
ecg_100,ecg,SPAN,0.0000,64,3,730,730,2.7397,37.78465018,2.158169e-05,0.01900000,0,-1.00000000
ecg_100,ecg,SPAN,0.2500,64,3,730,730,2.7397,37.76258402,2.169162e-05,0.02000000,0,-1.00000000
ecg_100,ecg,SPAN,0.5000,64,3,730,730,2.7397,37.76081452,2.170046e-05,0.02250000,0,-1.00000000
ecg_100,ecg,SPAN,0.7500,64,3,730,730,2.7397,37.41033625,2.352430e-05,0.02500000,0,-1.00000000
ecg_100,ecg,SPAN,1.0000,64,3,730,730,2.7397,36.82009805,2.694887e-05,0.03333333,0,-1.00000000
ecg_100,ecg,SPAN,1.2500,64,3,730,730,2.7397,36.49494995,2.904393e-05,0.04750000,0,-1.00000000
ecg_100,ecg,SPAN,1.5000,64,3,730,730,2.7397,35.71391239,3.476635e-05,0.06000000,0,-1.00000000
ecg_100,ecg,SPAN,2.0000,64,3,730,730,2.7397,34.85389771,4.237997e-05,0.06250000,0,-1.00000000
ecg_100,ecg,REF_INTERP_ERROR,-1.0000,64,5,463,463,4.3197,32.94261358,6.580956e-05,0.03071429,0,-1.00000000
ecg_100,ecg,REF_VW_AREA,-1.0000,64,5,463,463,4.3197,31.98811029,8.198593e-05,0.06166667,0,-1.00000000
ecg_100,ecg,SPAN,0.0000,64,5,463,463,4.3197,32.94261358,6.580956e-05,0.03071429,0,-1.00000000
ecg_100,ecg,SPAN,0.2500,64,5,463,463,4.3197,32.66007324,7.023330e-05,0.03250000,0,-1.00000000
ecg_100,ecg,SPAN,0.5000,64,5,463,463,4.3197,32.87637006,6.682106e-05,0.03250000,0,-1.00000000
ecg_100,ecg,SPAN,0.7500,64,5,463,463,4.3197,32.66158313,7.020888e-05,0.04625000,0,-1.00000000
ecg_100,ecg,SPAN,1.0000,64,5,463,463,4.3197,31.98811029,8.198593e-05,0.06166667,0,-1.00000000
ecg_100,ecg,SPAN,1.2500,64,5,463,463,4.3197,31.25932068,9.696574e-05,0.07000000,0,-1.00000000
ecg_100,ecg,SPAN,1.5000,64,5,463,463,4.3197,30.83944352,1.068086e-04,0.08750000,0,-1.00000000
ecg_100,ecg,SPAN,2.0000,64,5,463,463,4.3197,30.01268433,1.292058e-04,0.09250000,0,-1.00000000
ecg_100,ecg,REF_INTERP_ERROR,-1.0000,64,10,263,263,7.6046,29.37097511,1.497797e-04,0.04204918,0,-1.00000000
ecg_100,ecg,REF_VW_AREA,-1.0000,64,10,263,263,7.6046,27.81856921,2.141379e-04,0.11833333,0,-1.00000000
ecg_100,ecg,SPAN,0.0000,64,10,263,263,7.6046,29.37097511,1.497797e-04,0.04204918,0,-1.00000000
ecg_100,ecg,SPAN,0.2500,64,10,263,263,7.6046,29.85057911,1.341197e-04,0.06000000,0,-1.00000000
ecg_100,ecg,SPAN,0.5000,64,10,263,263,7.6046,29.10289971,1.593164e-04,0.06333333,0,-1.00000000
ecg_100,ecg,SPAN,0.7500,64,10,263,263,7.6046,28.68848389,1.752677e-04,0.08750000,0,-1.00000000
ecg_100,ecg,SPAN,1.0000,64,10,263,263,7.6046,27.81856921,2.141379e-04,0.11833333,0,-1.00000000
ecg_100,ecg,SPAN,1.2500,64,10,263,263,7.6046,27.06725198,2.545805e-04,0.13250000,0,-1.00000000
ecg_100,ecg,SPAN,1.5000,64,10,263,263,7.6046,25.77282586,3.429792e-04,0.18785714,0,-1.00000000
ecg_100,ecg,SPAN,2.0000,64,10,263,263,7.6046,25.28036260,3.841617e-04,0.18833333,0,-1.00000000
ecg_100,ecg,REF_INTERP_ERROR,-1.0000,64,20,163,163,12.2699,26.43615973,2.943977e-04,0.07559322,0,-1.00000000
ecg_100,ecg,REF_VW_AREA,-1.0000,64,20,163,163,12.2699,22.53263447,7.232475e-04,0.26500000,0,-1.00000000
ecg_100,ecg,SPAN,0.0000,64,20,163,163,12.2699,26.43615973,2.943977e-04,0.07559322,0,-1.00000000
ecg_100,ecg,SPAN,0.2500,64,20,163,163,12.2699,25.49465982,3.656658e-04,0.09114286,0,-1.00000000
ecg_100,ecg,SPAN,0.5000,64,20,163,163,12.2699,25.52402429,3.632018e-04,0.13250000,0,-1.00000000
ecg_100,ecg,SPAN,0.7500,64,20,163,163,12.2699,25.21157237,3.902951e-04,0.13833333,0,-1.00000000
ecg_100,ecg,SPAN,1.0000,64,20,163,163,12.2699,22.53263447,7.232475e-04,0.26500000,0,-1.00000000
ecg_100,ecg,SPAN,1.2500,64,20,163,163,12.2699,22.51695057,7.258641e-04,0.25000000,0,-1.00000000
ecg_100,ecg,SPAN,1.5000,64,20,163,163,12.2699,21.53935982,9.091057e-04,0.29333333,0,-1.00000000
ecg_100,ecg,SPAN,2.0000,64,20,163,163,12.2699,18.36094388,1.889975e-03,0.57500000,0,-1.00000000
ecg_100,ecg,REF_INTERP_ERROR,-1.0000,64,50,103,103,19.4175,21.17914340,9.877250e-04,0.13288462,0,-1.00000000
ecg_100,ecg,REF_VW_AREA,-1.0000,64,50,103,103,19.4175,20.87793171,1.058662e-03,0.25777778,0,-1.00000000
ecg_100,ecg,SPAN,0.0000,64,50,103,103,19.4175,21.17914340,9.877250e-04,0.13288462,0,-1.00000000
ecg_100,ecg,SPAN,0.2500,64,50,103,103,19.4175,21.85417857,8.455368e-04,0.16921053,0,-1.00000000
ecg_100,ecg,SPAN,0.5000,64,50,103,103,19.4175,21.92764591,8.313536e-04,0.17375000,0,-1.00000000
ecg_100,ecg,SPAN,0.7500,64,50,103,103,19.4175,21.38428905,9.421531e-04,0.25777778,0,-1.00000000
ecg_100,ecg,SPAN,1.0000,64,50,103,103,19.4175,20.87793171,1.058662e-03,0.25777778,0,-1.00000000
