signal,method,avg_snr,avg_spec_corr,avg_cv,avg_mean_gap,avg_max_gap,n_trials
vib_normal_0hp,RDP_OFFLINE,21.8563,0.9984,0.5611,2.3613,9.0000,5
vib_normal_0hp,IMP_INTERP_ERROR,19.7472,0.9995,0.6414,2.3613,9.0000,5
vib_normal_0hp,IMP_INTERP_COMPOSITE,19.8479,0.9995,0.6371,2.3624,9.0000,5
vib_normal_0hp,LTTB_OFFLINE,18.3200,0.9963,0.3426,2.3613,4.0000,5
vib_inner_race_007,RDP_OFFLINE,10.2223,0.9553,0.9164,2.3591,19.0000,5
vib_inner_race_007,IMP_INTERP_ERROR,8.5340,0.9830,1.2979,2.3591,42.0000,5
vib_inner_race_007,IMP_INTERP_COMPOSITE,8.5140,0.9836,1.3560,2.3612,40.2000,5
vib_inner_race_007,LTTB_OFFLINE,3.1325,0.7083,0.3365,2.3591,4.0000,5
vib_ball_fault_007,RDP_OFFLINE,6.6311,0.9128,1.0663,2.3702,32.0000,5
vib_ball_fault_007,IMP_INTERP_ERROR,5.3353,0.9724,1.3214,2.3702,37.0000,5
vib_ball_fault_007,IMP_INTERP_COMPOSITE,5.3906,0.9724,1.3162,2.3674,35.4000,5
vib_ball_fault_007,LTTB_OFFLINE,0.7540,0.5098,0.3499,2.3702,4.0000,5
