signal,method,trial,n_surviving,n_dropped,mean_gap,std_gap,cv,median_gap,min_gap,max_gap,snr_db,spectral_corr
vib_normal_0hp,IMP_INTERP_ERROR,0,843,1157,2.3741,1.5144,0.6379,2.0000,1.0000,9.0000,19.5852,0.9995
vib_normal_0hp,RDP_OFFLINE,0,843,1157,2.3741,1.3290,0.5598,2.0000,1.0000,9.0000,21.7670,0.9984
vib_normal_0hp,LTTB_OFFLINE,0,843,1157,2.3741,0.8046,0.3389,2.0000,1.0000,4.0000,18.0543,0.9961
vib_normal_0hp,IMP_INTERP_COMPOSITE,0,847,1157,2.3629,1.5087,0.6385,2.0000,1.0000,9.0000,19.8066,0.9995
vib_normal_0hp,IMP_INTERP_ERROR,1,857,1143,2.3353,1.5073,0.6454,2.0000,1.0000,9.0000,19.8384,0.9995
vib_normal_0hp,RDP_OFFLINE,1,857,1143,2.3353,1.3081,0.5602,2.0000,1.0000,9.0000,22.0272,0.9984
vib_normal_0hp,LTTB_OFFLINE,1,857,1143,2.3353,0.8094,0.3466,2.0000,1.0000,4.0000,18.4872,0.9962
vib_normal_0hp,IMP_INTERP_COMPOSITE,1,845,1143,2.3685,1.5131,0.6389,2.0000,1.0000,9.0000,19.7374,0.9995
vib_normal_0hp,IMP_INTERP_ERROR,2,848,1152,2.3601,1.5068,0.6385,2.0000,1.0000,9.0000,19.7453,0.9995
vib_normal_0hp,RDP_OFFLINE,2,848,1152,2.3601,1.3277,0.5626,2.0000,1.0000,9.0000,21.8780,0.9984
vib_normal_0hp,LTTB_OFFLINE,2,848,1152,2.3601,0.8154,0.3455,2.0000,1.0000,4.0000,18.2149,0.9964
vib_normal_0hp,IMP_INTERP_COMPOSITE,2,849,1152,2.3573,1.5011,0.6368,2.0000,1.0000,9.0000,19.8949,0.9995
vib_normal_0hp,IMP_INTERP_ERROR,3,846,1154,2.3657,1.5011,0.6345,2.0000,1.0000,9.0000,19.8242,0.9995
vib_normal_0hp,RDP_OFFLINE,3,846,1154,2.3657,1.3297,0.5621,2.0000,1.0000,9.0000,21.8260,0.9984
vib_normal_0hp,LTTB_OFFLINE,3,846,1154,2.3657,0.8213,0.3472,2.0000,1.0000,4.0000,18.5346,0.9962
vib_normal_0hp,IMP_INTERP_COMPOSITE,3,843,1154,2.3741,1.5089,0.6356,2.0000,1.0000,9.0000,19.7298,0.9994
vib_normal_0hp,IMP_INTERP_ERROR,4,844,1156,2.3713,1.5429,0.6507,2.0000,1.0000,9.0000,19.7431,0.9995
vib_normal_0hp,RDP_OFFLINE,4,844,1156,2.3713,1.3298,0.5608,2.0000,1.0000,9.0000,21.7833,0.9984
vib_normal_0hp,LTTB_OFFLINE,4,844,1156,2.3713,0.7935,0.3346,2.0000,1.0000,4.0000,18.3090,0.9966
vib_normal_0hp,IMP_INTERP_COMPOSITE,4,852,1156,2.3490,1.4940,0.6360,2.0000,1.0000,9.0000,20.0709,0.9995
