signal,method,bin,norm_freq,magnitude
vib_normal_0hp,ORIGINAL,0,0,6.93605
vib_normal_0hp,ORIGINAL,1,0.00195312,0.467408
vib_normal_0hp,ORIGINAL,2,0.00390625,4.45211
vib_normal_0hp,ORIGINAL,3,0.00585938,1.9114
vib_normal_0hp,ORIGINAL,4,0.0078125,4.78889
vib_normal_0hp,ORIGINAL,5,0.00976562,1.21964
vib_normal_0hp,ORIGINAL,6,0.0117188,3.61008
vib_normal_0hp,ORIGINAL,7,0.0136719,11.76
vib_normal_0hp,ORIGINAL,8,0.015625,0.453676
vib_normal_0hp,ORIGINAL,9,0.0175781,2.54244
vib_normal_0hp,ORIGINAL,10,0.0195312,2.05673
vib_normal_0hp,ORIGINAL,11,0.0214844,1.78662
vib_normal_0hp,ORIGINAL,12,0.0234375,3.57847
vib_normal_0hp,ORIGINAL,13,0.0253906,0.837006
vib_normal_0hp,ORIGINAL,14,0.0273438,0.576944
vib_normal_0hp,ORIGINAL,15,0.0292969,4.74368
vib_normal_0hp,ORIGINAL,16,0.03125,0.94799
vib_normal_0hp,ORIGINAL,17,0.0332031,1.41315
vib_normal_0hp,ORIGINAL,18,0.0351562,0.438342
vib_normal_0hp,ORIGINAL,19,0.0371094,0.889238
vib_normal_0hp,ORIGINAL,20,0.0390625,0.249758
vib_normal_0hp,ORIGINAL,21,0.0410156,0.750516
vib_normal_0hp,ORIGINAL,22,0.0429688,0.391957
vib_normal_0hp,ORIGINAL,23,0.0449219,0.348913
vib_normal_0hp,ORIGINAL,24,0.046875,0.510972
vib_normal_0hp,ORIGINAL,25,0.0488281,0.395898
vib_normal_0hp,ORIGINAL,26,0.0507812,0.752021
vib_normal_0hp,ORIGINAL,27,0.0527344,0.678608
vib_normal_0hp,ORIGINAL,28,0.0546875,3.81157
vib_normal_0hp,ORIGINAL,29,0.0566406,3.92867
vib_normal_0hp,ORIGINAL,30,0.0585938,1.45444
vib_normal_0hp,ORIGINAL,31,0.0605469,3.6787
vib_normal_0hp,ORIGINAL,32,0.0625,0.843138
vib_normal_0hp,ORIGINAL,33,0.0644531,0.284985
vib_normal_0hp,ORIGINAL,34,0.0664062,1.36392
vib_normal_0hp,ORIGINAL,35,0.0683594,2.737
vib_normal_0hp,ORIGINAL,36,0.0703125,2.39324
vib_normal_0hp,ORIGINAL,37,0.0722656,2.02265
vib_normal_0hp,ORIGINAL,38,0.0742188,0.814021
vib_normal_0hp,ORIGINAL,39,0.0761719,1.43274
vib_normal_0hp,ORIGINAL,40,0.078125,0.539235
vib_normal_0hp,ORIGINAL,41,0.0800781,2.02553
vib_normal_0hp,ORIGINAL,42,0.0820312,2.38293
vib_normal_0hp,ORIGINAL,43,0.0839844,5.79463
vib_normal_0hp,ORIGINAL,44,0.0859375,12.0383
vib_normal_0hp,ORIGINAL,45,0.0878906,11.3202
vib_normal_0hp,ORIGINAL,46,0.0898438,4.91002
vib_normal_0hp,ORIGINAL,47,0.0917969,6.35324
vib_normal_0hp,ORIGINAL,48,0.09375,3.31056
vib_normal_0hp,ORIGINAL,49,0.0957031,0.761392
vib_normal_0hp,ORIGINAL,50,0.0976562,0.565206
vib_normal_0hp,ORIGINAL,51,0.0996094,0.514048
vib_normal_0hp,ORIGINAL,52,0.101562,0.629513
vib_normal_0hp,ORIGINAL,53,0.103516,0.786706
vib_normal_0hp,ORIGINAL,54,0.105469,0.494864
vib_normal_0hp,ORIGINAL,55,0.107422,0.488308
vib_normal_0hp,ORIGINAL,56,0.109375,1.57167
vib_normal_0hp,ORIGINAL,57,0.111328,1.78062
vib_normal_0hp,ORIGINAL,58,0.113281,0.54644
vib_normal_0hp,ORIGINAL,59,0.115234,0.910047
vib_normal_0hp,ORIGINAL,60,0.117188,0.538508
vib_normal_0hp,ORIGINAL,61,0.119141,0.527142
vib_normal_0hp,ORIGINAL,62,0.121094,0.532826
vib_normal_0hp,ORIGINAL,63,0.123047,0.648924
vib_normal_0hp,ORIGINAL,64,0.125,0.250825
vib_normal_0hp,ORIGINAL,65,0.126953,0.38361
vib_normal_0hp,ORIGINAL,66,0.128906,0.298577
vib_normal_0hp,ORIGINAL,67,0.130859,0.191343
vib_normal_0hp,ORIGINAL,68,0.132812,0.0676447
vib_normal_0hp,ORIGINAL,69,0.134766,0.411449
vib_normal_0hp,ORIGINAL,70,0.136719,0.328108
vib_normal_0hp,ORIGINAL,71,0.138672,0.437623
vib_normal_0hp,ORIGINAL,72,0.140625,0.493405
vib_normal_0hp,ORIGINAL,73,0.142578,0.41589
vib_normal_0hp,ORIGINAL,74,0.144531,0.372076
vib_normal_0hp,ORIGINAL,75,0.146484,0.169585
vib_normal_0hp,ORIGINAL,76,0.148438,0.278223
vib_normal_0hp,ORIGINAL,77,0.150391,0.300156
vib_normal_0hp,ORIGINAL,78,0.152344,0.388947
vib_normal_0hp,ORIGINAL,79,0.154297,0.472943
vib_normal_0hp,ORIGINAL,80,0.15625,0.0913274
vib_normal_0hp,ORIGINAL,81,0.158203,0.553691
vib_normal_0hp,ORIGINAL,82,0.160156,0.18557
vib_normal_0hp,ORIGINAL,83,0.162109,0.418754
vib_normal_0hp,ORIGINAL,84,0.164062,0.594953
vib_normal_0hp,ORIGINAL,85,0.166016,0.273973
vib_normal_0hp,ORIGINAL,86,0.167969,0.997475
vib_normal_0hp,ORIGINAL,87,0.169922,0.714547
vib_normal_0hp,ORIGINAL,88,0.171875,1.60386
vib_normal_0hp,ORIGINAL,89,0.173828,1.93186
vib_normal_0hp,ORIGINAL,90,0.175781,4.74334
vib_normal_0hp,ORIGINAL,91,0.177734,0.798295
vib_normal_0hp,ORIGINAL,92,0.179688,0.625201
vib_normal_0hp,ORIGINAL,93,0.181641,0.431935
vib_normal_0hp,ORIGINAL,94,0.183594,0.408072
vib_normal_0hp,ORIGINAL,95,0.185547,0.480849
vib_normal_0hp,ORIGINAL,96,0.1875,0.287288
vib_normal_0hp,ORIGINAL,97,0.189453,0.252758
vib_normal_0hp,ORIGINAL,98,0.191406,0.224635
vib_normal_0hp,ORIGINAL,99,0.193359,0.273428
vib_normal_0hp,ORIGINAL,100,0.195312,0.27622
vib_normal_0hp,ORIGINAL,101,0.197266,0.369297
vib_normal_0hp,ORIGINAL,102,0.199219,0.198188
vib_normal_0hp,ORIGINAL,103,0.201172,0.143827
vib_normal_0hp,ORIGINAL,104,0.203125,0.194506
vib_normal_0hp,ORIGINAL,105,0.205078,0.121358
vib_normal_0hp,ORIGINAL,106,0.207031,0.140722
vib_normal_0hp,ORIGINAL,107,0.208984,0.119734
vib_normal_0hp,ORIGINAL,108,0.210938,0.0772626
vib_normal_0hp,ORIGINAL,109,0.212891,0.152671
vib_normal_0hp,ORIGINAL,110,0.214844,0.377331
vib_normal_0hp,ORIGINAL,111,0.216797,0.101451
vib_normal_0hp,ORIGINAL,112,0.21875,0.214282
vib_normal_0hp,ORIGINAL,113,0.220703,0.308617
vib_normal_0hp,ORIGINAL,114,0.222656,0.0792048
vib_normal_0hp,ORIGINAL,115,0.224609,0.066007
vib_normal_0hp,ORIGINAL,116,0.226562,0.115326
vib_normal_0hp,ORIGINAL,117,0.228516,0.0615837
vib_normal_0hp,ORIGINAL,118,0.230469,0.0946557
vib_normal_0hp,ORIGINAL,119,0.232422,0.0680309
vib_normal_0hp,ORIGINAL,120,0.234375,0.178131
vib_normal_0hp,ORIGINAL,121,0.236328,0.118276
vib_normal_0hp,ORIGINAL,122,0.238281,0.181523
vib_normal_0hp,ORIGINAL,123,0.240234,0.187071
vib_normal_0hp,ORIGINAL,124,0.242188,0.0544835
vib_normal_0hp,ORIGINAL,125,0.244141,0.114165
vib_normal_0hp,ORIGINAL,126,0.246094,0.24617
vib_normal_0hp,ORIGINAL,127,0.248047,0.0507188
vib_normal_0hp,ORIGINAL,128,0.25,0.240872
