signal,method,sample_idx,value
vib_normal_0hp,ORIGINAL,0,0.053197
vib_normal_0hp,ORIGINAL,1,0.088662
vib_normal_0hp,ORIGINAL,2,0.099718
vib_normal_0hp,ORIGINAL,3,0.058621
vib_normal_0hp,ORIGINAL,4,-0.00459
vib_normal_0hp,ORIGINAL,5,-0.056952
vib_normal_0hp,ORIGINAL,6,-0.071764
vib_normal_0hp,ORIGINAL,7,-0.058621
vib_normal_0hp,ORIGINAL,8,-0.046521
vib_normal_0hp,ORIGINAL,9,-0.049859
vib_normal_0hp,ORIGINAL,10,-0.051111
vib_normal_0hp,ORIGINAL,11,-0.015646
vib_normal_0hp,ORIGINAL,12,0.045895
vib_normal_0hp,ORIGINAL,13,0.092208
vib_normal_0hp,ORIGINAL,14,0.091791
vib_normal_0hp,ORIGINAL,15,0.060498
vib_normal_0hp,ORIGINAL,16,0.024408
vib_normal_0hp,ORIGINAL,17,-0.000209
vib_normal_0hp,ORIGINAL,18,0.017524
vib_normal_0hp,ORIGINAL,19,0.026286
vib_normal_0hp,ORIGINAL,20,-0.003546
vib_normal_0hp,ORIGINAL,21,-0.041097
vib_normal_0hp,ORIGINAL,22,-0.062376
vib_normal_0hp,ORIGINAL,23,-0.032544
vib_normal_0hp,ORIGINAL,24,0.005007
vib_normal_0hp,ORIGINAL,25,0.02858
vib_normal_0hp,ORIGINAL,26,0.043809
vib_normal_0hp,ORIGINAL,27,0.040889
vib_normal_0hp,ORIGINAL,28,0.055283
vib_normal_0hp,ORIGINAL,29,0.085324
vib_normal_0hp,ORIGINAL,30,0.10848
vib_normal_0hp,ORIGINAL,31,0.099092
vib_normal_0hp,ORIGINAL,32,0.05883
vib_normal_0hp,ORIGINAL,33,0.031501
vib_normal_0hp,ORIGINAL,34,0.01961
vib_normal_0hp,ORIGINAL,35,0.029415
vib_normal_0hp,ORIGINAL,36,0.06029
vib_normal_0hp,ORIGINAL,37,0.075727
vib_normal_0hp,ORIGINAL,38,0.066966
vib_normal_0hp,ORIGINAL,39,0.059038
vib_normal_0hp,ORIGINAL,40,0.064045
vib_normal_0hp,ORIGINAL,41,0.070095
vib_normal_0hp,ORIGINAL,42,0.0678
vib_normal_0hp,ORIGINAL,43,0.044435
vib_normal_0hp,ORIGINAL,44,0.02107
vib_normal_0hp,ORIGINAL,45,0.017315
vib_normal_0hp,ORIGINAL,46,0.041306
vib_normal_0hp,ORIGINAL,47,0.096589
vib_normal_0hp,ORIGINAL,48,0.140815
vib_normal_0hp,ORIGINAL,49,0.150412
vib_normal_0hp,ORIGINAL,50,0.139981
vib_normal_0hp,ORIGINAL,51,0.120162
vib_normal_0hp,ORIGINAL,52,0.099092
vib_normal_0hp,ORIGINAL,53,0.081569
vib_normal_0hp,ORIGINAL,54,0.051945
vib_normal_0hp,ORIGINAL,55,0.00605
vib_normal_0hp,ORIGINAL,56,-0.038177
vib_normal_0hp,ORIGINAL,57,-0.051737
vib_normal_0hp,ORIGINAL,58,-0.021487
vib_normal_0hp,ORIGINAL,59,0.020653
vib_normal_0hp,ORIGINAL,60,0.044852
vib_normal_0hp,ORIGINAL,61,0.058621
vib_normal_0hp,ORIGINAL,62,0.065922
vib_normal_0hp,ORIGINAL,63,0.071764
vib_normal_0hp,ORIGINAL,64,0.07239
vib_normal_0hp,ORIGINAL,65,0.031084
vib_normal_0hp,ORIGINAL,66,-0.039846
vib_normal_0hp,ORIGINAL,67,-0.124752
vib_normal_0hp,ORIGINAL,68,-0.183164
vib_normal_0hp,ORIGINAL,69,-0.173359
vib_normal_0hp,ORIGINAL,70,-0.136226
vib_normal_0hp,ORIGINAL,71,-0.065297
vib_normal_0hp,ORIGINAL,72,0.00459
vib_normal_0hp,ORIGINAL,73,0.058204
vib_normal_0hp,ORIGINAL,74,0.098675
vib_normal_0hp,ORIGINAL,75,0.07239
vib_normal_0hp,ORIGINAL,76,0.01815
vib_normal_0hp,ORIGINAL,77,-0.061333
vib_normal_0hp,ORIGINAL,78,-0.148951
vib_normal_0hp,ORIGINAL,79,-0.19589
vib_normal_0hp,ORIGINAL,80,-0.198602
vib_normal_0hp,ORIGINAL,81,-0.133514
vib_normal_0hp,ORIGINAL,82,-0.048607
vib_normal_0hp,ORIGINAL,83,0.030249
vib_normal_0hp,ORIGINAL,84,0.082403
vib_normal_0hp,ORIGINAL,85,0.109106
vib_normal_0hp,ORIGINAL,86,0.125795
vib_normal_0hp,ORIGINAL,87,0.091791
vib_normal_0hp,ORIGINAL,88,0.03463
vib_normal_0hp,ORIGINAL,89,-0.044435
vib_normal_0hp,ORIGINAL,90,-0.110775
vib_normal_0hp,ORIGINAL,91,-0.127464
vib_normal_0hp,ORIGINAL,92,-0.106602
vib_normal_0hp,ORIGINAL,93,-0.046313
vib_normal_0hp,ORIGINAL,94,0.005424
