buf_size,overload,trial,method,snr_db,spec_corr,err_f1_rel,err_f2_rel,err_ratio_f2_f1,mean_gap,max_gap,cv_gap,n_surviving
64,3,0,PROPOSED,24.6521,0.9989,0.0064,0.0841,13.1003,2.0503,4.0000,0.4744,976
64,3,0,RDP,26.2977,0.9989,0.0030,0.0649,21.9186,2.0503,3.0000,0.4409,976
64,3,1,PROPOSED,24.6074,0.9988,0.0077,0.0847,11.0540,2.0608,4.0000,0.4698,971
64,3,1,RDP,26.1595,0.9989,0.0021,0.0665,31.6565,2.0608,3.0000,0.4394,971
64,3,2,PROPOSED,24.5195,0.9988,0.0077,0.0860,11.1046,2.0651,4.0000,0.4697,969
64,3,2,RDP,26.1054,0.9989,0.0018,0.0672,38.2210,2.0651,3.0000,0.4388,969
64,3,3,PROPOSED,24.6299,0.9989,0.0081,0.0844,10.3833,2.0566,4.0000,0.4705,973
64,3,3,RDP,26.2143,0.9989,0.0024,0.0659,26.9391,2.0566,3.0000,0.4400,973
64,3,4,PROPOSED,24.5910,0.9989,0.0085,0.0850,10.0630,2.0630,4.0000,0.4690,970
64,3,4,RDP,26.1323,0.9989,0.0019,0.0668,34.6454,2.0630,3.0000,0.4391,970
64,5,0,PROPOSED,19.7603,0.9964,0.0091,0.1957,21.5703,3.0801,10.0000,0.3254,650
64,5,0,RDP,22.6951,0.9976,0.0138,0.1516,11.0222,3.0801,4.0000,0.2523,650
64,5,1,PROPOSED,18.6424,0.9955,0.0058,0.2212,37.8205,3.0849,10.0000,0.3312,649
64,5,1,RDP,22.6789,0.9976,0.0137,0.1520,11.0614,3.0849,4.0000,0.2503,649
64,5,2,PROPOSED,19.0373,0.9957,0.0059,0.2132,36.0638,3.0801,10.0000,0.3193,650
64,5,2,RDP,22.6951,0.9976,0.0138,0.1516,11.0222,3.0801,4.0000,0.2523,650
64,5,3,PROPOSED,18.8842,0.9957,0.0134,0.2138,15.9910,3.0801,10.0000,0.3371,650
64,5,3,RDP,22.6951,0.9976,0.0138,0.1516,11.0222,3.0801,4.0000,0.2523,650
64,5,4,PROPOSED,18.9980,0.9958,0.0085,0.2134,25.0195,3.0801,10.0000,0.3163,650
64,5,4,RDP,22.6951,0.9976,0.0138,0.1516,11.0222,3.0801,4.0000,0.2523,650
64,8,0,PROPOSED,12.0170,0.9751,0.0145,0.5376,36.9994,4.4621,21.0000,0.7641,449
64,8,0,RDP,13.0518,0.9797,0.0803,0.4313,5.3724,4.4621,15.0000,0.6751,449
64,8,1,PROPOSED,11.7760,0.9746,0.0323,0.5505,17.0581,4.4422,21.0000,0.7051,451
64,8,1,RDP,13.0534,0.9799,0.0812,0.4289,5.2814,4.4422,15.0000,0.6697,451
64,8,2,PROPOSED,12.0202,0.9757,0.0223,0.5377,24.0730,4.4720,22.0000,0.7603,448
64,8,2,RDP,13.1004,0.9797,0.0780,0.4313,5.5273,4.4720,15.0000,0.6808,448
64,8,3,PROPOSED,11.9712,0.9755,0.0127,0.5376,42.3929,4.4324,21.0000,0.7390,452
64,8,3,RDP,13.1038,0.9800,0.0799,0.4266,5.3387,4.4324,15.0000,0.6701,452
64,8,4,PROPOSED,11.8991,0.9747,0.0123,0.5338,43.5476,4.4324,22.0000,0.7349,452
64,8,4,RDP,13.1038,0.9800,0.0799,0.4266,5.3387,4.4324,15.0000,0.6701,452
