A2,A2_A1_ratio,trial,method,snr_db,spec_corr,err_f1_rel,err_f2_rel,err_ratio_f2_f1,max_gap
0.05,0.05,0,PROPOSED,36.7280,0.9999,0.0027,0.1309,49.3209,7.0000
0.0500,0.0500,0,RDP,39.0916,0.9999,0.0023,0.0856,36.4194,4.0000
0.0500,0.0500,1,PROPOSED,36.8353,0.9999,0.0026,0.1287,49.6157,7.0000
0.0500,0.0500,1,RDP,39.0698,0.9999,0.0024,0.0861,36.5937,4.0000
0.0500,0.0500,2,PROPOSED,36.8604,0.9999,0.0026,0.1287,49.6587,7.0000
0.0500,0.0500,2,RDP,39.0673,0.9999,0.0024,0.0859,36.5357,4.0000
0.0500,0.0500,3,PROPOSED,36.8276,0.9999,0.0028,0.1278,45.3254,7.0000
0.0500,0.0500,3,RDP,39.0698,0.9999,0.0024,0.0861,36.5937,4.0000
0.0500,0.0500,4,PROPOSED,36.7915,0.9999,0.0025,0.1284,50.8068,7.0000
0.0500,0.0500,4,RDP,39.0673,0.9999,0.0024,0.0859,36.5357,4.0000
0.1000,0.1000,0,PROPOSED,31.5852,0.9998,0.0052,0.1272,24.4318,4.0000
0.1000,0.1000,0,RDP,32.9739,0.9998,0.0011,0.0987,90.3698,3.0000
0.1000,0.1000,1,PROPOSED,31.7787,0.9998,0.0052,0.1238,23.8745,4.0000
0.1000,0.1000,1,RDP,32.9888,0.9998,0.0010,0.0985,95.3049,3.0000
0.1000,0.1000,2,PROPOSED,31.6921,0.9998,0.0051,0.1250,24.2734,4.0000
0.1000,0.1000,2,RDP,33.0038,0.9998,0.0010,0.0984,100.8285,3.0000
0.1000,0.1000,3,PROPOSED,31.6322,0.9998,0.0051,0.1259,24.8516,4.0000
0.1000,0.1000,3,RDP,33.0038,0.9998,0.0010,0.0984,100.8285,3.0000
0.1000,0.1000,4,PROPOSED,31.6505,0.9998,0.0052,0.1262,24.0669,5.0000
0.1000,0.1000,4,RDP,32.9442,0.9998,0.0012,0.0991,81.9311,3.0000
0.1500,0.1500,0,PROPOSED,28.7095,0.9995,0.0048,0.1236,25.8409,4.0000
0.1500,0.1500,0,RDP,29.4778,0.9995,0.0027,0.1035,38.6394,3.0000
0.1500,0.1500,1,PROPOSED,28.7356,0.9995,0.0047,0.1234,26.3809,4.0000
0.1500,0.1500,1,RDP,29.4778,0.9995,0.0027,0.1035,38.6394,3.0000
0.1500,0.1500,2,PROPOSED,28.7144,0.9995,0.0044,0.1232,28.0289,4.0000
0.1500,0.1500,2,RDP,29.4628,0.9995,0.0027,0.1038,38.1113,3.0000
0.1500,0.1500,3,PROPOSED,28.7756,0.9995,0.0047,0.1235,26.1579,4.0000
0.1500,0.1500,3,RDP,29.4477,0.9994,0.0028,0.1041,37.6002,3.0000
0.1500,0.1500,4,PROPOSED,28.7236,0.9995,0.0047,0.1240,26.4628,4.0000
0.1500,0.1500,4,RDP,29.4477,0.9994,0.0028,0.1041,37.6002,3.0000
0.2000,0.2000,0,PROPOSED,26.7192,0.9992,0.0046,0.1207,26.4239,4.0000
0.2000,0.2000,0,RDP,27.4030,0.9991,0.0011,0.1019,89.4095,4.0000
0.2000,0.2000,1,PROPOSED,26.6837,0.9992,0.0054,0.1219,22.4204,4.0000
0.2000,0.2000,1,RDP,27.3713,0.9991,0.0009,0.1029,109.5780,4.0000
0.2000,0.2000,2,PROPOSED,26.7030,0.9992,0.0047,0.1211,25.6602,4.0000
0.2000,0.2000,2,RDP,27.3983,0.9991,0.0011,0.1021,97.0836,4.0000
0.2000,0.2000,3,PROPOSED,26.6807,0.9992,0.0047,0.1215,25.6291,4.0000
0.2000,0.2000,3,RDP,27.4123,0.9991,0.0013,0.1015,77.1329,4.0000
0.2000,0.2000,4,PROPOSED,26.6162,0.9992,0.0048,0.1227,25.7435,4.0000
0.2000,0.2000,4,RDP,27.3891,0.9991,0.0009,0.1026,117.0412,4.0000
0.3000,0.3000,0,PROPOSED,23.6470,0.9983,0.0082,0.1195,14.6415,4.0000
0.3000,0.3000,0,RDP,24.4661,0.9984,0.0117,0.1000,8.5444,4.0000
0.3000,0.3000,1,PROPOSED,23.5609,0.9984,0.0068,0.1210,17.8291,4.0000
0.3000,0.3000,1,RDP,24.4545,0.9984,0.0122,0.1005,8.2503,4.0000
0.3000,0.3000,2,PROPOSED,23.6289,0.9984,0.0076,0.1196,15.7454,4.0000
0.3000,0.3000,2,RDP,24.4603,0.9984,0.0119,0.1002,8.3945,4.0000
0.3000,0.3000,3,PROPOSED,23.6981,0.9983,0.0081,0.1191,14.7880,4.0000
0.3000,0.3000,3,RDP,24.4545,0.9984,0.0122,0.1005,8.2503,4.0000
0.3000,0.3000,4,PROPOSED,23.7477,0.9984,0.0077,0.1177,15.3401,4.0000
0.3000,0.3000,4,RDP,24.5069,0.9984,0.0101,0.0985,9.7892,4.0000
0.5000,0.5000,0,PROPOSED,19.9851,0.9962,0.0092,0.1181,12.8908,4.0000
0.5000,0.5000,0,RDP,20.8222,0.9962,0.0117,0.0997,8.4898,4.0000
0.5000,0.5000,1,PROPOSED,19.9032,0.9962,0.0084,0.1199,14.3134,4.0000
0.5000,0.5000,1,RDP,20.7958,0.9962,0.0122,0.1005,8.2446,4.0000
0.5000,0.5000,2,PROPOSED,19.8659,0.9962,0.0085,0.1210,14.1964,4.0000
0.5000,0.5000,2,RDP,20.7980,0.9962,0.0118,0.1003,8.4807,4.0000
0.5000,0.5000,3,PROPOSED,19.9200,0.9961,0.0095,0.1199,12.6525,4.0000
0.5000,0.5000,3,RDP,20.7980,0.9962,0.0118,0.1003,8.4807,4.0000
0.5000,0.5000,4,PROPOSED,19.9734,0.9961,0.0084,0.1193,14.1768,4.0000
0.5000,0.5000,4,RDP,20.8222,0.9962,0.0117,0.0997,8.4898,4.0000
0.7000,0.7000,0,PROPOSED,17.8111,0.9938,0.0086,0.1192,13.9095,4.0000
0.7000,0.7000,0,RDP,18.7369,0.9940,0.0115,0.0992,8.5954,4.0000
0.7000,0.7000,1,PROPOSED,17.8173,0.9939,0.0068,0.1188,17.4510,4.0000
0.7000,0.7000,1,RDP,18.7127,0.9939,0.0116,0.0997,8.5816,4.0000
0.7000,0.7000,2,PROPOSED,17.9234,0.9939,0.0085,0.1174,13.7732,4.0000
0.7000,0.7000,2,RDP,18.7604,0.9940,0.0119,0.0988,8.2721,4.0000
0.7000,0.7000,3,PROPOSED,17.7947,0.9938,0.0081,0.1195,14.7477,4.0000
0.7000,0.7000,3,RDP,18.7127,0.9939,0.0116,0.0997,8.5816,4.0000
0.7000,0.7000,4,PROPOSED,17.8776,0.9939,0.0071,0.1178,16.6171,4.0000
0.7000,0.7000,4,RDP,18.7848,0.9941,0.0119,0.0983,8.2835,4.0000
1.0000,1.0000,0,PROPOSED,15.8737,0.9910,0.0076,0.1206,15.9622,4.0000
1.0000,1.0000,0,RDP,16.8962,0.9907,0.0122,0.1005,8.2304,4.0000
1.0000,1.0000,1,PROPOSED,16.0508,0.9908,0.0078,0.1185,15.1655,4.0000
1.0000,1.0000,1,RDP,16.8959,0.9907,0.0115,0.1003,8.7017,4.0000
1.0000,1.0000,2,PROPOSED,15.9217,0.9908,0.0082,0.1200,14.6966,4.0000
1.0000,1.0000,2,RDP,16.8962,0.9907,0.0122,0.1005,8.2304,4.0000
1.0000,1.0000,3,PROPOSED,15.9695,0.9908,0.0036,0.1198,32.8430,4.0000
1.0000,1.0000,3,RDP,16.8715,0.9907,0.0118,0.1008,8.5571,4.0000
1.0000,1.0000,4,PROPOSED,15.8624,0.9910,0.0084,0.1205,14.2876,4.0000
1.0000,1.0000,4,RDP,16.8959,0.9907,0.0115,0.1003,8.7017,4.0000
