f2,f2_f1_ratio,trial,method,snr_db,spec_corr,err_f1_rel,err_f2_rel,max_gap
0.04,2,0,PROPOSED,39.083505,0.999970,0.003097,0.017081,10.000000
0.040000,2.000000,0,RDP,41.711881,0.999977,0.003100,0.015666,4.000000
0.040000,2.000000,1,PROPOSED,39.164093,0.999972,0.003068,0.017168,9.000000
0.040000,2.000000,1,RDP,41.753766,0.999977,0.003065,0.015515,4.000000
0.040000,2.000000,2,PROPOSED,39.156924,0.999971,0.003134,0.016240,10.000000
0.040000,2.000000,2,RDP,41.867476,0.999978,0.002970,0.015113,4.000000
0.040000,2.000000,3,PROPOSED,38.954376,0.999971,0.003024,0.017637,10.000000
0.040000,2.000000,3,RDP,41.670395,0.999977,0.003136,0.015816,4.000000
0.040000,2.000000,4,PROPOSED,39.088728,0.999972,0.003026,0.017158,10.000000
0.040000,2.000000,4,RDP,41.698008,0.999977,0.003112,0.015716,4.000000
0.060000,3.000000,0,PROPOSED,33.275562,0.999863,0.002280,0.040150,7.000000
0.060000,3.000000,0,RDP,36.922694,0.999925,0.002223,0.028126,5.000000
0.060000,3.000000,1,PROPOSED,33.542667,0.999877,0.002314,0.039121,7.000000
0.060000,3.000000,1,RDP,36.932168,0.999925,0.002215,0.028060,5.000000
0.060000,3.000000,2,PROPOSED,33.320179,0.999863,0.001931,0.040469,7.000000
0.060000,3.000000,2,RDP,36.913240,0.999924,0.002231,0.028193,5.000000
0.060000,3.000000,3,PROPOSED,33.397649,0.999872,0.002324,0.039608,7.000000
0.060000,3.000000,3,RDP,36.922694,0.999925,0.002223,0.028126,5.000000
0.060000,3.000000,4,PROPOSED,33.472252,0.999869,0.002087,0.039825,7.000000
0.060000,3.000000,4,RDP,36.913240,0.999924,0.002231,0.028193,5.000000
0.080000,4.000000,0,PROPOSED,29.498353,0.999670,0.000829,0.065101,7.000000
0.080000,4.000000,0,RDP,33.321411,0.999794,0.000399,0.045211,4.000000
0.080000,4.000000,1,PROPOSED,29.378936,0.999642,0.001720,0.066178,6.000000
0.080000,4.000000,1,RDP,33.259159,0.999792,0.000562,0.045754,4.000000
0.080000,4.000000,2,PROPOSED,29.484103,0.999652,0.001227,0.065912,7.000000
0.080000,4.000000,2,RDP,33.243735,0.999792,0.000602,0.045889,4.000000
0.080000,4.000000,3,PROPOSED,29.492139,0.999658,0.001349,0.065795,6.000000
0.080000,4.000000,3,RDP,33.305764,0.999794,0.000440,0.045347,4.000000
0.080000,4.000000,4,PROPOSED,29.573092,0.999675,0.000205,0.064449,6.000000
0.080000,4.000000,4,RDP,33.259159,0.999792,0.000562,0.045754,4.000000
0.100000,5.000000,0,PROPOSED,26.362348,0.999189,0.002275,0.086174,6.000000
0.100000,5.000000,0,RDP,29.665678,0.999596,0.010694,0.049293,4.000000
0.100000,5.000000,1,PROPOSED,26.435227,0.999191,0.002757,0.086817,6.000000
0.100000,5.000000,1,RDP,29.653810,0.999596,0.010802,0.049363,4.000000
