buf_size,overload,trial,method,snr_db,spec_corr,err_f1_rel,err_f2_rel,err_f3_rel,err_f4_rel,err_f5_rel,max_gap,cv_gap
128,3,0,PROPOSED,31.6976,0.9997,0.0024,0.0078,0.0066,0.0158,0.0231,4.0000,0.5255
128,3,0,RDP,33.8378,0.9998,0.0019,0.0004,0.0018,0.0107,0.0343,4.0000,0.4680
128,3,1,PROPOSED,31.5295,0.9997,0.0028,0.0087,0.0068,0.0166,0.0227,4.0000,0.5238
128,3,1,RDP,33.5272,0.9998,0.0012,0.0002,0.0012,0.0080,0.0351,4.0000,0.4765
128,3,2,PROPOSED,31.4121,0.9997,0.0031,0.0094,0.0076,0.0173,0.0207,4.0000,0.5253
128,3,2,RDP,33.5272,0.9998,0.0012,0.0002,0.0012,0.0080,0.0351,4.0000,0.4765
128,3,3,PROPOSED,31.6412,0.9997,0.0025,0.0080,0.0066,0.0152,0.0243,4.0000,0.5256
128,3,3,RDP,33.6625,0.9998,0.0015,0.0003,0.0001,0.0092,0.0347,4.0000,0.4728
128,3,4,PROPOSED,31.5624,0.9997,0.0027,0.0085,0.0070,0.0159,0.0229,4.0000,0.5257
128,3,4,RDP,33.5943,0.9998,0.0014,0.0002,0.0005,0.0086,0.0349,4.0000,0.4746
128,5,0,PROPOSED,24.2898,0.9987,0.0022,0.0200,0.0164,0.1089,0.1809,7.0000,0.5831
128,5,0,RDP,26.3124,0.9990,0.0078,0.0138,0.0228,0.0451,0.1096,5.0000,0.4801
128,5,1,PROPOSED,24.3114,0.9986,0.0013,0.0214,0.0190,0.1108,0.1849,7.0000,0.5807
128,5,1,RDP,26.1542,0.9990,0.0065,0.0144,0.0208,0.0481,0.1138,5.0000,0.4792
128,5,2,PROPOSED,24.1804,0.9986,0.0001,0.0234,0.0188,0.1111,0.1848,7.0000,0.5826
128,5,2,RDP,26.1542,0.9990,0.0065,0.0144,0.0208,0.0481,0.1138,5.0000,0.4792
128,5,3,PROPOSED,24.2465,0.9986,0.0008,0.0226,0.0182,0.1101,0.1839,7.0000,0.5812
128,5,3,RDP,26.1027,0.9990,0.0060,0.0146,0.0201,0.0491,0.1152,5.0000,0.4789
128,5,4,PROPOSED,24.1387,0.9986,0.0001,0.0227,0.0194,0.1126,0.1863,7.0000,0.5808
128,5,4,RDP,26.0518,0.9989,0.0056,0.0148,0.0194,0.0501,0.1166,5.0000,0.4785
128,10,0,PROPOSED,14.8616,0.9878,0.0173,0.0320,0.0823,0.4116,0.4798,16.0000,0.6230
128,10,0,RDP,19.2831,0.9944,0.0046,0.0759,0.0788,0.2820,0.3749,7.0000,0.4626
128,10,1,PROPOSED,14.9308,0.9883,0.0220,0.0335,0.0756,0.4077,0.4859,16.0000,0.6344
128,10,1,RDP,19.0037,0.9937,0.0096,0.0827,0.0796,0.2886,0.3800,7.0000,0.4592
128,10,2,PROPOSED,14.8301,0.9881,0.0232,0.0476,0.0705,0.3983,0.4828,27.0000,0.6764
128,10,2,RDP,19.0037,0.9937,0.0096,0.0827,0.0796,0.2886,0.3800,7.0000,0.4592
128,10,3,PROPOSED,14.6338,0.9875,0.0228,0.0342,0.0953,0.4194,0.4991,16.0000,0.6420
128,10,3,RDP,18.8491,0.9937,0.0088,0.0873,0.0799,0.2913,0.3821,7.0000,0.4580
128,10,4,PROPOSED,14.9038,0.9885,0.0214,0.0201,0.0911,0.4092,0.4905,16.0000,0.6370
128,10,4,RDP,18.8491,0.9937,0.0088,0.0873,0.0799,0.2913,0.3821,7.0000,0.4580
256,3,0,PROPOSED,33.3807,0.9998,0.0005,0.0032,0.0065,0.0078,0.0200,4.0000,0.5462
256,3,0,RDP,37.9275,0.9999,0.0025,0.0015,0.0007,0.0048,0.0161,4.0000,0.4664
256,3,1,PROPOSED,33.5049,0.9998,0.0007,0.0030,0.0062,0.0080,0.0192,4.0000,0.5460
256,3,1,RDP,38.0603,0.9999,0.0025,0.0014,0.0011,0.0035,0.0181,4.0000,0.4637
256,3,2,PROPOSED,33.2561,0.9998,0.0008,0.0035,0.0069,0.0089,0.0186,4.0000,0.5475
256,3,2,RDP,37.7208,0.9999,0.0027,0.0016,0.0011,0.0059,0.0161,4.0000,0.4653
256,3,3,PROPOSED,33.3262,0.9998,0.0006,0.0034,0.0064,0.0087,0.0192,4.0000,0.5458
256,3,3,RDP,37.8842,0.9999,0.0025,0.0015,0.0006,0.0052,0.0154,4.0000,0.4673
256,3,4,PROPOSED,33.3032,0.9998,0.0008,0.0035,0.0065,0.0082,0.0198,4.0000,0.5475
256,3,4,RDP,37.8017,0.9999,0.0026,0.0015,0.0009,0.0056,0.0157,4.0000,0.4663
256,5,0,PROPOSED,25.9736,0.9991,0.0013,0.0188,0.0022,0.0619,0.1178,7.0000,0.5971
256,5,0,RDP,27.5280,0.9992,0.0104,0.0334,0.0360,0.0092,0.0175,4.0000,0.4852
256,5,1,PROPOSED,26.0769,0.9991,0.0009,0.0185,0.0035,0.0602,0.1158,7.0000,0.5994
256,5,1,RDP,27.6091,0.9993,0.0103,0.0328,0.0347,0.0104,0.0172,4.0000,0.4847
256,5,2,PROPOSED,25.8039,0.9991,0.0006,0.0184,0.0036,0.0611,0.1165,7.0000,0.5964
256,5,2,RDP,27.5280,0.9992,0.0104,0.0334,0.0360,0.0092,0.0175,4.0000,0.4852
256,5,3,PROPOSED,26.1753,0.9992,0.0012,0.0175,0.0044,0.0588,0.1135,7.0000,0.5995
256,5,3,RDP,27.5684,0.9993,0.0103,0.0331,0.0353,0.0098,0.0174,4.0000,0.4850
256,5,4,PROPOSED,26.0101,0.9991,0.0012,0.0179,0.0030,0.0612,0.1177,7.0000,0.5971
256,5,4,RDP,27.5383,0.9993,0.0103,0.0329,0.0355,0.0098,0.0185,5.0000,0.4854
256,10,0,PROPOSED,19.8570,0.9962,0.0045,0.0549,0.0487,0.2303,0.3194,13.0000,0.6176
256,10,0,RDP,23.1025,0.9978,0.0080,0.0251,0.0486,0.1709,0.2707,7.0000,0.4897
256,10,1,PROPOSED,20.2869,0.9963,0.0020,0.0620,0.0569,0.2249,0.3151,8.0000,0.6086
256,10,1,RDP,23.1756,0.9978,0.0078,0.0240,0.0468,0.1676,0.2666,7.0000,0.4905
256,10,2,PROPOSED,19.9196,0.9963,0.0037,0.0485,0.0452,0.2349,0.3273,13.0000,0.6170
256,10,2,RDP,23.1043,0.9978,0.0078,0.0241,0.0484,0.1709,0.2704,7.0000,0.4884
256,10,3,PROPOSED,19.9943,0.9961,0.0048,0.0542,0.0484,0.2323,0.3250,9.0000,0.6053
256,10,3,RDP,23.0664,0.9978,0.0081,0.0256,0.0495,0.1725,0.2728,7.0000,0.4892
256,10,4,PROPOSED,19.7500,0.9961,0.0034,0.0418,0.0392,0.2398,0.3302,11.0000,0.6128
256,10,4,RDP,23.1025,0.9978,0.0080,0.0251,0.0486,0.1709,0.2707,7.0000,0.4897
512,3,0,PROPOSED,39.8877,1.0000,0.0017,0.0016,0.0006,0.0020,0.0113,4.0000,0.4868
512,3,0,RDP,44.7093,1.0000,0.0013,0.0026,0.0013,0.0018,0.0013,4.0000,0.4473
