buf_size,overload,trial,method,snr_db,spec_corr,err_tone_rel,max_gap,cv_gap,n_samples_near_spike,n_samples_total
64,3,0,PROPOSED,22.9068,0.9988,0.0422,5.0000,0.5698,21,976
64,3,0,RDP,23.9932,0.9985,0.0333,4.0000,0.6143,19,976
64,3,1,PROPOSED,22.8567,0.9988,0.0424,5.0000,0.5679,21,978
64,3,1,RDP,24.0180,0.9985,0.0331,4.0000,0.6158,19,978
64,3,2,PROPOSED,22.8867,0.9988,0.0419,5.0000,0.5692,20,982
64,3,2,RDP,24.0679,0.9986,0.0326,4.0000,0.6188,19,982
64,3,3,PROPOSED,22.8629,0.9988,0.0422,5.0000,0.5774,20,976
64,3,3,RDP,23.9932,0.9985,0.0333,4.0000,0.6143,19,976
64,3,4,PROPOSED,22.8596,0.9987,0.0420,5.0000,0.5805,19,975
64,3,4,RDP,23.9809,0.9985,0.0334,4.0000,0.6135,19,975
64,5,0,PROPOSED,17.4560,0.9965,0.0896,7.0000,0.5332,12,655
64,5,0,RDP,19.7200,0.9969,0.0749,5.0000,0.4163,16,655
64,5,1,PROPOSED,17.3721,0.9965,0.0918,7.0000,0.5276,11,652
64,5,1,RDP,19.6826,0.9968,0.0753,5.0000,0.4145,16,652
64,5,2,PROPOSED,17.4006,0.9968,0.0915,6.0000,0.5327,11,647
64,5,2,RDP,19.6212,0.9967,0.0760,5.0000,0.4115,16,647
64,5,3,PROPOSED,17.1457,0.9968,0.0948,7.0000,0.5303,11,643
64,5,3,RDP,19.5640,0.9967,0.0768,5.0000,0.4077,13,643
64,5,4,PROPOSED,17.5734,0.9966,0.0893,6.0000,0.5351,11,647
64,5,4,RDP,19.6212,0.9967,0.0760,5.0000,0.4115,16,647
64,8,0,PROPOSED,11.8275,0.9876,0.1837,8.0000,0.4233,8,446
64,8,0,RDP,14.2696,0.9898,0.1512,8.0000,0.4146,8,446
64,8,1,PROPOSED,11.8788,0.9888,0.1808,8.0000,0.4339,9,448
64,8,1,RDP,14.3274,0.9899,0.1500,8.0000,0.4155,8,448
64,8,2,PROPOSED,11.5693,0.9869,0.1875,8.0000,0.4300,9,450
