buf_size,overload,trial,method,max_gap,mean_gap,cv_gap,p95_gap,p99_gap,n_surviving,n_total
32,2,0,PROPOSED,4,1.59,0.4630,3.0000,4.0000,3137,5000
32,2,0,RDP,4.0000,1.59,0.4597,3.0000,4.0000,3137,5000
32,2,1,PROPOSED,4.0000,1.57,0.4579,3.0000,4.0000,3176,5000
32,2,1,RDP,4.0000,1.57,0.4545,3.0000,4.0000,3176,5000
32,2,2,PROPOSED,4.0000,1.59,0.4632,3.0000,4.0000,3148,5000
32,2,2,RDP,4.0000,1.59,0.4583,3.0000,4.0000,3148,5000
32,2,3,PROPOSED,4.0000,1.60,0.4640,3.0000,4.0000,3129,5000
32,2,3,RDP,4.0000,1.60,0.4607,3.0000,4.0000,3129,5000
32,2,4,PROPOSED,4.0000,1.58,0.4613,3.0000,4.0000,3163,5000
32,2,4,RDP,4.0000,1.58,0.4563,3.0000,4.0000,3163,5000
32,2,5,PROPOSED,4.0000,1.58,0.4602,3.0000,4.0000,3161,5000
32,2,5,RDP,4.0000,1.58,0.4566,3.0000,4.0000,3161,5000
32,2,6,PROPOSED,4.0000,1.60,0.4624,3.0000,4.0000,3131,5000
32,2,6,RDP,4.0000,1.60,0.4605,3.0000,4.0000,3131,5000
32,2,7,PROPOSED,4.0000,1.59,0.4629,3.0000,4.0000,3142,5000
32,2,7,RDP,4.0000,1.59,0.4591,3.0000,4.0000,3142,5000
32,2,8,PROPOSED,4.0000,1.60,0.4615,3.0000,4.0000,3134,5000
32,2,8,RDP,4.0000,1.60,0.4601,3.0000,4.0000,3134,5000
32,2,9,PROPOSED,4.0000,1.60,0.4619,3.0000,4.0000,3126,5000
32,2,9,RDP,4.0000,1.60,0.4611,3.0000,4.0000,3126,5000
32,3,0,PROPOSED,6.0000,2.19,0.4189,4.0000,6.0000,2285,5000
32,3,0,RDP,6.0000,2.19,0.3717,4.0000,4.0000,2285,5000
32,3,1,PROPOSED,6.0000,2.19,0.4253,4.0000,6.0000,2282,5000
32,3,1,RDP,6.0000,2.19,0.3756,4.0000,4.0000,2282,5000
32,3,2,PROPOSED,6.0000,2.19,0.4256,4.0000,6.0000,2279,5000
