bin,norm_freq,orig_mag,proposed_mag,rdp_mag,proposed_err,rdp_err,proposed_rel_err,rdp_rel_err
0,0,62.6657,55.6836,62.0522,6.98209,0.613512,0.111418,0.00979024
1,0.0005,62.658,64.1036,62.3444,1.44563,0.313572,0.0230718,0.0050045
2,0.001,62.6348,62.9981,62.142,0.363357,0.492755,0.0058012,0.00786711
3,0.0015,62.5962,62.4038,62.2351,0.19238,0.361101,0.00307335,0.00576875
4,0.002,62.5421,63.8993,61.7835,1.35713,0.758639,0.0216995,0.01213
5,0.0025,62.4727,63.6103,61.9237,1.13753,0.549057,0.0182084,0.00878875
6,0.003,62.388,61.3701,61.7434,1.0179,0.644596,0.0163156,0.0103321
7,0.0035,62.288,61.5845,62.2849,0.703542,0.003144,0.011295,5.04751e-05
8,0.004,62.1729,61.749,61.6898,0.42389,0.48309,0.00681792,0.00777011
9,0.0045,62.0426,64.7796,61.6543,2.73695,0.388294,0.044114,0.00625851
10,0.005,61.8973,61.3,61.1833,0.597311,0.714043,0.00965003,0.0115359
11,0.0055,61.7372,60.4862,61.5253,1.25103,0.211918,0.0202638,0.00343258
12,0.006,61.5623,60.5354,60.736,1.02688,0.826271,0.0166803,0.0134217
13,0.0065,61.3727,64.3713,61.4644,2.9986,0.0917543,0.0488588,0.00149503
14,0.007,61.1686,61.9293,61.0931,0.760738,0.0755086,0.0124367,0.00123443
15,0.0075,60.9501,59.3712,61.1044,1.57897,0.154292,0.025906,0.00253145
16,0.008,60.7175,59.8494,60.7192,0.868102,0.00175335,0.0142974,2.88772e-05
17,0.0085,60.4708,59.3146,60.4173,1.15616,0.0535123,0.0191194,0.000884928
18,0.009,60.2102,57.9523,59.928,2.25789,0.28226,0.0375001,0.0046879
19,0.0095,59.936,60.0474,59.829,0.111339,0.10706,0.00185763,0.00178624
20,0.01,59.6483,60.4825,59.3621,0.834176,0.28625,0.0139849,0.00479895
21,0.0105,59.3474,59.0603,59.7881,0.287128,0.440661,0.0048381,0.00742511
22,0.011,59.0334,59.1859,59.2413,0.152549,0.207861,0.00258412,0.00352108
23,0.0115,58.7066,58.6079,59.2787,0.0987172,0.57215,0.00168154,0.00974593
24,0.012,58.3671,57.6247,58.5053,0.742443,0.138195,0.0127202,0.00236769
25,0.0125,58.0154,60.9442,58.1478,2.92887,0.132455,0.0504844,0.0022831
26,0.013,57.6515,53.8698,57.9942,3.78171,0.342712,0.0655961,0.00594455
27,0.0135,57.2758,57.2918,57.5974,0.0160013,0.321627,0.000279374,0.00561541
28,0.014,56.8884,59.5812,57.0648,2.69278,0.176311,0.0473343,0.00309924
29,0.0145,56.4898,55.538,57.0557,0.9518,0.565937,0.0168491,0.0100184
30,0.015,56.0801,55.064,57.3971,1.01607,1.31703,0.0181183,0.0234847
31,0.0155,55.6597,60.6172,53.3562,4.95752,2.30342,0.0890684,0.0413841
32,0.016,55.2287,53.6689,54.5758,1.55985,0.652935,0.0282434,0.0118224
