method,sample_idx,value
PROPOSED,0,0
PROPOSED,1,0.481754
PROPOSED,2,0.844328
PROPOSED,3,0.998027
PROPOSED,4,0.904827
PROPOSED,5,0.587785
PROPOSED,6,0.125333
PROPOSED,7,-0.368125
PROPOSED,8,-0.770513
PROPOSED,9,-0.982287
PROPOSED,10,-0.951057
PROPOSED,11,-0.684547
PROPOSED,12,-0.24869
PROPOSED,13,0.24869
PROPOSED,14,0.684547
PROPOSED,15,0.951057
PROPOSED,16,0.982287
PROPOSED,17,0.770513
PROPOSED,18,0.368125
PROPOSED,19,-0.125333
PROPOSED,20,-0.587785
PROPOSED,21,-0.904827
PROPOSED,22,-0.998027
PROPOSED,23,-0.844328
PROPOSED,24,-0.481754
PROPOSED,25,1.2865e-15
PROPOSED,26,0.481754
PROPOSED,27,0.844328
PROPOSED,28,0.998027
PROPOSED,29,0.904827
PROPOSED,30,0.587785
PROPOSED,31,0.125333
PROPOSED,32,-0.368125
PROPOSED,33,-0.770513
PROPOSED,34,-0.982287
PROPOSED,35,-0.951057
PROPOSED,36,-0.684547
PROPOSED,37,-0.24869
PROPOSED,38,0.24869
PROPOSED,39,0.684547
PROPOSED,40,0.951057
PROPOSED,41,0.982287
PROPOSED,42,0.770513
PROPOSED,43,0.368125
PROPOSED,44,-0.125333
PROPOSED,45,-0.587785
PROPOSED,46,-0.904827
PROPOSED,47,-0.998027
PROPOSED,48,-0.844328
PROPOSED,49,-0.481754
PROPOSED,50,2.573e-15
PROPOSED,51,0.481754
PROPOSED,52,0.844328
PROPOSED,53,0.998027
PROPOSED,54,0.904827
PROPOSED,55,0.587785
PROPOSED,56,0.125333
PROPOSED,57,-0.368125
PROPOSED,58,-0.770513
PROPOSED,59,-0.982287
PROPOSED,60,-0.951057
PROPOSED,61,-0.684547
PROPOSED,62,-0.24869
PROPOSED,63,0.24869
PROPOSED,64,0.684547
PROPOSED,65,0.951057
PROPOSED,66,0.982287
PROPOSED,67,0.770513
PROPOSED,68,0.368125
PROPOSED,69,-0.125333
PROPOSED,70,-0.587785
PROPOSED,71,-0.904827
PROPOSED,72,-0.998027
PROPOSED,73,-0.844328
PROPOSED,74,-0.481754
PROPOSED,75,-1.46958e-15
PROPOSED,76,0.481754
PROPOSED,77,0.844328
PROPOSED,78,0.998027
PROPOSED,79,0.904827
PROPOSED,80,0.587785
PROPOSED,81,0.125333
PROPOSED,82,-0.368125
PROPOSED,83,-0.770513
PROPOSED,84,-0.982287
PROPOSED,85,-0.951057
PROPOSED,86,-0.684547
PROPOSED,87,-0.24869
PROPOSED,88,0.24869
PROPOSED,89,0.684547
PROPOSED,90,0.951057
PROPOSED,91,0.982287
PROPOSED,92,0.770513
PROPOSED,93,0.368125
PROPOSED,94,-0.125333
PROPOSED,95,-0.587785
PROPOSED,96,-0.904827
PROPOSED,97,-0.998027
PROPOSED,98,-0.844328
PROPOSED,99,-0.481754
PROPOSED,100,5.14599e-15
PROPOSED,101,0.481754
PROPOSED,102,0.844328
PROPOSED,103,0.998027
PROPOSED,104,0.904827
PROPOSED,105,0.587785
PROPOSED,106,0.125333
PROPOSED,107,-0.368125
PROPOSED,108,-0.770513
PROPOSED,109,-0.982287
