sample,original,proposed_recon,rdp_recon
0,0,0,0
1,0.481754,0.481754,0.422164
2,0.844328,0.844328,0.844328
3,0.998027,0.998027,0.874577
4,0.904827,0.904827,0.904827
5,0.587785,0.587785,0.485992
6,0.125333,0.125333,0.0671569
7,-0.368125,-0.368125,-0.351678
8,-0.770513,-0.770513,-0.770513
9,-0.982287,-0.982287,-0.982287
10,-0.951057,-0.951057,-0.833417
11,-0.684547,-0.684547,-0.684547
12,-0.24869,-0.24869,-0.228182
13,0.24869,0.24869,0.228182
14,0.684547,0.684547,0.684547
15,0.951057,0.951057,0.833417
16,0.982287,0.982287,0.982287
17,0.770513,0.770513,0.770513
18,0.368125,0.368125,0.351678
19,-0.125333,-0.125333,-0.0671569
20,-0.587785,-0.587785,-0.485992
21,-0.904827,-0.904827,-0.904827
22,-0.998027,-0.998027,-0.874577
23,-0.844328,-0.844328,-0.844328
24,-0.481754,-0.481754,-0.422164
25,1.2865e-15,1.2865e-15,2.22045e-16
26,0.481754,0.481754,0.422164
27,0.844328,0.844328,0.844328
28,0.998027,0.998027,0.874577
29,0.904827,0.904827,0.904827
30,0.587785,0.587785,0.485992
31,0.125333,0.125333,0.0671569
32,-0.368125,-0.368125,-0.351678
33,-0.770513,-0.770513,-0.770513
34,-0.982287,-0.982287,-0.982287
35,-0.951057,-0.951057,-0.833417
36,-0.684547,-0.684547,-0.684547
37,-0.24869,-0.24869,-0.228182
38,0.24869,0.24869,0.228182
39,0.684547,0.684547,0.684547
40,0.951057,0.951057,0.833417
41,0.982287,0.982287,0.982287
42,0.770513,0.770513,0.770513
43,0.368125,0.368125,0.351678
44,-0.125333,-0.125333,-0.0671569
45,-0.587785,-0.587785,-0.485992
46,-0.904827,-0.904827,-0.904827
47,-0.998027,-0.998027,-0.874577
48,-0.844328,-0.844328,-0.844328
49,-0.481754,-0.481754,-0.422164
50,2.573e-15,2.573e-15,4.44089e-16
51,0.481754,0.481754,0.422164
52,0.844328,0.844328,0.844328
53,0.998027,0.998027,0.874577
54,0.904827,0.904827,0.904827
55,0.587785,0.587785,0.485992
56,0.125333,0.125333,0.0671569
57,-0.368125,-0.368125,-0.351678
58,-0.770513,-0.770513,-0.770513
59,-0.982287,-0.982287,-0.982287
60,-0.951057,-0.951057,-0.833417
61,-0.684547,-0.684547,-0.684547
62,-0.24869,-0.24869,-0.228182
63,0.24869,0.24869,0.228182
64,0.684547,0.684547,0.684547
65,0.951057,0.951057,0.833417
66,0.982287,0.982287,0.982287
67,0.770513,0.770513,0.770513
68,0.368125,0.368125,0.351678
69,-0.125333,-0.125333,-0.0671569
70,-0.587785,-0.587785,-0.485992
71,-0.904827,-0.904827,-0.904827
72,-0.998027,-0.998027,-0.874577
73,-0.844328,-0.844328,-0.844328
74,-0.481754,-0.481754,-0.422164
75,-1.46958e-15,-1.46958e-15,1.22125e-15
76,0.481754,0.481754,0.422164
77,0.844328,0.844328,0.844328
78,0.998027,0.998027,0.874577
79,0.904827,0.904827,0.904827
80,0.587785,0.587785,0.485992
81,0.125333,0.125333,0.0671569
82,-0.368125,-0.368125,-0.351678
83,-0.770513,-0.770513,-0.770513
84,-0.982287,-0.982287,-0.982287
85,-0.951057,-0.951057,-0.833417
86,-0.684547,-0.684547,-0.684547
87,-0.24869,-0.24869,-0.228182
88,0.24869,0.24869,0.228182
89,0.684547,0.684547,0.684547
90,0.951057,0.951057,0.833417
91,0.982287,0.982287,0.982287
92,0.770513,0.770513,0.770513
93,0.368125,0.368125,0.351678
94,-0.125333,-0.125333,-0.0671569
95,-0.587785,-0.587785,-0.485992
96,-0.904827,-0.904827,-0.904827
97,-0.998027,-0.998027,-0.874577
98,-0.844328,-0.844328,-0.844328
99,-0.481754,-0.481754,-0.422164
100,5.14599e-15,5.14599e-15,8.88178e-16
101,0.481754,0.481754,0.422164
102,0.844328,0.844328,0.844328
103,0.998027,0.998027,0.874577
104,0.904827,0.904827,0.904827
105,0.587785,0.587785,0.485992
106,0.125333,0.125333,0.0671569
107,-0.368125,-0.368125,-0.351678
108,-0.770513,-0.770513,-0.770513
109,-0.982287,-0.982287,-0.982287
110,-0.951057,-0.951057,-0.833417
111,-0.684547,-0.684547,-0.684547
112,-0.24869,-0.24869,-0.228182
113,0.24869,0.24869,0.228182
114,0.684547,0.684547,0.684547
115,0.951057,0.951057,0.833417
116,0.982287,0.982287,0.982287
117,0.770513,0.770513,0.770513
118,0.368125,0.368125,0.351678
119,-0.125333,-0.10983,-0.0671569
120,-0.587785,-0.587785,-0.485992
121,-0.904827,-0.904827,-0.904827
122,-0.998027,-0.998027,-0.874577
123,-0.844328,-0.844328,-0.844328
124,-0.481754,-0.481754,-0.422164
125,4.65613e-15,9.4369e-16,2.44249e-15
126,0.481754,0.481754,0.422164
127,0.844328,0.844328,0.844328
128,0.998027,0.998027,0.874577
129,0.904827,0.904827,0.904827
130,0.587785,0.587785,0.485992
131,0.125333,0.10983,0.0671569
132,-0.368125,-0.368125,-0.351678
133,-0.770513,-0.770513,-0.770513
134,-0.982287,-0.982287,-0.982287
135,-0.951057,-0.951057,-0.833417
136,-0.684547,-0.684547,-0.684547
137,-0.24869,-0.228182,-0.228182
138,0.24869,0.228182,0.228182
139,0.684547,0.684547,0.684547
140,0.951057,0.951057,0.833417
141,0.982287,0.982287,0.982287
142,0.770513,0.770513,0.770513
143,0.368125,0.368125,0.351678
144,-0.125333,-0.10983,-0.0671569
145,-0.587785,-0.587785,-0.485992
146,-0.904827,-0.904827,-0.904827
147,-0.998027,-0.998027,-0.874577
148,-0.844328,-0.844328,-0.844328
149,-0.481754,-0.481754,-0.422164
150,-2.93915e-15,3.66374e-15,2.22045e-15
151,0.481754,0.481754,0.422164
152,0.844328,0.844328,0.844328
153,0.998027,0.998027,0.874577
154,0.904827,0.904827,0.904827
155,0.587785,0.587785,0.485992
156,0.125333,0.10983,0.0671569
157,-0.368125,-0.368125,-0.351678
158,-0.770513,-0.770513,-0.770513
159,-0.982287,-0.982287,-0.982287
160,-0.951057,-0.951057,-0.833417
161,-0.684547,-0.684547,-0.684547
162,-0.24869,-0.228182,-0.228182
163,0.24869,0.228182,0.228182
164,0.684547,0.684547,0.684547
165,0.951057,0.951057,0.833417
166,0.982287,0.982287,0.982287
167,0.770513,0.770513,0.770513
168,0.368125,0.317747,0.351678
169,-0.125333,-0.135019,-0.0671569
170,-0.587785,-0.587785,-0.485992
171,-0.904827,-0.904827,-0.904827
172,-0.998027,-0.998027,-0.874577
173,-0.844328,-0.844328,-0.844328
174,-0.481754,-0.481754,-0.422164
175,1.07818e-14,3.21965e-15,1.88738e-15
176,0.481754,0.481754,0.422164
177,0.844328,0.844328,0.844328
178,0.998027,0.998027,0.874577
179,0.904827,0.904827,0.904827
180,0.587785,0.587785,0.485992
181,0.125333,0.135019,0.0671569
182,-0.368125,-0.317747,-0.351678
183,-0.770513,-0.770513,-0.770513
184,-0.982287,-0.982287,-0.982287
185,-0.951057,-0.951057,-0.833417
186,-0.684547,-0.684547,-0.684547
187,-0.24869,-0.228182,-0.228182
188,0.24869,0.228182,0.228182
189,0.684547,0.684547,0.684547
190,0.951057,0.951057,0.833417
