buf_size,overload,trial,method,snr_db,spec_corr_global,spec_corr_seg1,spec_corr_seg2,n_seg1,n_seg2,frac_seg1,max_gap,cv_gap,n_surviving
64,3,0,PROPOSED,20.0963,0.9970,0.9999,0.9949,489,477,0.5062,11.0000,0.5629,966
64,3,0,RDP,26.0962,0.9991,0.9990,0.9995,181,785,0.1874,10.0000,1.0062,966
64,3,1,PROPOSED,20.4641,0.9972,1.0000,0.9953,491,483,0.5041,11.0000,0.5574,974
64,3,1,RDP,26.1592,0.9991,0.9990,0.9996,181,793,0.1858,10.0000,1.0115,974
64,3,2,PROPOSED,20.6019,0.9971,0.9999,0.9949,496,485,0.5056,11.0000,0.5667,981
64,3,2,RDP,26.2051,0.9991,0.9990,0.9996,181,800,0.1845,10.0000,1.0160,981
64,3,3,PROPOSED,20.4055,0.9972,0.9999,0.9954,496,484,0.5061,9.0000,0.5506,980
64,3,3,RDP,26.2071,0.9991,0.9990,0.9996,181,799,0.1847,10.0000,1.0155,980
64,3,4,PROPOSED,20.1501,0.9972,0.9999,0.9954,490,477,0.5067,10.0000,0.5615,967
64,3,4,RDP,26.0942,0.9991,0.9990,0.9996,181,786,0.1872,10.0000,1.0067,967
64,5,0,PROPOSED,14.7049,0.9908,0.9996,0.9863,330,320,0.5077,14.0000,0.5528,650
64,5,0,RDP,18.3815,0.9956,0.9968,0.9946,141,509,0.2169,10.0000,0.8298,650
64,5,1,PROPOSED,14.7095,0.9909,0.9994,0.9865,329,321,0.5062,14.0000,0.5561,650
64,5,1,RDP,18.3815,0.9956,0.9968,0.9946,141,509,0.2169,10.0000,0.8298,650
64,5,2,PROPOSED,14.7371,0.9910,0.9995,0.9868,329,320,0.5069,12.0000,0.5442,649
64,5,2,RDP,18.3838,0.9955,0.9968,0.9945,141,508,0.2173,10.0000,0.8288,649
64,5,3,PROPOSED,14.7553,0.9910,0.9995,0.9865,327,321,0.5046,14.0000,0.5568,648
64,5,3,RDP,18.3609,0.9955,0.9968,0.9945,141,507,0.2176,10.0000,0.8277,648
64,5,4,PROPOSED,14.6888,0.9901,0.9994,0.9852,331,320,0.5084,14.0000,0.5526,651
64,5,4,RDP,18.4044,0.9956,0.9968,0.9946,141,510,0.2166,10.0000,0.8310,651
64,8,0,PROPOSED,6.4094,0.9120,0.9981,0.8032,231,218,0.5145,16.0000,0.5976,449
64,8,0,RDP,13.8347,0.9881,0.9889,0.9849,99,350,0.2205,17.0000,0.8045,449
64,8,1,PROPOSED,7.1579,0.9326,0.9978,0.8548,234,223,0.5120,16.0000,0.6199,457
64,8,1,RDP,13.9688,0.9881,0.9889,0.9850,99,358,0.2166,17.0000,0.8193,457
64,8,2,PROPOSED,7.0753,0.9297,0.9979,0.8491,229,222,0.5078,16.0000,0.6317,451
64,8,2,RDP,13.8679,0.9881,0.9889,0.9851,99,352,0.2195,17.0000,0.8082,451
64,8,3,PROPOSED,6.8903,0.9272,0.9976,0.8395,229,221,0.5089,16.0000,0.6215,450
64,8,3,RDP,13.8513,0.9881,0.9889,0.9851,99,351,0.2200,17.0000,0.8064,450
64,8,4,PROPOSED,6.6605,0.9199,0.9978,0.8268,231,219,0.5133,16.0000,0.6151,450
64,8,4,RDP,13.8513,0.9881,0.9889,0.9851,99,351,0.2200,17.0000,0.8064,450
64,10,0,PROPOSED,4.2973,0.8431,0.9956,0.6376,196,182,0.5185,20.0000,0.7084,378
64,10,0,RDP,12.8501,0.9853,0.9889,0.9784,99,279,0.2619,17.0000,0.6560,378
64,10,1,PROPOSED,4.3068,0.8473,0.9954,0.6434,191,183,0.5107,20.0000,0.7174,374
64,10,1,RDP,12.8039,0.9852,0.9889,0.9782,99,275,0.2647,17.0000,0.6464,374
64,10,2,PROPOSED,4.0052,0.8336,0.9954,0.6137,193,183,0.5133,20.0000,0.7102,376
64,10,2,RDP,12.8269,0.9853,0.9889,0.9783,99,277,0.2633,17.0000,0.6512,376
64,10,3,PROPOSED,4.2339,0.8476,0.9938,0.6395,194,183,0.5146,20.0000,0.7183,377
64,10,3,RDP,12.8511,0.9853,0.9889,0.9782,99,278,0.2626,17.0000,0.6537,377
64,10,4,PROPOSED,3.8737,0.8251,0.9935,0.5962,193,183,0.5133,20.0000,0.6807,376
64,10,4,RDP,12.8269,0.9853,0.9889,0.9783,99,277,0.2633,17.0000,0.6512,376
64,15,0,PROPOSED,2.4977,0.7332,0.9764,0.4093,144,131,0.5236,30.0000,0.8515,275
64,15,0,RDP,3.4582,0.7907,0.5034,0.9711,37,238,0.1345,275.0000,2.4073,275
64,15,1,PROPOSED,1.8282,0.6911,0.9707,0.3542,144,132,0.5217,22.0000,0.8190,276
64,15,1,RDP,3.3672,0.7863,0.5065,0.9711,38,238,0.1377,275.0000,2.3980,276
64,15,2,PROPOSED,1.9363,0.6919,0.9662,0.3592,145,131,0.5254,22.0000,0.8153,276
64,15,2,RDP,3.3672,0.7863,0.5065,0.9711,38,238,0.1377,275.0000,2.3980,276
64,15,3,PROPOSED,2.2664,0.7161,0.9743,0.3980,146,131,0.5271,30.0000,0.8599,277
64,15,3,RDP,3.8026,0.8103,0.5467,0.9711,39,238,0.1408,275.0000,2.3942,277
64,15,4,PROPOSED,1.9952,0.7012,0.9598,0.3739,145,132,0.5235,26.0000,0.8206,277
64,15,4,RDP,3.8026,0.8103,0.5467,0.9711,39,238,0.1408,275.0000,2.3942,277
128,3,0,PROPOSED,21.1472,0.9975,0.9999,0.9957,535,509,0.5125,9.0000,0.6360,1044
128,3,0,RDP,28.5947,0.9995,0.9996,0.9997,221,823,0.2117,8.0000,0.9038,1044
128,3,1,PROPOSED,20.9131,0.9975,0.9999,0.9955,531,502,0.5140,11.0000,0.6296,1033
128,3,1,RDP,28.4404,0.9995,0.9996,0.9997,221,812,0.2139,8.0000,0.8963,1033
128,3,2,PROPOSED,20.9302,0.9975,0.9999,0.9956,528,502,0.5126,9.0000,0.6337,1030
128,3,2,RDP,28.3993,0.9995,0.9996,0.9996,221,809,0.2146,8.0000,0.8943,1030
128,3,3,PROPOSED,20.8871,0.9975,0.9999,0.9956,528,503,0.5121,10.0000,0.6328,1031
128,3,3,RDP,28.4129,0.9995,0.9996,0.9996,221,810,0.2144,8.0000,0.8950,1031
128,3,4,PROPOSED,21.1143,0.9974,0.9999,0.9954,533,511,0.5105,11.0000,0.6306,1044
128,3,4,RDP,28.5947,0.9995,0.9996,0.9997,221,823,0.2117,8.0000,0.9038,1044
128,5,0,PROPOSED,15.4259,0.9920,0.9992,0.9875,365,349,0.5112,12.0000,0.6629,714
128,5,0,RDP,19.6666,0.9964,0.9977,0.9955,154,560,0.2157,10.0000,0.8684,714
128,5,1,PROPOSED,15.5277,0.9920,0.9993,0.9869,361,350,0.5077,15.0000,0.6803,711
128,5,1,RDP,19.4919,0.9964,0.9975,0.9955,151,560,0.2124,10.0000,0.8715,711
128,5,2,PROPOSED,15.5194,0.9921,0.9992,0.9874,361,349,0.5085,15.0000,0.6811,710
128,5,2,RDP,19.4352,0.9964,0.9974,0.9955,150,560,0.2113,10.0000,0.8725,710
128,5,3,PROPOSED,15.3720,0.9916,0.9994,0.9867,365,347,0.5126,15.0000,0.6530,712
128,5,3,RDP,19.5494,0.9964,0.9976,0.9955,152,560,0.2135,10.0000,0.8705,712
128,5,4,PROPOSED,15.4790,0.9921,0.9993,0.9873,361,350,0.5077,14.0000,0.6772,711
128,5,4,RDP,19.4919,0.9964,0.9975,0.9955,151,560,0.2124,10.0000,0.8715,711
128,8,0,PROPOSED,10.5654,0.9743,0.9974,0.9522,262,251,0.5107,17.0000,0.6833,513
128,8,0,RDP,14.8791,0.9903,0.9889,0.9912,99,414,0.1930,17.0000,0.9129,513
128,8,1,PROPOSED,10.5786,0.9750,0.9973,0.9548,261,250,0.5108,16.0000,0.6923,511
128,8,1,RDP,14.8642,0.9903,0.9889,0.9912,99,412,0.1937,17.0000,0.9098,511
128,8,2,PROPOSED,10.7964,0.9765,0.9974,0.9543,262,248,0.5137,16.0000,0.6691,510
128,8,2,RDP,14.8568,0.9903,0.9889,0.9911,99,411,0.1941,17.0000,0.9083,510
128,8,3,PROPOSED,11.0798,0.9796,0.9967,0.9626,259,251,0.5078,16.0000,0.6888,510
128,8,3,RDP,14.8568,0.9903,0.9889,0.9911,99,411,0.1941,17.0000,0.9083,510
128,8,4,PROPOSED,10.7006,0.9764,0.9973,0.9542,261,250,0.5108,16.0000,0.6966,511
128,8,4,RDP,14.8642,0.9903,0.9889,0.9912,99,412,0.1937,17.0000,0.9098,511
128,10,0,PROPOSED,6.0298,0.9082,0.9953,0.7789,224,216,0.5091,20.0000,0.7038,440
128,10,0,RDP,13.6887,0.9877,0.9889,0.9837,99,341,0.2250,17.0000,0.7875,440
128,10,1,PROPOSED,7.5549,0.9404,0.9950,0.8678,223,216,0.5080,20.0000,0.7141,439
128,10,1,RDP,13.6728,0.9876,0.9889,0.9837,99,340,0.2255,17.0000,0.7855,439
128,10,2,PROPOSED,7.0389,0.9289,0.9942,0.8390,223,218,0.5057,20.0000,0.7328,441
128,10,2,RDP,13.7047,0.9877,0.9889,0.9838,99,342,0.2245,17.0000,0.7894,441
128,10,3,PROPOSED,6.9585,0.9328,0.9941,0.8342,224,216,0.5091,20.0000,0.7192,440
128,10,3,RDP,13.6887,0.9877,0.9889,0.9837,99,341,0.2250,17.0000,0.7875,440
128,10,4,PROPOSED,6.4446,0.9154,0.9955,0.8080,224,215,0.5103,20.0000,0.7262,439
128,10,4,RDP,13.6728,0.9876,0.9889,0.9837,99,340,0.2255,17.0000,0.7855,439
128,15,0,PROPOSED,4.2156,0.8508,0.9887,0.6432,165,179,0.4797,27.0000,0.8630,344
128,15,0,RDP,12.4717,0.9832,0.9889,0.9739,99,245,0.2878,17.0000,0.5673,344
128,15,1,PROPOSED,4.2048,0.8492,0.9883,0.6320,172,178,0.4914,26.0000,0.8266,350
128,15,1,RDP,12.5361,0.9838,0.9889,0.9751,99,251,0.2829,17.0000,0.5842,350
128,15,2,PROPOSED,4.0291,0.8445,0.9893,0.6266,169,176,0.4899,26.0000,0.8423,345
128,15,2,RDP,12.4940,0.9834,0.9889,0.9740,99,246,0.2870,17.0000,0.5702,345
128,15,3,PROPOSED,4.1652,0.8521,0.9891,0.6337,168,174,0.4912,30.0000,0.8551,342
128,15,3,RDP,12.4505,0.9830,0.9889,0.9733,99,243,0.2895,17.0000,0.5615,342
128,15,4,PROPOSED,4.0852,0.8490,0.9888,0.6215,169,175,0.4913,27.0000,0.8698,344
128,15,4,RDP,12.4717,0.9832,0.9889,0.9739,99,245,0.2878,17.0000,0.5673,344
256,3,0,PROPOSED,22.6963,0.9981,0.9999,0.9963,600,560,0.5172,11.0000,0.6962,1160
256,3,0,RDP,31.9841,0.9998,0.9998,0.9999,279,881,0.2405,8.0000,0.9224,1160
256,3,1,PROPOSED,22.4922,0.9981,0.9999,0.9966,600,561,0.5168,11.0000,0.7021,1161
256,3,1,RDP,32.0397,0.9998,0.9998,0.9999,280,881,0.2412,8.0000,0.9220,1161
256,3,2,PROPOSED,22.7056,0.9982,0.9999,0.9965,600,561,0.5168,9.0000,0.6888,1161
256,3,2,RDP,32.0397,0.9998,0.9998,0.9999,280,881,0.2412,8.0000,0.9220,1161
256,3,3,PROPOSED,22.8369,0.9982,0.9999,0.9964,600,563,0.5159,10.0000,0.6906,1163
256,3,3,RDP,32.1531,0.9998,0.9998,0.9999,282,881,0.2425,8.0000,0.9212,1163
256,3,4,PROPOSED,22.7305,0.9981,0.9999,0.9964,598,562,0.5155,11.0000,0.6975,1160
256,3,4,RDP,31.9841,0.9998,0.9998,0.9999,279,881,0.2405,8.0000,0.9224,1160
256,5,0,PROPOSED,18.2106,0.9954,0.9995,0.9927,424,422,0.5012,13.0000,0.7245,846
256,5,0,RDP,24.6594,0.9989,0.9990,0.9988,181,665,0.2139,10.0000,0.9220,846
256,5,1,PROPOSED,18.0428,0.9954,0.9996,0.9923,423,420,0.5018,10.0000,0.7092,843
256,5,1,RDP,24.6134,0.9988,0.9990,0.9988,181,662,0.2147,10.0000,0.9198,843
256,5,2,PROPOSED,18.1247,0.9954,0.9995,0.9923,420,423,0.4982,12.0000,0.7178,843
256,5,2,RDP,24.6134,0.9988,0.9990,0.9988,181,662,0.2147,10.0000,0.9198,843
256,5,3,PROPOSED,18.1261,0.9953,0.9994,0.9922,421,421,0.5000,12.0000,0.7265,842
256,5,3,RDP,24.5982,0.9988,0.9990,0.9988,181,661,0.2150,10.0000,0.9191,842
256,5,4,PROPOSED,18.1519,0.9952,0.9996,0.9920,424,420,0.5024,11.0000,0.7149,844
256,5,4,RDP,24.6287,0.9988,0.9990,0.9988,181,663,0.2145,10.0000,0.9205,844
256,8,0,PROPOSED,14.8941,0.9910,0.9974,0.9853,304,336,0.4750,17.0000,0.7698,640
256,8,0,RDP,18.2797,0.9954,0.9968,0.9942,141,499,0.2203,10.0000,0.8189,640
256,8,1,PROPOSED,14.9722,0.9911,0.9975,0.9858,305,335,0.4766,17.0000,0.7694,640
256,8,1,RDP,18.2797,0.9954,0.9968,0.9942,141,499,0.2203,10.0000,0.8189,640
256,8,2,PROPOSED,15.1367,0.9911,0.9983,0.9853,315,335,0.4846,16.0000,0.7483,650
256,8,2,RDP,18.3815,0.9956,0.9968,0.9946,141,509,0.2169,10.0000,0.8298,650
256,8,3,PROPOSED,15.0323,0.9910,0.9981,0.9855,306,334,0.4781,17.0000,0.7658,640
256,8,3,RDP,18.2797,0.9954,0.9968,0.9942,141,499,0.2203,10.0000,0.8189,640
256,8,4,PROPOSED,14.9732,0.9909,0.9980,0.9848,309,331,0.4828,15.0000,0.7384,640
256,8,4,RDP,18.2797,0.9954,0.9968,0.9942,141,499,0.2203,10.0000,0.8189,640
256,10,0,PROPOSED,13.9879,0.9893,0.9962,0.9831,267,301,0.4701,16.0000,0.7387,568
256,10,0,RDP,15.3095,0.9908,0.9889,0.9934,99,469,0.1743,17.0000,0.9917,568
256,10,1,PROPOSED,14.1071,0.9898,0.9967,0.9835,269,300,0.4728,16.0000,0.7191,569
256,10,1,RDP,15.3178,0.9908,0.9889,0.9934,99,470,0.1740,17.0000,0.9931,569
256,10,2,PROPOSED,14.0676,0.9900,0.9964,0.9839,262,304,0.4629,17.0000,0.7586,566
256,10,2,RDP,15.2931,0.9908,0.9889,0.9935,99,467,0.1749,17.0000,0.9890,566
256,10,3,PROPOSED,14.0301,0.9898,0.9967,0.9836,266,302,0.4683,19.0000,0.7459,568
256,10,3,RDP,15.3095,0.9908,0.9889,0.9934,99,469,0.1743,17.0000,0.9917,568
256,10,4,PROPOSED,14.1365,0.9892,0.9962,0.9816,264,306,0.4632,17.0000,0.7641,570
256,10,4,RDP,15.3260,0.9908,0.9889,0.9935,99,471,0.1737,17.0000,0.9944,570
256,15,0,PROPOSED,13.0075,0.9885,0.9936,0.9804,205,267,0.4343,18.0000,0.7417,472
256,15,0,RDP,14.2318,0.9891,0.9889,0.9877,99,373,0.2097,17.0000,0.8459,472
256,15,1,PROPOSED,13.0290,0.9881,0.9936,0.9814,202,268,0.4298,19.0000,0.7567,470
256,15,1,RDP,14.1958,0.9890,0.9889,0.9872,99,371,0.2106,17.0000,0.8424,470
256,15,2,PROPOSED,13.0919,0.9878,0.9948,0.9806,207,265,0.4386,18.0000,0.7264,472
256,15,2,RDP,14.2318,0.9891,0.9889,0.9877,99,373,0.2097,17.0000,0.8459,472
256,15,3,PROPOSED,12.9895,0.9875,0.9942,0.9803,210,263,0.4440,17.0000,0.7026,473
256,15,3,RDP,14.2500,0.9891,0.9889,0.9878,99,374,0.2093,17.0000,0.8476,473
256,15,4,PROPOSED,13.0755,0.9882,0.9936,0.9809,202,269,0.4289,18.0000,0.7770,471
256,15,4,RDP,14.2138,0.9890,0.9889,0.9874,99,372,0.2102,17.0000,0.8442,471
512,3,0,PROPOSED,28.8045,0.9996,0.9999,0.9992,740,697,0.5150,8.0000,0.6126,1437
512,3,0,RDP,41.6039,1.0000,1.0000,1.0000,476,961,0.3312,4.0000,0.5002,1437
512,3,1,PROPOSED,29.0858,0.9996,0.9999,0.9992,750,702,0.5165,8.0000,0.6005,1452
512,3,1,RDP,41.8990,1.0000,1.0000,1.0000,491,961,0.3382,4.0000,0.5024,1452
512,3,2,PROPOSED,28.7619,0.9995,0.9999,0.9992,731,696,0.5123,8.0000,0.6245,1427
512,3,2,RDP,41.4177,1.0000,1.0000,1.0000,466,961,0.3266,4.0000,0.4986,1427
512,3,3,PROPOSED,28.7658,0.9995,0.9999,0.9992,732,695,0.5130,8.0000,0.6250,1427
512,3,3,RDP,41.4177,1.0000,1.0000,1.0000,466,961,0.3266,4.0000,0.4986,1427
512,3,4,PROPOSED,28.7950,0.9996,0.9999,0.9992,733,697,0.5126,8.0000,0.6239,1430
512,3,4,RDP,41.4727,1.0000,1.0000,1.0000,469,961,0.3280,4.0000,0.4991,1430
512,5,0,PROPOSED,23.5950,0.9986,0.9997,0.9974,513,590,0.4651,10.0000,0.7833,1103
512,5,0,RDP,29.5465,0.9996,0.9996,0.9999,222,881,0.2013,8.0000,0.9410,1103
512,5,1,PROPOSED,23.6984,0.9987,0.9997,0.9976,513,593,0.4638,10.0000,0.7907,1106
512,5,1,RDP,29.6475,0.9996,0.9996,0.9999,225,881,0.2034,8.0000,0.9402,1106
512,5,2,PROPOSED,23.7746,0.9987,0.9997,0.9976,519,593,0.4667,11.0000,0.7910,1112
512,5,2,RDP,29.8569,0.9997,0.9996,0.9999,231,881,0.2077,8.0000,0.9385,1112
512,5,3,PROPOSED,23.6174,0.9987,0.9997,0.9975,513,591,0.4647,10.0000,0.7821,1104
512,5,3,RDP,29.5799,0.9996,0.9996,0.9999,223,881,0.2020,8.0000,0.9407,1104
512,5,4,PROPOSED,23.6019,0.9987,0.9997,0.9975,516,592,0.4657,10.0000,0.7957,1108
512,5,4,RDP,29.7162,0.9996,0.9996,0.9999,227,881,0.2049,8.0000,0.9397,1108
512,8,0,PROPOSED,20.6137,0.9973,0.9992,0.9950,382,519,0.4240,12.0000,0.8257,901
512,8,0,RDP,25.6033,0.9990,0.9990,0.9992,181,720,0.2009,10.0000,0.9597,901
512,8,1,PROPOSED,20.6640,0.9973,0.9993,0.9951,381,518,0.4238,11.0000,0.8234,899
512,8,1,RDP,25.5651,0.9990,0.9990,0.9993,181,718,0.2013,10.0000,0.9584,899
512,8,2,PROPOSED,20.6365,0.9973,0.9992,0.9952,379,519,0.4220,16.0000,0.8364,898
512,8,2,RDP,25.5461,0.9990,0.9990,0.9993,181,717,0.2016,10.0000,0.9577,898
512,8,3,PROPOSED,20.6677,0.9973,0.9992,0.9951,380,519,0.4227,16.0000,0.8372,899
512,8,3,RDP,25.5651,0.9990,0.9990,0.9993,181,718,0.2013,10.0000,0.9584,899
512,8,4,PROPOSED,20.6335,0.9973,0.9992,0.9952,380,519,0.4227,16.0000,0.8359,899
512,8,4,RDP,25.5651,0.9990,0.9990,0.9993,181,718,0.2013,10.0000,0.9584,899
512,10,0,PROPOSED,19.3743,0.9966,0.9981,0.9946,330,497,0.3990,17.0000,0.8659,827
512,10,0,RDP,24.3758,0.9987,0.9990,0.9985,181,646,0.2189,10.0000,0.9078,827
512,10,1,PROPOSED,19.6657,0.9967,0.9986,0.9944,332,494,0.4019,17.0000,0.8560,826
512,10,1,RDP,24.3614,0.9987,0.9990,0.9985,181,645,0.2191,10.0000,0.9071,826
512,10,2,PROPOSED,19.4258,0.9967,0.9984,0.9945,329,497,0.3983,17.0000,0.8772,826
512,10,2,RDP,24.3614,0.9987,0.9990,0.9985,181,645,0.2191,10.0000,0.9071,826
512,10,3,PROPOSED,19.6026,0.9966,0.9983,0.9941,331,496,0.4002,17.0000,0.8635,827
512,10,3,RDP,24.3758,0.9987,0.9990,0.9985,181,646,0.2189,10.0000,0.9078,827
512,10,4,PROPOSED,19.4460,0.9967,0.9984,0.9946,328,497,0.3976,17.0000,0.8772,825
512,10,4,RDP,24.3470,0.9987,0.9990,0.9984,181,644,0.2194,10.0000,0.9063,825
512,15,0,PROPOSED,17.7967,0.9954,0.9963,0.9938,255,471,0.3512,17.0000,0.9043,726
512,15,0,RDP,20.4456,0.9971,0.9983,0.9955,166,560,0.2287,10.0000,0.8552,726
512,15,1,PROPOSED,17.9087,0.9955,0.9968,0.9939,255,471,0.3512,17.0000,0.9015,726
512,15,1,RDP,20.4456,0.9971,0.9983,0.9955,166,560,0.2287,10.0000,0.8552,726
512,15,2,PROPOSED,17.9962,0.9957,0.9969,0.9939,258,471,0.3539,17.0000,0.8994,729
512,15,2,RDP,20.6643,0.9972,0.9985,0.9955,169,560,0.2318,10.0000,0.8517,729
512,15,3,PROPOSED,17.8156,0.9955,0.9965,0.9940,254,472,0.3499,17.0000,0.9123,726
512,15,3,RDP,20.4456,0.9971,0.9983,0.9955,166,560,0.2287,10.0000,0.8552,726
512,15,4,PROPOSED,17.7363,0.9954,0.9963,0.9939,256,468,0.3536,16.0000,0.8841,724
512,15,4,RDP,20.3056,0.9970,0.9982,0.9955,164,560,0.2265,10.0000,0.8575,724
