spike_amp,overload,trial,method,snr_db,spec_corr_global,spec_corr_seg1,spec_corr_seg2,n_seg1,n_seg2,frac_seg1,max_gap,n_surviving
0,5,0,PROPOSED,17.9658,0.9950,0.9996,0.9916,426,416,0.5059,11.0000,842
0.0000,5,0,RDP,24.5982,0.9988,0.9990,0.9988,181,661,0.2150,10.0000,842
0.0000,5,1,PROPOSED,18.1317,0.9952,0.9996,0.9920,423,419,0.5024,12.0000,842
0.0000,5,1,RDP,24.5982,0.9988,0.9990,0.9988,181,661,0.2150,10.0000,842
0.0000,5,2,PROPOSED,18.1176,0.9952,0.9996,0.9921,426,419,0.5041,11.0000,845
0.0000,5,2,RDP,24.6440,0.9989,0.9990,0.9988,181,664,0.2142,10.0000,845
0.0000,5,3,PROPOSED,18.0704,0.9951,0.9997,0.9916,428,417,0.5065,11.0000,845
0.0000,5,3,RDP,24.6440,0.9989,0.9990,0.9988,181,664,0.2142,10.0000,845
0.0000,5,4,PROPOSED,18.1084,0.9953,0.9995,0.9921,422,418,0.5024,12.0000,840
0.0000,5,4,RDP,24.5679,0.9988,0.9990,0.9987,181,659,0.2155,10.0000,840
0.0000,8,0,PROPOSED,14.9005,0.9911,0.9975,0.9850,308,333,0.4805,17.0000,641
0.0000,8,0,RDP,18.3021,0.9954,0.9968,0.9942,141,500,0.2200,10.0000,641
0.0000,8,1,PROPOSED,14.9886,0.9910,0.9976,0.9857,306,334,0.4781,16.0000,640
0.0000,8,1,RDP,18.2797,0.9954,0.9968,0.9942,141,499,0.2203,10.0000,640
0.0000,8,2,PROPOSED,14.9231,0.9908,0.9981,0.9847,309,331,0.4828,15.0000,640
0.0000,8,2,RDP,18.2797,0.9954,0.9968,0.9942,141,499,0.2203,10.0000,640
0.0000,8,3,PROPOSED,14.9512,0.9910,0.9978,0.9850,305,334,0.4773,16.0000,639
0.0000,8,3,RDP,18.2819,0.9954,0.9968,0.9941,141,498,0.2207,10.0000,639
0.0000,8,4,PROPOSED,15.0294,0.9911,0.9983,0.9849,308,334,0.4798,16.0000,642
0.0000,8,4,RDP,18.2999,0.9954,0.9968,0.9943,141,501,0.2196,10.0000,642
0.0000,10,0,PROPOSED,14.1354,0.9899,0.9968,0.9837,266,303,0.4675,19.0000,569
0.0000,10,0,RDP,15.3178,0.9908,0.9889,0.9934,99,470,0.1740,17.0000,569
0.0000,10,1,PROPOSED,14.0981,0.9895,0.9962,0.9829,263,305,0.4630,17.0000,568
0.0000,10,1,RDP,15.3095,0.9908,0.9889,0.9934,99,469,0.1743,17.0000,568
0.0000,10,2,PROPOSED,14.2314,0.9898,0.9973,0.9828,266,303,0.4675,17.0000,569
0.0000,10,2,RDP,15.3178,0.9908,0.9889,0.9934,99,470,0.1740,17.0000,569
0.0000,10,3,PROPOSED,14.2276,0.9900,0.9973,0.9835,266,301,0.4691,19.0000,567
0.0000,10,3,RDP,15.3013,0.9908,0.9889,0.9935,99,468,0.1746,17.0000,567
0.0000,10,4,PROPOSED,14.1658,0.9899,0.9970,0.9835,268,300,0.4718,19.0000,568
0.0000,10,4,RDP,15.3095,0.9908,0.9889,0.9934,99,469,0.1743,17.0000,568
0.0000,15,0,PROPOSED,12.9417,0.9880,0.9938,0.9804,206,264,0.4383,19.0000,470
0.0000,15,0,RDP,14.1958,0.9890,0.9889,0.9872,99,371,0.2106,17.0000,470
0.0000,15,1,PROPOSED,12.9500,0.9884,0.9933,0.9823,202,268,0.4298,18.0000,470
0.0000,15,1,RDP,14.1958,0.9890,0.9889,0.9872,99,371,0.2106,17.0000,470
0.0000,15,2,PROPOSED,12.8982,0.9881,0.9929,0.9809,200,267,0.4283,18.0000,467
0.0000,15,2,RDP,14.1424,0.9887,0.9889,0.9866,99,368,0.2120,17.0000,467
0.0000,15,3,PROPOSED,12.9399,0.9872,0.9929,0.9803,203,266,0.4328,18.0000,469
0.0000,15,3,RDP,14.1779,0.9889,0.9889,0.9869,99,370,0.2111,17.0000,469
0.0000,15,4,PROPOSED,12.8562,0.9872,0.9929,0.9795,205,264,0.4371,19.0000,469
0.0000,15,4,RDP,14.1779,0.9889,0.9889,0.9869,99,370,0.2111,17.0000,469
1.0000,5,0,PROPOSED,18.1459,0.9954,0.9995,0.9921,421,420,0.5006,15.0000,841
