buf_size,overload,trial,method,snr_db,spec_corr_global,sc_q1,sc_q2,sc_q3,sc_q4,n_q1,n_q2,n_q3,n_q4,max_gap,n_surviving
64,3,0,PROPOSED,16.6681,0.9920,0.9998,0.9986,0.9948,0.9885,275,240,229,234,5.0000,978
64,3,0,RDP,20.2909,0.9969,0.9984,0.9979,0.9987,0.9987,107,190,304,377,18.0000,978
64,3,1,PROPOSED,16.4694,0.9916,0.9998,0.9984,0.9952,0.9873,272,236,227,231,5.0000,966
64,3,1,RDP,19.9293,0.9966,0.9980,0.9979,0.9986,0.9986,104,188,300,374,18.0000,966
64,3,2,PROPOSED,16.4400,0.9916,0.9998,0.9985,0.9949,0.9869,275,237,229,230,5.0000,971
64,3,2,RDP,20.1110,0.9967,0.9982,0.9979,0.9986,0.9986,106,189,301,375,18.0000,971
64,3,3,PROPOSED,16.5669,0.9917,0.9998,0.9985,0.9948,0.9881,277,241,231,231,5.0000,980
64,3,3,RDP,20.3437,0.9970,0.9984,0.9979,0.9987,0.9986,108,190,304,378,18.0000,980
64,3,4,PROPOSED,16.4239,0.9915,0.9998,0.9985,0.9950,0.9875,273,238,226,230,5.0000,967
64,3,4,RDP,19.9494,0.9966,0.9980,0.9979,0.9986,0.9986,104,188,301,374,18.0000,967
64,5,0,PROPOSED,8.5668,0.9233,0.9992,0.9951,0.9877,0.7970,201,153,145,150,9.0000,649
64,5,0,RDP,13.8638,0.9863,0.9923,0.9916,0.9924,0.9931,56,136,182,275,21.0000,649
64,5,1,PROPOSED,8.5455,0.9245,0.9993,0.9948,0.9873,0.7970,203,150,147,150,9.0000,650
64,5,1,RDP,13.8813,0.9863,0.9923,0.9916,0.9925,0.9931,56,136,183,275,21.0000,650
64,5,2,PROPOSED,8.2250,0.9227,0.9994,0.9944,0.9863,0.7719,202,149,148,149,10.0000,648
64,5,2,RDP,13.8631,0.9862,0.9923,0.9916,0.9924,0.9931,56,136,181,275,21.0000,648
64,5,3,PROPOSED,8.6098,0.9241,0.9993,0.9953,0.9874,0.8025,202,149,148,150,9.0000,649
64,5,3,RDP,13.8638,0.9863,0.9923,0.9916,0.9924,0.9931,56,136,182,275,21.0000,649
64,5,4,PROPOSED,8.3950,0.9233,0.9993,0.9932,0.9874,0.7859,204,151,149,150,9.0000,654
64,5,4,RDP,13.9621,0.9866,0.9923,0.9920,0.9927,0.9932,56,138,184,276,21.0000,654
64,8,0,PROPOSED,3.4309,0.7401,0.9981,0.9896,0.5631,0.3102,147,105,97,99,23.0000,448
64,8,0,RDP,10.0662,0.9678,0.9856,0.9778,0.9896,0.9799,43,95,132,178,21.0000,448
64,8,1,PROPOSED,3.5116,0.7494,0.9981,0.9888,0.5840,0.2739,148,103,96,99,19.0000,446
64,8,1,RDP,10.0336,0.9676,0.9856,0.9766,0.9896,0.9799,43,93,132,178,21.0000,446
64,8,2,PROPOSED,3.6767,0.7653,0.9979,0.9871,0.6406,0.3083,148,103,98,99,23.0000,448
64,8,2,RDP,10.0662,0.9678,0.9856,0.9778,0.9896,0.9799,43,95,132,178,21.0000,448
64,8,3,PROPOSED,3.4247,0.7482,0.9972,0.9876,0.6065,0.2929,145,106,98,98,21.0000,447
64,8,3,RDP,10.0306,0.9677,0.9856,0.9757,0.9896,0.9799,43,94,132,178,21.0000,447
64,8,4,PROPOSED,3.4185,0.7422,0.9978,0.9902,0.5947,0.3058,148,103,94,102,23.0000,447
64,8,4,RDP,10.0306,0.9677,0.9856,0.9757,0.9896,0.9799,43,94,132,178,21.0000,447
64,10,0,PROPOSED,2.1697,0.6721,0.9966,0.9637,0.3138,0.1476,128,90,75,83,23.0000,376
64,10,0,RDP,3.2637,0.7712,0.6627,0.5694,0.9896,0.8707,31,57,132,156,158.0000,376
64,10,1,PROPOSED,2.1911,0.6669,0.9969,0.9133,0.3534,0.1554,128,88,78,83,27.0000,377
64,10,1,RDP,3.4039,0.7850,0.6627,0.6167,0.9896,0.8707,31,58,132,156,158.0000,377
