signal,overload,trial,method,snr_db,spec_corr_global,max_gap,n_surviving,is_stationary
stationary_f03,3,0,PROPOSED,39.8003,1.0000,5.0000,1173,1
stationary_f03,3,0,RDP,41.2913,1.0000,4.0000,1173,1
stationary_f03,3,1,PROPOSED,39.6271,1.0000,5.0000,1161,1
stationary_f03,3,1,RDP,41.1353,1.0000,4.0000,1161,1
stationary_f03,3,2,PROPOSED,39.6067,1.0000,5.0000,1160,1
stationary_f03,3,2,RDP,41.1193,1.0000,4.0000,1160,1
stationary_f03,3,3,PROPOSED,39.5252,1.0000,5.0000,1157,1
stationary_f03,3,3,RDP,41.0717,1.0000,4.0000,1157,1
stationary_f03,3,4,PROPOSED,39.6604,1.0000,5.0000,1163,1
stationary_f03,3,4,RDP,41.1625,1.0000,4.0000,1163,1
stationary_f03,5,0,PROPOSED,32.9604,0.9999,9.0000,844,1
stationary_f03,5,0,RDP,35.8569,0.9999,6.0000,844,1
stationary_f03,5,1,PROPOSED,32.9300,0.9999,8.0000,843,1
stationary_f03,5,1,RDP,35.8326,0.9999,6.0000,843,1
stationary_f03,5,2,PROPOSED,33.1538,0.9999,8.0000,843,1
stationary_f03,5,2,RDP,35.8326,0.9999,6.0000,843,1
stationary_f03,5,3,PROPOSED,32.9263,0.9999,9.0000,847,1
stationary_f03,5,3,RDP,35.9307,0.9999,6.0000,847,1
stationary_f03,5,4,PROPOSED,32.9105,0.9999,9.0000,840,1
stationary_f03,5,4,RDP,35.7604,0.9999,6.0000,840,1
stationary_f03,8,0,PROPOSED,26.9029,0.9996,11.0000,641,1
stationary_f03,8,0,RDP,31.9764,0.9998,8.0000,641,1
stationary_f03,8,1,PROPOSED,26.8369,0.9996,11.0000,639,1
stationary_f03,8,1,RDP,31.9440,0.9998,8.0000,639,1
stationary_f03,8,2,PROPOSED,26.8188,0.9997,11.0000,641,1
stationary_f03,8,2,RDP,31.9764,0.9998,8.0000,641,1
stationary_f03,8,3,PROPOSED,27.0429,0.9997,11.0000,641,1
stationary_f03,8,3,RDP,31.9764,0.9998,8.0000,641,1
stationary_f03,8,4,PROPOSED,26.8850,0.9997,11.0000,642,1
stationary_f03,8,4,RDP,31.9927,0.9998,8.0000,642,1
stationary_f03,10,0,PROPOSED,25.2625,0.9995,13.0000,569,1
stationary_f03,10,0,RDP,30.0333,0.9998,8.0000,569,1
stationary_f03,10,1,PROPOSED,25.2518,0.9995,12.0000,570,1
stationary_f03,10,1,RDP,30.0687,0.9998,8.0000,570,1
stationary_f03,10,2,PROPOSED,25.2986,0.9995,13.0000,568,1
stationary_f03,10,2,RDP,29.9981,0.9998,8.0000,568,1
stationary_f03,10,3,PROPOSED,25.4275,0.9995,13.0000,569,1
stationary_f03,10,3,RDP,30.0333,0.9998,8.0000,569,1
stationary_f03,10,4,PROPOSED,25.2167,0.9995,13.0000,570,1
stationary_f03,10,4,RDP,30.0687,0.9998,8.0000,570,1
stationary_f03,15,0,PROPOSED,22.4983,0.9990,15.0000,467,1
stationary_f03,15,0,RDP,27.3544,0.9997,8.0000,467,1
stationary_f03,15,1,PROPOSED,22.8204,0.9991,14.0000,468,1
stationary_f03,15,1,RDP,27.3745,0.9997,8.0000,468,1
stationary_f03,15,2,PROPOSED,22.1513,0.9989,14.0000,463,1
stationary_f03,15,2,RDP,27.2747,0.9997,8.0000,463,1
stationary_f03,15,3,PROPOSED,22.7634,0.9989,14.0000,468,1
stationary_f03,15,3,RDP,27.3745,0.9997,8.0000,468,1
stationary_f03,15,4,PROPOSED,22.7466,0.9990,15.0000,470,1
stationary_f03,15,4,RDP,27.4151,0.9997,8.0000,470,1
stationary_f12,3,0,PROPOSED,18.9901,0.9959,4.0000,1158,1
stationary_f12,3,0,RDP,20.8079,0.9966,3.0000,1158,1
stationary_f12,3,1,PROPOSED,18.9788,0.9960,4.0000,1159,1
stationary_f12,3,1,RDP,20.8281,0.9966,3.0000,1159,1
stationary_f12,3,2,PROPOSED,19.2108,0.9960,4.0000,1163,1
stationary_f12,3,2,RDP,20.9100,0.9967,3.0000,1163,1
stationary_f12,3,3,PROPOSED,19.2505,0.9960,4.0000,1163,1
stationary_f12,3,3,RDP,20.9100,0.9967,3.0000,1163,1
stationary_f12,3,4,PROPOSED,19.1413,0.9959,4.0000,1159,1
