buf_size,overload,trial,method,snr_db,spec_corr_global,sc_seg1,sc_seg2,sc_seg3,sc_seg4,n_seg1,n_seg2,n_seg3,n_seg4,max_gap,n_surviving
128,3,0,PROPOSED,14.8440,0.9912,1.0000,0.9996,0.9954,0.9711,310,248,252,240,9.0000,1050
128,3,0,RDP,31.6627,0.9998,0.9999,0.9995,0.9999,1.0000,99,259,441,251,8.0000,1050
128,3,1,PROPOSED,14.8299,0.9915,1.0000,0.9996,0.9951,0.9736,310,245,248,240,9.0000,1043
128,3,1,RDP,31.4863,0.9998,0.9999,0.9994,0.9999,1.0000,99,252,441,251,8.0000,1043
128,3,2,PROPOSED,14.8310,0.9909,1.0000,0.9996,0.9950,0.9712,308,245,248,240,9.0000,1041
128,3,2,RDP,31.4372,0.9998,0.9999,0.9994,0.9999,1.0000,99,250,441,251,8.0000,1041
128,3,3,PROPOSED,14.9690,0.9912,1.0000,0.9996,0.9948,0.9706,302,244,243,239,9.0000,1028
128,3,3,RDP,31.1214,0.9997,0.9999,0.9994,0.9999,1.0000,99,237,441,251,8.0000,1028
128,3,4,PROPOSED,14.9678,0.9906,1.0000,0.9995,0.9950,0.9687,304,245,244,239,9.0000,1032
128,3,4,RDP,31.2229,0.9997,0.9999,0.9993,0.9999,1.0000,99,241,441,251,8.0000,1032
128,5,0,PROPOSED,6.6571,0.9240,0.9999,0.9981,0.9809,0.6978,218,169,146,184,12.0000,717
128,5,0,RDP,20.5477,0.9975,0.9985,0.9972,0.9954,1.0000,41,159,267,250,16.0000,717
128,5,1,PROPOSED,6.5133,0.9173,0.9999,0.9983,0.9838,0.6669,218,169,149,182,12.0000,718
128,5,1,RDP,20.5856,0.9975,0.9985,0.9972,0.9955,1.0000,41,159,268,250,16.0000,718
128,5,2,PROPOSED,6.2471,0.9196,0.9999,0.9980,0.9825,0.6781,219,167,148,183,14.0000,717
128,5,2,RDP,20.5477,0.9975,0.9985,0.9972,0.9954,1.0000,41,159,267,250,16.0000,717
128,5,3,PROPOSED,6.9900,0.9340,0.9999,0.9979,0.9817,0.7266,216,164,150,182,14.0000,712
128,5,3,RDP,20.4841,0.9974,0.9985,0.9972,0.9952,1.0000,41,159,262,250,16.0000,712
128,5,4,PROPOSED,6.1355,0.9123,0.9999,0.9985,0.9806,0.6594,217,168,146,182,14.0000,713
128,5,4,RDP,20.4804,0.9974,0.9985,0.9972,0.9953,1.0000,41,159,263,250,16.0000,713
128,8,0,PROPOSED,5.0852,0.8613,0.9998,0.9949,0.9784,0.4195,159,115,120,117,14.0000,511
128,8,0,RDP,15.2639,0.9904,0.9983,0.9889,0.9797,1.0000,41,60,160,250,16.0000,511
128,8,1,PROPOSED,4.6691,0.8528,0.9999,0.9949,0.9820,0.3759,164,115,123,114,14.0000,516
128,8,1,RDP,15.4464,0.9909,0.9985,0.9893,0.9822,1.0000,41,61,164,250,16.0000,516
128,8,2,PROPOSED,5.0088,0.8579,0.9998,0.9945,0.9785,0.4161,163,114,121,118,13.0000,516
