alpha,overload,trial,method,snr_db,spec_corr_global,max_gap,n_surviving
0,5,0,PROPOSED,32.8455,0.9999,8.0000,842
0.0000,5,0,RDP,35.8084,0.9999,6.0000,842
0.0000,5,1,PROPOSED,32.8211,0.9999,9.0000,842
0.0000,5,1,RDP,35.8084,0.9999,6.0000,842
0.0000,5,2,PROPOSED,32.9052,0.9999,8.0000,841
0.0000,5,2,RDP,35.7843,0.9999,6.0000,841
0.0000,5,3,PROPOSED,32.8757,0.9999,8.0000,847
0.0000,5,3,RDP,35.9307,0.9999,6.0000,847
0.0000,5,4,PROPOSED,32.9526,0.9999,8.0000,845
0.0000,5,4,RDP,35.8813,0.9999,6.0000,845
0.0000,10,0,PROPOSED,25.5432,0.9995,13.0000,570
0.0000,10,0,RDP,30.0687,0.9998,8.0000,570
0.0000,10,1,PROPOSED,25.0300,0.9995,13.0000,568
0.0000,10,1,RDP,29.9981,0.9998,8.0000,568
0.0000,10,2,PROPOSED,25.3617,0.9995,13.0000,568
0.0000,10,2,RDP,29.9981,0.9998,8.0000,568
0.0000,10,3,PROPOSED,25.4862,0.9995,13.0000,568
0.0000,10,3,RDP,29.9981,0.9998,8.0000,568
0.0000,10,4,PROPOSED,25.3139,0.9995,13.0000,569
0.0000,10,4,RDP,30.0333,0.9998,8.0000,569
0.0000,15,0,PROPOSED,22.4926,0.9990,16.0000,468
0.0000,15,0,RDP,27.3745,0.9997,8.0000,468
0.0000,15,1,PROPOSED,22.1222,0.9988,17.0000,468
0.0000,15,1,RDP,27.3745,0.9997,8.0000,468
0.0000,15,2,PROPOSED,22.4997,0.9989,15.0000,469
0.0000,15,2,RDP,27.3947,0.9997,8.0000,469
0.0000,15,3,PROPOSED,22.1362,0.9988,15.0000,467
0.0000,15,3,RDP,27.3544,0.9997,8.0000,467
0.0000,15,4,PROPOSED,22.2464,0.9989,14.0000,467
0.0000,15,4,RDP,27.3544,0.9997,8.0000,467
0.1000,5,0,PROPOSED,30.3155,0.9999,9.0000,846
0.1000,5,0,RDP,34.3017,0.9999,8.0000,846
0.1000,5,1,PROPOSED,30.3190,0.9999,8.0000,843
0.1000,5,1,RDP,34.2363,0.9999,8.0000,843
0.1000,5,2,PROPOSED,30.5583,0.9999,9.0000,845
0.1000,5,2,RDP,34.2671,0.9999,8.0000,845
0.1000,5,3,PROPOSED,30.2539,0.9999,9.0000,842
0.1000,5,3,RDP,34.2397,0.9999,8.0000,842
0.1000,5,4,PROPOSED,30.1240,0.9999,9.0000,846
0.1000,5,4,RDP,34.3017,0.9999,8.0000,846
0.1000,10,0,PROPOSED,24.3404,0.9995,11.0000,569
0.1000,10,0,RDP,27.3975,0.9997,8.0000,569
0.1000,10,1,PROPOSED,24.9802,0.9995,10.0000,568
0.1000,10,1,RDP,27.3773,0.9997,8.0000,568
0.1000,10,2,PROPOSED,23.9230,0.9994,11.0000,574
0.1000,10,2,RDP,27.5002,0.9997,8.0000,574
0.1000,10,3,PROPOSED,24.6179,0.9995,11.0000,568
0.1000,10,3,RDP,27.3773,0.9997,8.0000,568
0.1000,10,4,PROPOSED,24.8779,0.9995,11.0000,569
0.1000,10,4,RDP,27.3975,0.9997,8.0000,569
0.1000,15,0,PROPOSED,20.6550,0.9985,12.0000,468
0.1000,15,0,RDP,25.5797,0.9995,10.0000,468
0.1000,15,1,PROPOSED,20.9525,0.9987,12.0000,468
0.1000,15,1,RDP,25.5797,0.9995,10.0000,468
0.1000,15,2,PROPOSED,20.5395,0.9985,14.0000,469
0.1000,15,2,RDP,25.6153,0.9995,10.0000,469
0.1000,15,3,PROPOSED,21.1581,0.9988,12.0000,474
0.1000,15,3,RDP,25.7979,0.9995,10.0000,474
0.1000,15,4,PROPOSED,20.9574,0.9987,12.0000,468
0.1000,15,4,RDP,25.5797,0.9995,10.0000,468
0.2000,5,0,PROPOSED,27.7802,0.9997,9.0000,840
0.2000,5,0,RDP,31.9003,0.9998,8.0000,840
0.2000,5,1,PROPOSED,27.8629,0.9997,9.0000,840
0.2000,5,1,RDP,31.9003,0.9998,8.0000,840
0.2000,5,2,PROPOSED,28.0360,0.9997,9.0000,841
0.2000,5,2,RDP,31.9104,0.9998,8.0000,841
0.2000,5,3,PROPOSED,27.8823,0.9997,10.0000,843
0.2000,5,3,RDP,31.9306,0.9998,8.0000,843
