domain,mode,metric,n,mean,std_dev,ci_lo,ci_hi,median
ALL,RDP_OFFLINE,snr_db,785,32.5305,14.5050,31.5158,33.5453,37.2455
ALL,IMP_INTERP_ERROR,snr_db,800,31.2324,14.5365,30.2251,32.2397,35.8331
ALL,IMP_INTERP_COMPOSITE,snr_db,800,31.2270,14.5045,30.2219,32.2321,35.7895
ALL,LTTB_OFFLINE,snr_db,800,25.7117,13.5213,24.7747,26.6487,31.8554
ALL,ADAPTIVE,snr_db,800,23.3713,13.2531,22.4529,24.2897,29.0667
ALL,IMP_ADAPTIVE,snr_db,800,23.1970,12.6877,22.3178,24.0762,29.0865
ALL,IMP_COMPOSITE,snr_db,800,22.7526,12.7563,21.8686,23.6365,28.2375
ALL,DROP_LOW_VARIANCE,snr_db,800,22.2737,13.0445,21.3698,23.1777,26.5354
ALL,IMP_FIRST_ORDER,snr_db,800,22.2496,13.2245,21.3331,23.1660,27.9886
ALL,LEGACY_IMPORTANCE,snr_db,800,22.2172,13.2166,21.3013,23.1330,28.0357
ALL,IMP_WINDOWED_ENERGY,snr_db,800,21.9957,12.5233,21.1279,22.8636,26.7662
ALL,DROP,snr_db,800,20.7081,12.9483,19.8109,21.6054,25.7279
ALL,DROP_MIDDLE,snr_db,800,20.6637,12.9116,19.7690,21.5584,25.8390
ALL,RANDOM_DROP,snr_db,800,15.8912,11.0455,15.1258,16.6566,18.0073
ecg,RDP_OFFLINE,snr_db,485,42.4198,5.7656,41.9067,42.9329,41.5867
ecg,IMP_INTERP_ERROR,snr_db,500,41.1227,5.8666,40.6085,41.6370,40.3215
ecg,IMP_INTERP_COMPOSITE,snr_db,500,41.0800,5.8823,40.5644,41.5956,40.3117
ecg,LTTB_OFFLINE,snr_db,500,35.1837,3.8253,34.8484,35.5190,34.9291
ecg,ADAPTIVE,snr_db,500,32.6713,3.9697,32.3233,33.0193,32.5090
ecg,IMP_ADAPTIVE,snr_db,500,32.3974,3.9023,32.0553,32.7394,32.1474
ecg,IMP_COMPOSITE,snr_db,500,32.0155,4.1407,31.6526,32.3785,31.9258
ecg,IMP_FIRST_ORDER,snr_db,500,31.8732,4.3246,31.4942,32.2523,31.7319
ecg,LEGACY_IMPORTANCE,snr_db,500,31.8439,4.2950,31.4675,32.2204,31.7069
ecg,DROP_LOW_VARIANCE,snr_db,500,31.4547,5.7388,30.9517,31.9577,31.3710
