signal,mode,buffer_size,consumer_delay_us,producer_delay_us,noise_std,trial,drops,max_wait_ms,mse,snr_db,max_error,deriv_ratio,rpeak_accuracy,degenerate,snr_saturated
sine_1hz,DROP,32,200,100,0.0100,0,342,0.0137,5.358374e-05,39.6931,3.596115e-02,0.7087,-1.0000,0,0
sine_1hz,WAIT,32,200,100,0.0100,0,0,0.1585,0.000000e+00,inf,0.000000e+00,1.0000,-1.0000,1,1
sine_1hz,TIMED,32,200,100,0.0100,0,0,0.2160,0.000000e+00,inf,0.000000e+00,1.0000,-1.0000,1,1
sine_1hz,ADAPTIVE,32,200,100,0.0100,0,248,0.1140,4.343921e-05,40.6046,3.729233e-02,0.7746,-1.0000,0,0
sine_1hz,LEGACY_IMPORTANCE,32,200,100,0.0100,0,345,0.0209,3.370942e-05,41.7059,3.286474e-02,0.9030,-1.0000,0,0
sine_1hz,RANDOM_DROP,32,200,100,0.0100,0,349,0.0073,6.120131e-05,39.1158,4.360086e-02,0.7090,-1.0000,0,0
sine_1hz,DROP_MIDDLE,32,200,100,0.0100,0,347,0.0077,5.652092e-05,39.4613,4.360086e-02,0.7064,-1.0000,0,0
sine_1hz,DROP_LOW_VARIANCE,32,200,100,0.0100,0,347,0.0076,2.185338e-05,43.5882,3.285957e-02,0.8305,-1.0000,0,0
sine_1hz,IMP_FIRST_ORDER,32,200,100,0.0100,0,348,0.0132,3.400005e-05,41.6686,3.272540e-02,0.9016,-1.0000,0,0
sine_1hz,IMP_SECOND_ORDER,32,200,100,0.0100,0,348,0.0016,6.081690e-05,39.1432,3.843549e-02,0.6716,-1.0000,0,0
sine_1hz,IMP_WINDOWED_ENERGY,32,200,100,0.0100,0,344,0.0081,3.089167e-05,42.0850,3.750034e-02,0.8450,-1.0000,0,0
sine_1hz,IMP_COMPOSITE,32,200,100,0.0100,0,345,0.0008,3.459107e-05,41.5938,2.476499e-02,0.8552,-1.0000,0,0
sine_1hz,IMP_ADAPTIVE,32,200,100,0.0100,0,346,0.0019,3.495800e-05,41.5480,3.055908e-02,0.8046,-1.0000,0,0
sine_1hz,IMP_INTERP_ERROR,32,200,100,0.0100,0,343,0.0023,5.772306e-06,49.3699,1.157698e-02,0.9645,-1.0000,0,0
sine_1hz,IMP_INTERP_COMPOSITE,32,200,100,0.0100,0,345,0.0026,5.453974e-06,49.6163,1.044545e-02,0.9648,-1.0000,0,0
sine_1hz,RDP_OFFLINE,32,200,100,0.0100,0,343,0.0000,3.850826e-06,51.1279,6.497792e-03,0.9722,-1.0000,0,0
sine_1hz,LTTB_OFFLINE,32,200,100,0.0100,0,343,0.0000,3.121219e-05,42.0402,3.188977e-02,0.8473,-1.0000,0,0
chirp,DROP,32,200,100,0.0100,0,344,0.0005,5.831967e-05,39.1460,3.839378e-02,0.9326,-1.0000,0,0
chirp,WAIT,32,200,100,0.0100,0,0,0.1670,0.000000e+00,inf,0.000000e+00,1.0000,-1.0000,1,1
chirp,TIMED,32,200,100,0.0100,0,0,0.1844,0.000000e+00,inf,0.000000e+00,1.0000,-1.0000,1,1
