signal,mode,buffer_size,consumer_delay_us,producer_delay_us,noise_std,trial,drops,max_wait_ms,mse,snr_db,max_error,deriv_ratio,rpeak_accuracy
sine_1hz,DROP,64,200,100,0.0100,0,309,0.0071,5.210885e-05,39.8143,3.843549e-02,0.7157,-1.0000
sine_1hz,WAIT,64,200,100,0.0100,0,0,0.3196,0.000000e+00,100.0000,0.000000e+00,1.0000,-1.0000
sine_1hz,TIMED,64,200,100,0.0100,0,0,0.1900,0.000000e+00,100.0000,0.000000e+00,1.0000,-1.0000
sine_1hz,ADAPTIVE,64,200,100,0.0100,0,209,0.1886,3.581325e-05,41.4430,4.002054e-02,0.7996,-1.0000
sine_1hz,LEGACY_IMPORTANCE,64,200,100,0.0100,0,311,0.0120,3.252116e-05,41.8618,3.286474e-02,0.9158,-1.0000
sine_1hz,RANDOM_DROP,64,200,100,0.0100,0,310,0.0079,5.935054e-05,39.2492,5.097892e-02,0.7220,-1.0000
sine_1hz,DROP_MIDDLE,64,200,100,0.0100,0,312,0.0075,5.134215e-05,39.8787,4.360086e-02,0.7192,-1.0000
sine_1hz,DROP_LOW_VARIANCE,64,200,100,0.0100,0,314,0.0026,1.850834e-05,44.3098,2.175221e-02,0.8520,-1.0000
sine_1hz,IMP_FIRST_ORDER,64,200,100,0.0100,0,309,0.0094,3.244097e-05,41.8725,3.286474e-02,0.9161,-1.0000
sine_1hz,IMP_SECOND_ORDER,64,200,100,0.0100,0,310,0.0029,5.446504e-05,39.6222,3.770398e-02,0.7050,-1.0000
sine_1hz,IMP_WINDOWED_ENERGY,64,200,100,0.0100,0,306,0.0235,2.402479e-05,43.1768,2.665976e-02,0.8656,-1.0000
sine_1hz,IMP_COMPOSITE,64,200,100,0.0100,0,311,0.0039,3.211690e-05,41.9161,3.055908e-02,0.8758,-1.0000
sine_1hz,IMP_ADAPTIVE,64,200,100,0.0100,0,311,0.0173,3.367460e-05,41.7104,3.272540e-02,0.8338,-1.0000
sine_1hz,IMP_INTERP_ERROR,64,200,100,0.0100,0,310,0.0079,4.202431e-06,50.7484,7.652893e-03,0.9679,-1.0000
sine_1hz,IMP_INTERP_COMPOSITE,64,200,100,0.0100,0,309,0.0040,4.353884e-06,50.5947,8.445240e-03,0.9687,-1.0000
sine_1hz,RDP_OFFLINE,64,200,100,0.0100,0,310,0.0000,2.827630e-06,52.4692,5.610317e-03,0.9778,-1.0000
sine_1hz,LTTB_OFFLINE,64,200,100,0.0100,0,310,0.0000,2.695080e-05,42.6777,3.647838e-02,0.8601,-1.0000
chirp,DROP,64,200,100,0.0100,0,309,0.0075,5.280391e-05,39.5775,3.646754e-02,0.9333,-1.0000
chirp,WAIT,64,200,100,0.0100,0,0,0.2389,0.000000e+00,100.0000,0.000000e+00,1.0000,-1.0000
chirp,TIMED,64,200,100,0.0100,0,0,0.2352,0.000000e+00,100.0000,0.000000e+00,1.0000,-1.0000
chirp,ADAPTIVE,64,200,100,0.0100,0,227,0.1311,3.871639e-05,40.9252,4.043628e-02,0.9540,-1.0000
chirp,LEGACY_IMPORTANCE,64,200,100,0.0100,0,318,0.0017,1.171979e-04,36.1150,7.557655e-02,0.9459,-1.0000
chirp,RANDOM_DROP,64,200,100,0.0100,0,316,0.0075,6.040845e-05,38.9932,4.043628e-02,0.9414,-1.0000
chirp,DROP_MIDDLE,64,200,100,0.0100,0,318,0.0006,5.224644e-05,39.6236,3.646754e-02,0.9313,-1.0000
chirp,DROP_LOW_VARIANCE,64,200,100,0.0100,0,317,0.0008,2.258082e-03,23.2668,2.351745e-01,0.8475,-1.0000
