method,overload,trial,accuracy,n_correct,n_total,avg_snr,avg_spec_corr
UNCOMPRESSED,1,0,0.74,222,300,inf,1.0
PROPOSED,2,0,0.7400,222,300,70.27,1.0000
PROPOSED,2,1,0.7400,222,300,70.19,1.0000
PROPOSED,2,2,0.7400,222,300,70.40,1.0000
PROPOSED,3,0,0.7400,222,300,58.07,1.0000
PROPOSED,3,1,0.7400,222,300,58.06,1.0000
PROPOSED,3,2,0.7400,222,300,58.08,1.0000
PROPOSED,5,0,0.7433,223,300,51.74,1.0000
PROPOSED,5,1,0.7433,223,300,51.74,1.0000
PROPOSED,5,2,0.7433,223,300,51.70,1.0000
PROPOSED,8,0,0.7433,223,300,48.05,1.0000
PROPOSED,8,1,0.7433,223,300,48.07,1.0000
PROPOSED,8,2,0.7400,222,300,48.07,1.0000
PROPOSED,10,0,0.7333,220,300,46.62,1.0000
PROPOSED,10,1,0.7333,220,300,46.60,1.0000
PROPOSED,10,2,0.7367,221,300,46.60,1.0000
PROPOSED,15,0,0.7333,220,300,44.61,0.9999
PROPOSED,15,1,0.7300,219,300,44.62,0.9999
PROPOSED,15,2,0.7267,218,300,44.65,0.9999
PROPOSED,20,0,0.7333,220,300,43.46,0.9999
PROPOSED,20,1,0.7300,219,300,43.43,0.9999
PROPOSED,20,2,0.7367,221,300,43.41,0.9999
RDP,2,0,0.7400,222,300,79.48,1.0000
RDP,3,0,0.7400,222,300,62.70,1.0000
RDP,5,0,0.7400,222,300,54.68,1.0000
RDP,8,0,0.7400,222,300,50.46,1.0000
RDP,10,0,0.7433,223,300,48.88,1.0000
RDP,15,0,0.7467,224,300,46.83,1.0000
RDP,20,0,0.7367,221,300,45.54,0.9999
DROP,2,0,0.4933,148,300,28.55,0.0000
DROP,2,1,0.4933,148,300,28.55,0.0000
DROP,2,2,0.4933,148,300,28.55,0.0000
DROP,3,0,0.3967,119,300,27.18,0.0000
DROP,3,1,0.3967,119,300,27.18,0.0000
DROP,3,2,0.3967,119,300,27.18,0.0000
DROP,5,0,0.2633,79,300,26.52,0.0000
DROP,5,1,0.2633,79,300,26.52,0.0000
DROP,5,2,0.2633,79,300,26.52,0.0000
DROP,8,0,0.2167,65,300,26.15,0.0000
DROP,8,1,0.2167,65,300,26.15,0.0000
DROP,8,2,0.2167,65,300,26.15,0.0000
DROP,10,0,0.1733,52,300,26.07,0.0000
DROP,10,1,0.1733,52,300,26.07,0.0000
DROP,10,2,0.1733,52,300,26.07,0.0000
DROP,15,0,0.1667,50,300,25.62,0.0000
DROP,15,1,0.1667,50,300,25.62,0.0000
DROP,15,2,0.1667,50,300,25.62,0.0000
DROP,20,0,0.1667,50,300,25.81,0.0000
DROP,20,1,0.1667,50,300,25.81,0.0000
DROP,20,2,0.1667,50,300,25.81,0.0000
