signal,domain,n_samples,method,overload,trial,snr_db,spec_corr,n_surviving,n_dropped
ecg_100,ecg,10000,PROPOSED,3,0,45.3522,1.0000,5639,4361
ecg_100,ecg,10000,PROPOSED,3,1,45.2665,1.0000,5599,4401
ecg_100,ecg,10000,PROPOSED,3,2,45.3830,1.0000,5639,4361
ecg_100,ecg,10000,RDP,3,0,45.8803,1.0000,5696,4304
ecg_100,ecg,10000,DROP,3,0,8.6405,0.0000,3333,6667
ecg_100,ecg,10000,PROPOSED,5,0,39.6693,1.0000,3965,6035
ecg_100,ecg,10000,PROPOSED,5,1,39.6020,1.0000,3946,6054
ecg_100,ecg,10000,PROPOSED,5,2,39.5337,1.0000,3916,6084
ecg_100,ecg,10000,RDP,5,0,40.1540,1.0000,3919,6081
ecg_100,ecg,10000,DROP,5,0,6.6819,0.0000,2000,8000
ecg_100,ecg,10000,PROPOSED,10,0,33.4233,0.9999,2311,7689
ecg_100,ecg,10000,PROPOSED,10,1,33.4872,0.9999,2319,7681
ecg_100,ecg,10000,PROPOSED,10,2,33.5029,0.9999,2311,7689
ecg_100,ecg,10000,RDP,10,0,34.0197,0.9999,2314,7686
ecg_100,ecg,10000,DROP,10,0,6.3091,0.0000,1000,9000
ecg_100,ecg,10000,PROPOSED,20,0,30.1942,0.9999,1353,8647
ecg_100,ecg,10000,PROPOSED,20,1,30.2240,0.9999,1353,8647
ecg_100,ecg,10000,PROPOSED,20,2,30.3078,0.9999,1352,8648
ecg_100,ecg,10000,RDP,20,0,30.6503,0.9999,1352,8648
ecg_100,ecg,10000,DROP,20,0,5.1800,0.0000,500,9500
ecg_108,ecg,10000,PROPOSED,3,0,42.2822,1.0000,5604,4396
ecg_108,ecg,10000,PROPOSED,3,1,42.2663,1.0000,5603,4397
ecg_108,ecg,10000,PROPOSED,3,2,42.3195,1.0000,5623,4377
ecg_108,ecg,10000,RDP,3,0,43.0913,1.0000,5643,4357
ecg_108,ecg,10000,DROP,3,0,7.2794,0.0000,3333,6667
ecg_108,ecg,10000,PROPOSED,5,0,36.5830,1.0000,3931,6069
ecg_108,ecg,10000,PROPOSED,5,1,36.5933,1.0000,3916,6084
ecg_108,ecg,10000,PROPOSED,5,2,36.7260,1.0000,3971,6029
ecg_108,ecg,10000,RDP,5,0,37.2379,1.0000,3920,6080
ecg_108,ecg,10000,DROP,5,0,6.4181,0.0000,2000,8000
ecg_108,ecg,10000,PROPOSED,10,0,30.3293,0.9999,2312,7688
ecg_108,ecg,10000,PROPOSED,10,1,30.3000,0.9999,2315,7685
ecg_108,ecg,10000,PROPOSED,10,2,30.2134,0.9999,2306,7694
ecg_108,ecg,10000,RDP,10,0,31.0548,0.9999,2298,7702
ecg_108,ecg,10000,DROP,10,0,6.2195,0.0000,1000,9000
ecg_108,ecg,10000,PROPOSED,20,0,25.9442,0.9996,1356,8644
ecg_108,ecg,10000,PROPOSED,20,1,25.8701,0.9996,1364,8636
ecg_108,ecg,10000,PROPOSED,20,2,26.0263,0.9996,1361,8639
ecg_108,ecg,10000,RDP,20,0,26.8087,0.9997,1359,8641
ecg_108,ecg,10000,DROP,20,0,1.4216,0.0000,500,9500
ecg_228,ecg,10000,PROPOSED,3,0,43.8354,1.0000,5604,4396
ecg_228,ecg,10000,PROPOSED,3,1,43.9695,1.0000,5643,4357
ecg_228,ecg,10000,PROPOSED,3,2,43.8161,1.0000,5595,4405
ecg_228,ecg,10000,RDP,3,0,44.4093,1.0000,5618,4382
ecg_228,ecg,10000,DROP,3,0,4.2603,0.0000,3333,6667
ecg_228,ecg,10000,PROPOSED,5,0,38.3650,1.0000,3952,6048
ecg_228,ecg,10000,PROPOSED,5,1,38.2535,1.0000,3929,6071
ecg_228,ecg,10000,PROPOSED,5,2,38.3188,1.0000,3942,6058
ecg_228,ecg,10000,RDP,5,0,38.8375,1.0000,3931,6069
ecg_228,ecg,10000,DROP,5,0,0.8465,0.0000,2000,8000
ecg_228,ecg,10000,PROPOSED,10,0,31.5914,0.9999,2301,7699
ecg_228,ecg,10000,PROPOSED,10,1,31.7136,0.9999,2313,7687
ecg_228,ecg,10000,PROPOSED,10,2,31.6496,0.9999,2306,7694
ecg_228,ecg,10000,RDP,10,0,32.6633,0.9999,2303,7697
ecg_228,ecg,10000,DROP,10,0,0.4205,0.0000,1000,9000
ecg_228,ecg,10000,PROPOSED,20,0,26.4895,0.9995,1352,8648
ecg_228,ecg,10000,PROPOSED,20,1,26.3602,0.9995,1350,8650
ecg_228,ecg,10000,PROPOSED,20,2,26.5611,0.9995,1347,8653
ecg_228,ecg,10000,RDP,20,0,27.6498,0.9996,1352,8648
ecg_228,ecg,10000,DROP,20,0,-4.7121,0.0000,500,9500
vib_normal,vibration,10000,PROPOSED,3,0,25.8568,0.9994,5639,4361
vib_normal,vibration,10000,PROPOSED,3,1,25.8287,0.9994,5628,4372
vib_normal,vibration,10000,PROPOSED,3,2,25.8878,0.9994,5655,4345
vib_normal,vibration,10000,RDP,3,0,26.4797,0.9995,5642,4358
vib_normal,vibration,10000,DROP,3,0,-0.0974,0.0000,3333,6667
vib_normal,vibration,10000,PROPOSED,5,0,19.7950,0.9975,3926,6074
vib_normal,vibration,10000,PROPOSED,5,1,19.8251,0.9975,3931,6069
vib_normal,vibration,10000,PROPOSED,5,2,19.8507,0.9975,3926,6074
vib_normal,vibration,10000,RDP,5,0,20.6550,0.9979,3918,6082
vib_normal,vibration,10000,DROP,5,0,1.0218,0.0000,2000,8000
vib_normal,vibration,10000,PROPOSED,10,0,12.4396,0.9858,2304,7696
vib_normal,vibration,10000,PROPOSED,10,1,12.4571,0.9862,2331,7669
vib_normal,vibration,10000,PROPOSED,10,2,12.2934,0.9855,2308,7692
vib_normal,vibration,10000,RDP,10,0,13.8210,0.9902,2313,7687
vib_normal,vibration,10000,DROP,10,0,0.3499,0.0000,1000,9000
vib_normal,vibration,10000,PROPOSED,20,0,3.8519,0.8530,1356,8644
vib_normal,vibration,10000,PROPOSED,20,1,3.7739,0.8461,1347,8653
vib_normal,vibration,10000,PROPOSED,20,2,3.8075,0.8507,1357,8643
vib_normal,vibration,10000,RDP,20,0,6.7054,0.9335,1375,8625
vib_normal,vibration,10000,DROP,20,0,-3.7436,0.0000,500,9500
vib_inner,vibration,10000,PROPOSED,3,0,14.2996,0.9900,5628,4372
vib_inner,vibration,10000,PROPOSED,3,1,14.3407,0.9900,5636,4364
vib_inner,vibration,10000,PROPOSED,3,2,14.2315,0.9898,5613,4387
vib_inner,vibration,10000,RDP,3,0,14.8687,0.9912,5607,4393
vib_inner,vibration,10000,DROP,3,0,1.6040,0.0000,3333,6667
vib_inner,vibration,10000,PROPOSED,5,0,8.6363,0.9599,3953,6047
vib_inner,vibration,10000,PROPOSED,5,1,8.6068,0.9597,3950,6050
vib_inner,vibration,10000,PROPOSED,5,2,8.7241,0.9607,3987,6013
vib_inner,vibration,10000,RDP,5,0,9.0401,0.9644,3928,6072
vib_inner,vibration,10000,DROP,5,0,0.4503,0.0000,2000,8000
vib_inner,vibration,10000,PROPOSED,10,0,3.1487,0.8097,2322,7678
vib_inner,vibration,10000,PROPOSED,10,1,3.2400,0.8153,2314,7686
vib_inner,vibration,10000,PROPOSED,10,2,3.3465,0.8215,2316,7684
vib_inner,vibration,10000,RDP,10,0,3.5827,0.8290,2313,7687
vib_inner,vibration,10000,DROP,10,0,-3.4727,0.0000,1000,9000
vib_inner,vibration,10000,PROPOSED,20,0,-0.3593,0.5476,1361,8639
vib_inner,vibration,10000,PROPOSED,20,1,-0.5914,0.5300,1351,8649
vib_inner,vibration,10000,PROPOSED,20,2,-0.4560,0.5393,1354,8646
vib_inner,vibration,10000,RDP,20,0,-0.0568,0.5830,1345,8655
vib_inner,vibration,10000,DROP,20,0,-0.1411,0.0000,500,9500
vib_ball,vibration,10000,PROPOSED,3,0,11.0595,0.9808,5667,4333
vib_ball,vibration,10000,PROPOSED,3,1,11.0947,0.9808,5665,4335
vib_ball,vibration,10000,PROPOSED,3,2,10.8824,0.9797,5611,4389
vib_ball,vibration,10000,RDP,3,0,11.5771,0.9829,5643,4357
vib_ball,vibration,10000,DROP,3,0,-5.4643,0.0000,3333,6667
vib_ball,vibration,10000,PROPOSED,5,0,5.2931,0.9079,3913,6087
vib_ball,vibration,10000,PROPOSED,5,1,5.2604,0.9054,3920,6080
vib_ball,vibration,10000,PROPOSED,5,2,5.2605,0.9067,3924,6076
vib_ball,vibration,10000,RDP,5,0,5.8048,0.9191,3925,6075
vib_ball,vibration,10000,DROP,5,0,-2.5520,0.0000,2000,8000
vib_ball,vibration,10000,PROPOSED,10,0,0.9898,0.6492,2333,7667
vib_ball,vibration,10000,PROPOSED,10,1,1.0499,0.6528,2304,7696
vib_ball,vibration,10000,PROPOSED,10,2,0.9225,0.6430,2302,7698
vib_ball,vibration,10000,RDP,10,0,1.1943,0.6644,2302,7698
vib_ball,vibration,10000,DROP,10,0,-3.9639,0.0000,1000,9000
vib_ball,vibration,10000,PROPOSED,20,0,-1.6675,0.3274,1354,8646
vib_ball,vibration,10000,PROPOSED,20,1,-1.3936,0.3517,1358,8642
vib_ball,vibration,10000,PROPOSED,20,2,-1.4926,0.3376,1346,8654
vib_ball,vibration,10000,RDP,20,0,-1.4100,0.3731,1356,8644
vib_ball,vibration,10000,DROP,20,0,0.0472,0.0000,500,9500
