alpha,beta,gamma,window_half,signal,trial,snr_db,mse,deriv_ratio,max_error,drops,snr_saturated
0.1,0.1,0.8,2,sine,0,24.6665,1.702568e-03,0.6958,1.9108e-01,534,0
0.1,0.1,0.8,2,sine,1,24.4638,1.783886e-03,0.6970,1.9108e-01,534,0
0.1,0.1,0.8,2,sine,2,24.8324,1.638755e-03,0.6940,1.9108e-01,537,0
0.1,0.1,0.8,2,chirp,0,24.4714,1.715768e-03,0.7529,1.5828e-01,533,0
0.1,0.1,0.8,2,chirp,1,24.4948,1.706566e-03,0.7472,1.5018e-01,533,0
0.1,0.1,0.8,2,chirp,2,24.4667,1.717625e-03,0.7462,1.6752e-01,535,0
0.1,0.1,0.8,2,spikes,0,11.9455,1.455440e-03,0.7648,1.6322e-01,530,0
0.1,0.1,0.8,2,spikes,1,11.7935,1.507262e-03,0.7561,2.0016e-01,536,0
0.1,0.1,0.8,2,spikes,2,11.7546,1.520843e-03,0.7519,1.6595e-01,532,0
0.1,0.1,0.8,2,ecg,0,33.9089,5.320014e-11,0.8797,3.1667e-05,531,0
0.1,0.1,0.8,2,ecg,1,33.3905,5.994426e-11,0.8767,3.3077e-05,538,0
0.1,0.1,0.8,2,ecg,2,33.6583,5.636037e-11,0.8752,3.1667e-05,537,0
0.1,0.2,0.7,2,sine,0,25.5557,1.387331e-03,0.6995,1.4706e-01,537,0
0.1,0.2,0.7,2,sine,1,24.9652,1.589385e-03,0.6973,1.9373e-01,535,0
0.1,0.2,0.7,2,sine,2,25.4630,1.417273e-03,0.7017,1.4934e-01,537,0
0.1,0.2,0.7,2,chirp,0,24.1386,1.852426e-03,0.7254,1.5105e-01,537,0
0.1,0.2,0.7,2,chirp,1,23.9647,1.928084e-03,0.7327,2.1545e-01,533,0
0.1,0.2,0.7,2,chirp,2,24.3850,1.750243e-03,0.7267,1.6293e-01,533,0
0.1,0.2,0.7,2,spikes,0,11.5131,1.607821e-03,0.7463,1.5584e-01,536,0
0.1,0.2,0.7,2,spikes,1,11.6382,1.562149e-03,0.7542,1.4973e-01,537,0
0.1,0.2,0.7,2,spikes,2,11.1919,1.731226e-03,0.7462,1.5570e-01,535,0
0.1,0.2,0.7,2,ecg,0,33.1999,6.263441e-11,0.8792,3.4444e-05,535,0
