domain,proposed,baseline,metric,n_pairs,n_positive,n_negative,W,z,p_value,cohens_d,mean_diff,interpretation
ALL,IMP_INTERP_ERROR,RDP_OFFLINE,snr_db,785,0,785,0.0000,-24.2718,0.0000e+00,-0.1249,-1.7944,"RDP_OFFLINE WINS by 1.794 dB"
ALL,IMP_INTERP_ERROR,LTTB_OFFLINE,snr_db,800,800,0,0.0000,-24.5025,0.0000e+00,0.3933,5.5207,"IMP_INTERP_ERROR WINS by 5.520 dB"
ALL,IMP_INTERP_COMPOSITE,RDP_OFFLINE,snr_db,785,1,784,1.0000,-24.2717,0.0000e+00,-0.1258,-1.8043,"RDP_OFFLINE WINS by 1.804 dB"
ALL,IMP_INTERP_COMPOSITE,LTTB_OFFLINE,snr_db,800,800,0,0.0000,-24.5025,0.0000e+00,0.3933,5.5153,"IMP_INTERP_COMPOSITE WINS by 5.515 dB"
ALL,IMP_INTERP_ERROR,IMP_INTERP_COMPOSITE,snr_db,799,415,384,153869.5000,-0.9087,3.6351e-01,0.0004,0.0054,"IMP_INTERP_ERROR WINS by 0.005 dB"
ALL,IMP_INTERP_ERROR,DROP,snr_db,800,800,0,0.0000,-24.5025,0.0000e+00,0.7646,10.5243,"IMP_INTERP_ERROR WINS by 10.52 dB"
ALL,IMP_INTERP_ERROR,IMP_COMPOSITE,snr_db,800,800,0,0.0000,-24.5025,0.0000e+00,0.6201,8.4798,"IMP_INTERP_ERROR WINS by 8.479 dB"
ALL,IMP_INTERP_ERROR,RDP_OFFLINE,spectral_corr,294,282,12,1110.0000,-14.1020,0.0000e+00,0.3317,0.0157,"spectral"
ALL,IMP_INTERP_ERROR,LTTB_OFFLINE,spectral_corr,300,300,0,0.0000,-15.0123,0.0000e+00,0.9720,0.1578,"spectral"
ecg,IMP_INTERP_ERROR,RDP_OFFLINE,snr_db,485,0,485,0.0000,-19.0819,0.0000e+00,-0.3265,-1.7945,"RDP_OFFLINE WINS by 1.794 dB"
ecg,IMP_INTERP_ERROR,LTTB_OFFLINE,snr_db,500,500,0,0.0000,-19.3744,0.0000e+00,1.1993,5.9391,"IMP_INTERP_ERROR WINS by 5.939 dB"
ecg,IMP_INTERP_COMPOSITE,RDP_OFFLINE,snr_db,485,0,485,0.0000,-19.0819,0.0000e+00,-0.3360,-1.8455,"RDP_OFFLINE WINS by 1.845 dB"
ecg,IMP_INTERP_COMPOSITE,LTTB_OFFLINE,snr_db,500,500,0,0.0000,-19.3744,0.0000e+00,1.1884,5.8964,"IMP_INTERP_COMPOSITE WINS by 5.896 dB"
ecg,IMP_INTERP_ERROR,IMP_INTERP_COMPOSITE,snr_db,499,307,192,44357.5000,-5.5908,2.2669e-08,0.0073,0.0427,"IMP_INTERP_ERROR WINS by 0.042 dB"
ecg,IMP_INTERP_ERROR,DROP,snr_db,500,500,0,0.0000,-19.3744,0.0000e+00,2.1688,11.3608,"IMP_INTERP_ERROR WINS by 11.36 dB"
ecg,IMP_INTERP_ERROR,IMP_COMPOSITE,snr_db,500,500,0,0.0000,-19.3744,0.0000e+00,1.7936,9.1072,"IMP_INTERP_ERROR WINS by 9.107 dB"
vibration,IMP_INTERP_ERROR,RDP_OFFLINE,snr_db,300,0,300,0.0000,-15.0121,0.0000e+00,-0.2046,-1.7943,"RDP_OFFLINE WINS by 1.794 dB"
vibration,IMP_INTERP_ERROR,LTTB_OFFLINE,snr_db,300,300,0,0.0000,-15.0121,0.0000e+00,0.5869,4.8234,"IMP_INTERP_ERROR WINS by 4.823 dB"
vibration,IMP_INTERP_COMPOSITE,RDP_OFFLINE,snr_db,300,1,299,1.0000,-15.0115,0.0000e+00,-0.1978,-1.7376,"RDP_OFFLINE WINS by 1.737 dB"
vibration,IMP_INTERP_COMPOSITE,LTTB_OFFLINE,snr_db,300,300,0,0.0000,-15.0121,0.0000e+00,0.5927,4.8802,"IMP_INTERP_COMPOSITE WINS by 4.880 dB"
vibration,IMP_INTERP_ERROR,IMP_INTERP_COMPOSITE,snr_db,300,108,192,14815.0000,-5.1601,2.4727e-07,-0.0067,-0.0567,"IMP_INTERP_COMPOSITE WINS by 0.056 dB"
vibration,IMP_INTERP_ERROR,DROP,snr_db,300,300,0,0.0000,-15.0121,0.0000e+00,1.1818,9.1301,"IMP_INTERP_ERROR WINS by 9.130 dB"
vibration,IMP_INTERP_ERROR,IMP_COMPOSITE,snr_db,300,300,0,0.0000,-15.0121,0.0000e+00,1.0808,7.4342,"IMP_INTERP_ERROR WINS by 7.434 dB"
vibration,IMP_INTERP_ERROR,RDP_OFFLINE,spectral_corr,294,282,12,1110.0000,-14.1020,0.0000e+00,0.3317,0.0157,"spectral"
vibration,IMP_INTERP_ERROR,LTTB_OFFLINE,spectral_corr,300,300,0,0.0000,-15.0123,0.0000e+00,0.9720,0.1578,"spectral"
